species	decile	n_sites	pct_of_sites
molanna	0	20820719	85.0054
molanna	10	234648	0.9580
molanna	20	128499	0.5246
molanna	30	152276	0.6217
molanna	40	240727	0.9828
molanna	50	308813	1.2608
molanna	60	351679	1.4358
molanna	70	442013	1.8046
molanna	80	771171	3.1485
molanna	90	1042871	4.2578
ceraclea	0	10905517	87.0605
ceraclea	10	97964	0.7821
ceraclea	20	90533	0.7227
ceraclea	30	135024	1.0779
ceraclea	40	203549	1.6250
ceraclea	50	215136	1.7175
ceraclea	60	196454	1.5683
ceraclea	70	203152	1.6218
ceraclea	80	269438	2.1510
ceraclea	90	209594	1.6732
philopotamus	0	15254810	86.6067
philopotamus	10	141369	0.8026
philopotamus	20	85275	0.4841
philopotamus	30	114334	0.6491
philopotamus	40	182551	1.0364
philopotamus	50	236440	1.3423
philopotamus	60	230822	1.3105
philopotamus	70	241317	1.3700
philopotamus	80	382586	2.1721
philopotamus	90	744389	4.2261
harmi	0	12153574	98.7245
harmi	10	36224	0.2943
harmi	20	19019	0.1545
harmi	30	18105	0.1471
harmi	40	19991	0.1624
harmi	50	15452	0.1255
harmi	60	12224	0.0993
harmi	70	12137	0.0986
harmi	80	15918	0.1293
harmi	90	7948	0.0646
