label	metric	value
Achroia_grisella	covered_sites	12873839
Achroia_grisella	confident_sites	50316
Achroia_grisella	pct_confident	0.3908
Achroia_grisella	clustering_observed	nan
Achroia_grisella	clustering_null_mean	nan
Achroia_grisella	clustering_enrichment	nan
Achroia_grisella	clustering_z	nan
Achroia_grisella	mito_sites	105
Achroia_grisella	mito_pct_confident	0.0
Achroia_grisella	cov0_pct	0.2469
Achroia_grisella	cov0_n	27539
Achroia_grisella	cov0_hits	68
Achroia_grisella	cov10_pct	0.0993
Achroia_grisella	cov10_n	176279
Achroia_grisella	cov10_hits	175
Achroia_grisella	cov20_pct	0.2593
Achroia_grisella	cov20_n	772119
Achroia_grisella	cov20_hits	2002
Achroia_grisella	cov30_pct	0.3372
Achroia_grisella	cov30_n	887253
Achroia_grisella	cov30_hits	2992
Achroia_grisella	cov40_pct	0.2982
Achroia_grisella	cov40_n	2123083
Achroia_grisella	cov40_hits	6331
Achroia_grisella	cov50_pct	0.3902
Achroia_grisella	cov50_n	4481430
Achroia_grisella	cov50_hits	17485
Achroia_grisella	cov60_pct	0.4852
Achroia_grisella	cov60_n	3324100
Achroia_grisella	cov60_hits	16127
Achroia_grisella	cov70_pct	0.4907
Achroia_grisella	cov70_n	899860
Achroia_grisella	cov70_hits	4416
Achroia_grisella	cov80_pct	0.4607
Achroia_grisella	cov80_n	118088
Achroia_grisella	cov80_hits	544
Achroia_grisella	cov90_pct	0.316
Achroia_grisella	cov90_n	24054
Achroia_grisella	cov90_hits	76
Achroia_grisella	cov100_pct	0.2867
Achroia_grisella	cov100_n	12904
Achroia_grisella	cov100_hits	37
Achroia_grisella	cov110_pct	0.1707
Achroia_grisella	cov110_n	7028
Achroia_grisella	cov110_hits	12
Achroia_grisella	cov120_pct	0.5203
Achroia_grisella	cov120_n	5381
Achroia_grisella	cov120_hits	28
Achroia_grisella	cov130_pct	0.4454
Achroia_grisella	cov130_n	3817
Achroia_grisella	cov130_hits	17
Achroia_grisella	cov140_pct	0.0
Achroia_grisella	cov140_n	2188
Achroia_grisella	cov140_hits	0
Achroia_grisella	cov150_pct	0.0
Achroia_grisella	cov150_n	1505
Achroia_grisella	cov150_hits	0
Achroia_grisella	cov200_pct	0.0
Achroia_grisella	cov200_n	5087
Achroia_grisella	cov200_hits	0
