label	metric	value
Acidia_cognata	covered_sites	29046340
Acidia_cognata	confident_sites	22041
Acidia_cognata	pct_confident	0.0759
Acidia_cognata	clustering_observed	nan
Acidia_cognata	clustering_null_mean	nan
Acidia_cognata	clustering_enrichment	nan
Acidia_cognata	clustering_z	nan
Acidia_cognata	mito_sites	158
Acidia_cognata	mito_pct_confident	0.0
Acidia_cognata	cov0_pct	2.0963
Acidia_cognata	cov0_n	497887
Acidia_cognata	cov0_hits	10437
Acidia_cognata	cov10_pct	0.3049
Acidia_cognata	cov10_n	2067590
Acidia_cognata	cov10_hits	6304
Acidia_cognata	cov20_pct	0.0423
Acidia_cognata	cov20_n	4219465
Acidia_cognata	cov20_hits	1783
Acidia_cognata	cov30_pct	0.0217
Acidia_cognata	cov30_n	7668990
Acidia_cognata	cov30_hits	1664
Acidia_cognata	cov40_pct	0.0145
Acidia_cognata	cov40_n	8525441
Acidia_cognata	cov40_hits	1240
Acidia_cognata	cov50_pct	0.0105
Acidia_cognata	cov50_n	4634731
Acidia_cognata	cov50_hits	488
Acidia_cognata	cov60_pct	0.0098
Acidia_cognata	cov60_n	1110822
Acidia_cognata	cov60_hits	109
Acidia_cognata	cov70_pct	0.006
Acidia_cognata	cov70_n	182854
Acidia_cognata	cov70_hits	11
Acidia_cognata	cov80_pct	0.0086
Acidia_cognata	cov80_n	58216
Acidia_cognata	cov80_hits	5
Acidia_cognata	cov90_pct	0.0
Acidia_cognata	cov90_n	29572
Acidia_cognata	cov90_hits	0
Acidia_cognata	cov100_pct	0.0
Acidia_cognata	cov100_n	15496
Acidia_cognata	cov100_hits	0
Acidia_cognata	cov110_pct	0.0
Acidia_cognata	cov110_n	9592
Acidia_cognata	cov110_hits	0
Acidia_cognata	cov120_pct	0.0
Acidia_cognata	cov120_n	5640
Acidia_cognata	cov120_hits	0
Acidia_cognata	cov130_pct	0.0
Acidia_cognata	cov130_n	3834
Acidia_cognata	cov130_hits	0
Acidia_cognata	cov140_pct	0.0
Acidia_cognata	cov140_n	3216
Acidia_cognata	cov140_hits	0
Acidia_cognata	cov150_pct	0.0
Acidia_cognata	cov150_n	1973
Acidia_cognata	cov150_hits	0
Acidia_cognata	cov160_pct	0.0
Acidia_cognata	cov160_n	1630
Acidia_cognata	cov160_hits	0
Acidia_cognata	cov170_pct	0.0
Acidia_cognata	cov170_n	1138
Acidia_cognata	cov170_hits	0
Acidia_cognata	cov180_pct	0.0
Acidia_cognata	cov180_n	1077
Acidia_cognata	cov180_hits	0
Acidia_cognata	cov200_pct	0.0
Acidia_cognata	cov200_n	6201
Acidia_cognata	cov200_hits	0
