label	metric	value
Acropora_palmata	covered_sites	9964356
Acropora_palmata	confident_sites	1736
Acropora_palmata	pct_confident	0.0174
Acropora_palmata	clustering_observed	nan
Acropora_palmata	clustering_null_mean	nan
Acropora_palmata	clustering_enrichment	nan
Acropora_palmata	clustering_z	nan
Acropora_palmata	mito_sites	442
Acropora_palmata	mito_pct_confident	0.0
Acropora_palmata	cov0_pct	1.7232
Acropora_palmata	cov0_n	65113
Acropora_palmata	cov0_hits	1122
Acropora_palmata	cov10_pct	0.1301
Acropora_palmata	cov10_n	56131
Acropora_palmata	cov10_hits	73
Acropora_palmata	cov20_pct	0.0528
Acropora_palmata	cov20_n	45491
Acropora_palmata	cov20_hits	24
Acropora_palmata	cov30_pct	0.0226
Acropora_palmata	cov30_n	44202
Acropora_palmata	cov30_hits	10
Acropora_palmata	cov40_pct	0.0066
Acropora_palmata	cov40_n	45627
Acropora_palmata	cov40_hits	3
Acropora_palmata	cov50_pct	0.0081
Acropora_palmata	cov50_n	49486
Acropora_palmata	cov50_hits	4
Acropora_palmata	cov60_pct	0.0123
Acropora_palmata	cov60_n	56848
Acropora_palmata	cov60_hits	7
Acropora_palmata	cov70_pct	0.0111
Acropora_palmata	cov70_n	62940
Acropora_palmata	cov70_hits	7
Acropora_palmata	cov80_pct	0.0097
Acropora_palmata	cov80_n	72258
Acropora_palmata	cov80_hits	7
Acropora_palmata	cov90_pct	0.0078
Acropora_palmata	cov90_n	90158
Acropora_palmata	cov90_hits	7
Acropora_palmata	cov100_pct	0.0069
Acropora_palmata	cov100_n	115198
Acropora_palmata	cov100_hits	8
Acropora_palmata	cov110_pct	0.0073
Acropora_palmata	cov110_n	137212
Acropora_palmata	cov110_hits	10
Acropora_palmata	cov120_pct	0.0082
Acropora_palmata	cov120_n	158903
Acropora_palmata	cov120_hits	13
Acropora_palmata	cov130_pct	0.0067
Acropora_palmata	cov130_n	164242
Acropora_palmata	cov130_hits	11
Acropora_palmata	cov140_pct	0.0059
Acropora_palmata	cov140_n	151684
Acropora_palmata	cov140_hits	9
Acropora_palmata	cov150_pct	0.0065
Acropora_palmata	cov150_n	139192
Acropora_palmata	cov150_hits	9
Acropora_palmata	cov160_pct	0.0057
Acropora_palmata	cov160_n	139879
Acropora_palmata	cov160_hits	8
Acropora_palmata	cov170_pct	0.0057
Acropora_palmata	cov170_n	157951
Acropora_palmata	cov170_hits	9
Acropora_palmata	cov180_pct	0.0045
Acropora_palmata	cov180_n	200962
Acropora_palmata	cov180_hits	9
Acropora_palmata	cov190_pct	0.0041
Acropora_palmata	cov190_n	267504
Acropora_palmata	cov190_hits	11
Acropora_palmata	cov200_pct	0.0048
Acropora_palmata	cov200_n	7743375
Acropora_palmata	cov200_hits	375
