label	metric	value
Acupalpus_dubius	covered_sites	16664571
Acupalpus_dubius	confident_sites	4295
Acupalpus_dubius	pct_confident	0.0258
Acupalpus_dubius	clustering_observed	nan
Acupalpus_dubius	clustering_null_mean	nan
Acupalpus_dubius	clustering_enrichment	nan
Acupalpus_dubius	clustering_z	nan
Acupalpus_dubius	mito_sites	98
Acupalpus_dubius	mito_pct_confident	0.0
Acupalpus_dubius	cov0_pct	0.4931
Acupalpus_dubius	cov0_n	266260
Acupalpus_dubius	cov0_hits	1313
Acupalpus_dubius	cov10_pct	0.0612
Acupalpus_dubius	cov10_n	1746582
Acupalpus_dubius	cov10_hits	1069
Acupalpus_dubius	cov20_pct	0.02
Acupalpus_dubius	cov20_n	3692914
Acupalpus_dubius	cov20_hits	739
Acupalpus_dubius	cov30_pct	0.0128
Acupalpus_dubius	cov30_n	6243273
Acupalpus_dubius	cov30_hits	797
Acupalpus_dubius	cov40_pct	0.0094
Acupalpus_dubius	cov40_n	3228458
Acupalpus_dubius	cov40_hits	305
Acupalpus_dubius	cov50_pct	0.0076
Acupalpus_dubius	cov50_n	696234
Acupalpus_dubius	cov50_hits	53
Acupalpus_dubius	cov60_pct	0.0023
Acupalpus_dubius	cov60_n	219558
Acupalpus_dubius	cov60_hits	5
Acupalpus_dubius	cov70_pct	0.0023
Acupalpus_dubius	cov70_n	129156
Acupalpus_dubius	cov70_hits	3
Acupalpus_dubius	cov80_pct	0.0023
Acupalpus_dubius	cov80_n	88746
Acupalpus_dubius	cov80_hits	2
Acupalpus_dubius	cov90_pct	0.0015
Acupalpus_dubius	cov90_n	64857
Acupalpus_dubius	cov90_hits	1
Acupalpus_dubius	cov100_pct	0.002
Acupalpus_dubius	cov100_n	49423
Acupalpus_dubius	cov100_hits	1
Acupalpus_dubius	cov110_pct	0.0
Acupalpus_dubius	cov110_n	39288
Acupalpus_dubius	cov110_hits	0
Acupalpus_dubius	cov120_pct	0.0
Acupalpus_dubius	cov120_n	30165
Acupalpus_dubius	cov120_hits	0
Acupalpus_dubius	cov130_pct	0.0123
Acupalpus_dubius	cov130_n	24336
Acupalpus_dubius	cov130_hits	3
Acupalpus_dubius	cov140_pct	0.0
Acupalpus_dubius	cov140_n	18787
Acupalpus_dubius	cov140_hits	0
Acupalpus_dubius	cov150_pct	0.0
Acupalpus_dubius	cov150_n	15048
Acupalpus_dubius	cov150_hits	0
Acupalpus_dubius	cov160_pct	0.0073
Acupalpus_dubius	cov160_n	13658
Acupalpus_dubius	cov160_hits	1
Acupalpus_dubius	cov170_pct	0.0164
Acupalpus_dubius	cov170_n	12159
Acupalpus_dubius	cov170_hits	2
Acupalpus_dubius	cov180_pct	0.0
Acupalpus_dubius	cov180_n	10497
Acupalpus_dubius	cov180_hits	0
Acupalpus_dubius	cov190_pct	0.0
Acupalpus_dubius	cov190_n	7965
Acupalpus_dubius	cov190_hits	0
Acupalpus_dubius	cov200_pct	0.0015
Acupalpus_dubius	cov200_n	67207
Acupalpus_dubius	cov200_hits	1
