label	metric	value
Adscita_statices	covered_sites	21850254
Adscita_statices	confident_sites	123945
Adscita_statices	pct_confident	0.5672
Adscita_statices	clustering_observed	nan
Adscita_statices	clustering_null_mean	nan
Adscita_statices	clustering_enrichment	nan
Adscita_statices	clustering_z	nan
Adscita_statices	mito_sites	94
Adscita_statices	mito_pct_confident	0.0
Adscita_statices	cov0_pct	0.3972
Adscita_statices	cov0_n	29710
Adscita_statices	cov0_hits	118
Adscita_statices	cov10_pct	0.337
Adscita_statices	cov10_n	490257
Adscita_statices	cov10_hits	1652
Adscita_statices	cov20_pct	0.5242
Adscita_statices	cov20_n	3299797
Adscita_statices	cov20_hits	17299
Adscita_statices	cov30_pct	0.5517
Adscita_statices	cov30_n	3446542
Adscita_statices	cov30_hits	19016
Adscita_statices	cov40_pct	0.482
Adscita_statices	cov40_n	3970622
Adscita_statices	cov40_hits	19139
Adscita_statices	cov50_pct	0.6251
Adscita_statices	cov50_n	5536762
Adscita_statices	cov50_hits	34609
Adscita_statices	cov60_pct	0.7135
Adscita_statices	cov60_n	3199540
Adscita_statices	cov60_hits	22830
Adscita_statices	cov70_pct	0.7296
Adscita_statices	cov70_n	933020
Adscita_statices	cov70_hits	6807
Adscita_statices	cov80_pct	0.3932
Adscita_statices	cov80_n	319409
Adscita_statices	cov80_hits	1256
Adscita_statices	cov90_pct	0.2743
Adscita_statices	cov90_n	179730
Adscita_statices	cov90_hits	493
Adscita_statices	cov100_pct	0.1748
Adscita_statices	cov100_n	114412
Adscita_statices	cov100_hits	200
Adscita_statices	cov110_pct	0.1701
Adscita_statices	cov110_n	79972
Adscita_statices	cov110_hits	136
Adscita_statices	cov120_pct	0.254
Adscita_statices	cov120_n	58654
Adscita_statices	cov120_hits	149
Adscita_statices	cov130_pct	0.2157
Adscita_statices	cov130_n	44035
Adscita_statices	cov130_hits	95
Adscita_statices	cov140_pct	0.1321
Adscita_statices	cov140_n	33316
Adscita_statices	cov140_hits	44
Adscita_statices	cov150_pct	0.1291
Adscita_statices	cov150_n	25555
Adscita_statices	cov150_hits	33
Adscita_statices	cov160_pct	0.028
Adscita_statices	cov160_n	17888
Adscita_statices	cov160_hits	5
Adscita_statices	cov170_pct	0.1684
Adscita_statices	cov170_n	14847
Adscita_statices	cov170_hits	25
Adscita_statices	cov180_pct	0.0928
Adscita_statices	cov180_n	11851
Adscita_statices	cov180_hits	11
Adscita_statices	cov190_pct	0.0979
Adscita_statices	cov190_n	8175
Adscita_statices	cov190_hits	8
Adscita_statices	cov200_pct	0.0553
Adscita_statices	cov200_n	36160
Adscita_statices	cov200_hits	20
