label	metric	value
Aethecerus_discolor	covered_sites	22247703
Aethecerus_discolor	confident_sites	6978
Aethecerus_discolor	pct_confident	0.0314
Aethecerus_discolor	clustering_observed	nan
Aethecerus_discolor	clustering_null_mean	nan
Aethecerus_discolor	clustering_enrichment	nan
Aethecerus_discolor	clustering_z	nan
Aethecerus_discolor	mito_sites	114
Aethecerus_discolor	mito_pct_confident	0.0
Aethecerus_discolor	cov0_pct	0.5452
Aethecerus_discolor	cov0_n	1169986
Aethecerus_discolor	cov0_hits	6379
Aethecerus_discolor	cov10_pct	0.0261
Aethecerus_discolor	cov10_n	1711521
Aethecerus_discolor	cov10_hits	447
Aethecerus_discolor	cov20_pct	0.0023
Aethecerus_discolor	cov20_n	1367871
Aethecerus_discolor	cov20_hits	32
Aethecerus_discolor	cov30_pct	0.0009
Aethecerus_discolor	cov30_n	2111478
Aethecerus_discolor	cov30_hits	20
Aethecerus_discolor	cov40_pct	0.0007
Aethecerus_discolor	cov40_n	3962602
Aethecerus_discolor	cov40_hits	27
Aethecerus_discolor	cov50_pct	0.0009
Aethecerus_discolor	cov50_n	5297654
Aethecerus_discolor	cov50_hits	46
Aethecerus_discolor	cov60_pct	0.0003
Aethecerus_discolor	cov60_n	4264315
Aethecerus_discolor	cov60_hits	12
Aethecerus_discolor	cov70_pct	0.0005
Aethecerus_discolor	cov70_n	1832662
Aethecerus_discolor	cov70_hits	10
Aethecerus_discolor	cov80_pct	0.0012
Aethecerus_discolor	cov80_n	411605
Aethecerus_discolor	cov80_hits	5
Aethecerus_discolor	cov90_pct	0.0
Aethecerus_discolor	cov90_n	55795
Aethecerus_discolor	cov90_hits	0
Aethecerus_discolor	cov100_pct	0.0
Aethecerus_discolor	cov100_n	12845
Aethecerus_discolor	cov100_hits	0
Aethecerus_discolor	cov110_pct	0.0
Aethecerus_discolor	cov110_n	7232
Aethecerus_discolor	cov110_hits	0
Aethecerus_discolor	cov120_pct	0.0
Aethecerus_discolor	cov120_n	5220
Aethecerus_discolor	cov120_hits	0
Aethecerus_discolor	cov130_pct	0.0
Aethecerus_discolor	cov130_n	4823
Aethecerus_discolor	cov130_hits	0
Aethecerus_discolor	cov140_pct	0.0
Aethecerus_discolor	cov140_n	4992
Aethecerus_discolor	cov140_hits	0
Aethecerus_discolor	cov150_pct	0.0
Aethecerus_discolor	cov150_n	3227
Aethecerus_discolor	cov150_hits	0
Aethecerus_discolor	cov160_pct	0.0
Aethecerus_discolor	cov160_n	2788
Aethecerus_discolor	cov160_hits	0
Aethecerus_discolor	cov170_pct	0.0
Aethecerus_discolor	cov170_n	2210
Aethecerus_discolor	cov170_hits	0
Aethecerus_discolor	cov180_pct	0.0
Aethecerus_discolor	cov180_n	1871
Aethecerus_discolor	cov180_hits	0
Aethecerus_discolor	cov190_pct	0.0
Aethecerus_discolor	cov190_n	1470
Aethecerus_discolor	cov190_hits	0
Aethecerus_discolor	cov200_pct	0.0
Aethecerus_discolor	cov200_n	15536
Aethecerus_discolor	cov200_hits	0
