label	metric	value
Agonopterix_ciliella	covered_sites	31777602
Agonopterix_ciliella	confident_sites	198455
Agonopterix_ciliella	pct_confident	0.6245
Agonopterix_ciliella	clustering_observed	nan
Agonopterix_ciliella	clustering_null_mean	nan
Agonopterix_ciliella	clustering_enrichment	nan
Agonopterix_ciliella	clustering_z	nan
Agonopterix_ciliella	mito_sites	102
Agonopterix_ciliella	mito_pct_confident	0.0
Agonopterix_ciliella	cov0_pct	0.4485
Agonopterix_ciliella	cov0_n	192438
Agonopterix_ciliella	cov0_hits	863
Agonopterix_ciliella	cov10_pct	0.3248
Agonopterix_ciliella	cov10_n	933304
Agonopterix_ciliella	cov10_hits	3031
Agonopterix_ciliella	cov20_pct	0.5226
Agonopterix_ciliella	cov20_n	3989913
Agonopterix_ciliella	cov20_hits	20853
Agonopterix_ciliella	cov30_pct	0.5738
Agonopterix_ciliella	cov30_n	4858035
Agonopterix_ciliella	cov30_hits	27877
Agonopterix_ciliella	cov40_pct	0.6381
Agonopterix_ciliella	cov40_n	4339399
Agonopterix_ciliella	cov40_hits	27691
Agonopterix_ciliella	cov50_pct	0.7226
Agonopterix_ciliella	cov50_n	7413641
Agonopterix_ciliella	cov50_hits	53574
Agonopterix_ciliella	cov60_pct	0.7227
Agonopterix_ciliella	cov60_n	6442334
Agonopterix_ciliella	cov60_hits	46557
Agonopterix_ciliella	cov70_pct	0.6457
Agonopterix_ciliella	cov70_n	2352344
Agonopterix_ciliella	cov70_hits	15189
Agonopterix_ciliella	cov80_pct	0.3811
Agonopterix_ciliella	cov80_n	556847
Agonopterix_ciliella	cov80_hits	2122
Agonopterix_ciliella	cov90_pct	0.1561
Agonopterix_ciliella	cov90_n	217234
Agonopterix_ciliella	cov90_hits	339
Agonopterix_ciliella	cov100_pct	0.1035
Agonopterix_ciliella	cov100_n	126539
Agonopterix_ciliella	cov100_hits	131
Agonopterix_ciliella	cov110_pct	0.0599
Agonopterix_ciliella	cov110_n	88483
Agonopterix_ciliella	cov110_hits	53
Agonopterix_ciliella	cov120_pct	0.0261
Agonopterix_ciliella	cov120_n	65148
Agonopterix_ciliella	cov120_hits	17
Agonopterix_ciliella	cov130_pct	0.074
Agonopterix_ciliella	cov130_n	45975
Agonopterix_ciliella	cov130_hits	34
Agonopterix_ciliella	cov140_pct	0.0789
Agonopterix_ciliella	cov140_n	35467
Agonopterix_ciliella	cov140_hits	28
Agonopterix_ciliella	cov150_pct	0.047
Agonopterix_ciliella	cov150_n	25559
Agonopterix_ciliella	cov150_hits	12
Agonopterix_ciliella	cov160_pct	0.0359
Agonopterix_ciliella	cov160_n	19479
Agonopterix_ciliella	cov160_hits	7
Agonopterix_ciliella	cov170_pct	0.0143
Agonopterix_ciliella	cov170_n	13997
Agonopterix_ciliella	cov170_hits	2
Agonopterix_ciliella	cov180_pct	0.2069
Agonopterix_ciliella	cov180_n	11599
Agonopterix_ciliella	cov180_hits	24
Agonopterix_ciliella	cov190_pct	0.0
Agonopterix_ciliella	cov190_n	8288
Agonopterix_ciliella	cov190_hits	0
Agonopterix_ciliella	cov200_pct	0.1227
Agonopterix_ciliella	cov200_n	41579
Agonopterix_ciliella	cov200_hits	51
