label	metric	value
Allodia_ornaticollis	covered_sites	17405110
Allodia_ornaticollis	confident_sites	1268
Allodia_ornaticollis	pct_confident	0.0073
Allodia_ornaticollis	clustering_observed	nan
Allodia_ornaticollis	clustering_null_mean	nan
Allodia_ornaticollis	clustering_enrichment	nan
Allodia_ornaticollis	clustering_z	nan
Allodia_ornaticollis	mito_sites	109
Allodia_ornaticollis	mito_pct_confident	0.0
Allodia_ornaticollis	cov0_pct	0.4611
Allodia_ornaticollis	cov0_n	260031
Allodia_ornaticollis	cov0_hits	1199
Allodia_ornaticollis	cov10_pct	0.0082
Allodia_ornaticollis	cov10_n	753332
Allodia_ornaticollis	cov10_hits	62
Allodia_ornaticollis	cov20_pct	0.0002
Allodia_ornaticollis	cov20_n	1662465
Allodia_ornaticollis	cov20_hits	4
Allodia_ornaticollis	cov30_pct	0.0002
Allodia_ornaticollis	cov30_n	1825545
Allodia_ornaticollis	cov30_hits	3
Allodia_ornaticollis	cov40_pct	0.0
Allodia_ornaticollis	cov40_n	1691247
Allodia_ornaticollis	cov40_hits	0
Allodia_ornaticollis	cov50_pct	0.0
Allodia_ornaticollis	cov50_n	1554277
Allodia_ornaticollis	cov50_hits	0
Allodia_ornaticollis	cov60_pct	0.0
Allodia_ornaticollis	cov60_n	1861809
Allodia_ornaticollis	cov60_hits	0
Allodia_ornaticollis	cov70_pct	0.0
Allodia_ornaticollis	cov70_n	2444444
Allodia_ornaticollis	cov70_hits	0
Allodia_ornaticollis	cov80_pct	0.0
Allodia_ornaticollis	cov80_n	2439995
Allodia_ornaticollis	cov80_hits	0
Allodia_ornaticollis	cov90_pct	0.0
Allodia_ornaticollis	cov90_n	1667026
Allodia_ornaticollis	cov90_hits	0
Allodia_ornaticollis	cov100_pct	0.0
Allodia_ornaticollis	cov100_n	766520
Allodia_ornaticollis	cov100_hits	0
Allodia_ornaticollis	cov110_pct	0.0
Allodia_ornaticollis	cov110_n	262033
Allodia_ornaticollis	cov110_hits	0
Allodia_ornaticollis	cov120_pct	0.0
Allodia_ornaticollis	cov120_n	89358
Allodia_ornaticollis	cov120_hits	0
Allodia_ornaticollis	cov130_pct	0.0
Allodia_ornaticollis	cov130_n	36617
Allodia_ornaticollis	cov130_hits	0
Allodia_ornaticollis	cov140_pct	0.0
Allodia_ornaticollis	cov140_n	19632
Allodia_ornaticollis	cov140_hits	0
Allodia_ornaticollis	cov150_pct	0.0
Allodia_ornaticollis	cov150_n	13832
Allodia_ornaticollis	cov150_hits	0
Allodia_ornaticollis	cov160_pct	0.0
Allodia_ornaticollis	cov160_n	9758
Allodia_ornaticollis	cov160_hits	0
Allodia_ornaticollis	cov170_pct	0.0
Allodia_ornaticollis	cov170_n	7802
Allodia_ornaticollis	cov170_hits	0
Allodia_ornaticollis	cov180_pct	0.0
Allodia_ornaticollis	cov180_n	7030
Allodia_ornaticollis	cov180_hits	0
Allodia_ornaticollis	cov190_pct	0.0
Allodia_ornaticollis	cov190_n	6249
Allodia_ornaticollis	cov190_hits	0
Allodia_ornaticollis	cov200_pct	0.0
Allodia_ornaticollis	cov200_n	26108
Allodia_ornaticollis	cov200_hits	0
