label	metric	value
Anasimyia_lineata	covered_sites	18762001
Anasimyia_lineata	confident_sites	119346
Anasimyia_lineata	pct_confident	0.6361
Anasimyia_lineata	clustering_observed	nan
Anasimyia_lineata	clustering_null_mean	nan
Anasimyia_lineata	clustering_enrichment	nan
Anasimyia_lineata	clustering_z	nan
Anasimyia_lineata	mito_sites	135
Anasimyia_lineata	mito_pct_confident	0.0
Anasimyia_lineata	cov0_pct	5.8644
Anasimyia_lineata	cov0_n	631302
Anasimyia_lineata	cov0_hits	37022
Anasimyia_lineata	cov10_pct	3.4169
Anasimyia_lineata	cov10_n	1734588
Anasimyia_lineata	cov10_hits	59270
Anasimyia_lineata	cov20_pct	0.9054
Anasimyia_lineata	cov20_n	1905712
Anasimyia_lineata	cov20_hits	17255
Anasimyia_lineata	cov30_pct	0.3331
Anasimyia_lineata	cov30_n	1118353
Anasimyia_lineata	cov30_hits	3725
Anasimyia_lineata	cov40_pct	0.0509
Anasimyia_lineata	cov40_n	831237
Anasimyia_lineata	cov40_hits	423
Anasimyia_lineata	cov50_pct	0.0199
Anasimyia_lineata	cov50_n	800774
Anasimyia_lineata	cov50_hits	159
Anasimyia_lineata	cov60_pct	0.0155
Anasimyia_lineata	cov60_n	816815
Anasimyia_lineata	cov60_hits	127
Anasimyia_lineata	cov70_pct	0.0128
Anasimyia_lineata	cov70_n	1300677
Anasimyia_lineata	cov70_hits	167
Anasimyia_lineata	cov80_pct	0.0121
Anasimyia_lineata	cov80_n	2281866
Anasimyia_lineata	cov80_hits	275
Anasimyia_lineata	cov90_pct	0.0129
Anasimyia_lineata	cov90_n	3168208
Anasimyia_lineata	cov90_hits	409
Anasimyia_lineata	cov100_pct	0.0127
Anasimyia_lineata	cov100_n	2599272
Anasimyia_lineata	cov100_hits	330
Anasimyia_lineata	cov110_pct	0.0121
Anasimyia_lineata	cov110_n	1177604
Anasimyia_lineata	cov110_hits	143
Anasimyia_lineata	cov120_pct	0.0111
Anasimyia_lineata	cov120_n	307360
Anasimyia_lineata	cov120_hits	34
Anasimyia_lineata	cov130_pct	0.0084
Anasimyia_lineata	cov130_n	59863
Anasimyia_lineata	cov130_hits	5
Anasimyia_lineata	cov140_pct	0.0172
Anasimyia_lineata	cov140_n	11661
Anasimyia_lineata	cov140_hits	2
Anasimyia_lineata	cov150_pct	0.0
Anasimyia_lineata	cov150_n	5082
Anasimyia_lineata	cov150_hits	0
Anasimyia_lineata	cov160_pct	0.0
Anasimyia_lineata	cov160_n	3109
Anasimyia_lineata	cov160_hits	0
Anasimyia_lineata	cov170_pct	0.0
Anasimyia_lineata	cov170_n	2559
Anasimyia_lineata	cov170_hits	0
Anasimyia_lineata	cov180_pct	0.0
Anasimyia_lineata	cov180_n	1265
Anasimyia_lineata	cov180_hits	0
Anasimyia_lineata	cov190_pct	0.0
Anasimyia_lineata	cov190_n	1053
Anasimyia_lineata	cov190_hits	0
Anasimyia_lineata	cov200_pct	0.0
Anasimyia_lineata	cov200_n	3641
Anasimyia_lineata	cov200_hits	0
