label	metric	value
Anopheles_minimus	covered_sites	11215859
Anopheles_minimus	confident_sites	28606
Anopheles_minimus	pct_confident	0.255
Anopheles_minimus	clustering_observed	nan
Anopheles_minimus	clustering_null_mean	nan
Anopheles_minimus	clustering_enrichment	nan
Anopheles_minimus	clustering_z	nan
Anopheles_minimus	mito_sites	118
Anopheles_minimus	mito_pct_confident	0.0
Anopheles_minimus	cov0_pct	2.5043
Anopheles_minimus	cov0_n	120994
Anopheles_minimus	cov0_hits	3030
Anopheles_minimus	cov10_pct	1.2779
Anopheles_minimus	cov10_n	391589
Anopheles_minimus	cov10_hits	5004
Anopheles_minimus	cov20_pct	0.7769
Anopheles_minimus	cov20_n	550908
Anopheles_minimus	cov20_hits	4280
Anopheles_minimus	cov30_pct	0.3849
Anopheles_minimus	cov30_n	1136898
Anopheles_minimus	cov30_hits	4376
Anopheles_minimus	cov40_pct	0.1347
Anopheles_minimus	cov40_n	2371300
Anopheles_minimus	cov40_hits	3193
Anopheles_minimus	cov50_pct	0.0828
Anopheles_minimus	cov50_n	2964971
Anopheles_minimus	cov50_hits	2454
Anopheles_minimus	cov60_pct	0.0855
Anopheles_minimus	cov60_n	2206404
Anopheles_minimus	cov60_hits	1887
Anopheles_minimus	cov70_pct	0.0944
Anopheles_minimus	cov70_n	933500
Anopheles_minimus	cov70_hits	881
Anopheles_minimus	cov80_pct	0.1989
Anopheles_minimus	cov80_n	272038
Anopheles_minimus	cov80_hits	541
Anopheles_minimus	cov90_pct	0.5219
Anopheles_minimus	cov90_n	68592
Anopheles_minimus	cov90_hits	358
Anopheles_minimus	cov100_pct	0.8085
Anopheles_minimus	cov100_n	30673
Anopheles_minimus	cov100_hits	248
Anopheles_minimus	cov110_pct	1.1356
Anopheles_minimus	cov110_n	20430
Anopheles_minimus	cov110_hits	232
Anopheles_minimus	cov120_pct	1.6408
Anopheles_minimus	cov120_n	17248
Anopheles_minimus	cov120_hits	283
Anopheles_minimus	cov130_pct	1.1609
Anopheles_minimus	cov130_n	16798
Anopheles_minimus	cov130_hits	195
Anopheles_minimus	cov140_pct	1.7233
Anopheles_minimus	cov140_n	17408
Anopheles_minimus	cov140_hits	300
Anopheles_minimus	cov150_pct	1.9013
Anopheles_minimus	cov150_n	14937
Anopheles_minimus	cov150_hits	284
Anopheles_minimus	cov160_pct	1.7107
Anopheles_minimus	cov160_n	12802
Anopheles_minimus	cov160_hits	219
Anopheles_minimus	cov170_pct	1.8226
Anopheles_minimus	cov170_n	9382
Anopheles_minimus	cov170_hits	171
Anopheles_minimus	cov180_pct	1.7813
Anopheles_minimus	cov180_n	6849
Anopheles_minimus	cov180_hits	122
Anopheles_minimus	cov190_pct	1.5457
Anopheles_minimus	cov190_n	6146
Anopheles_minimus	cov190_hits	95
Anopheles_minimus	cov200_pct	0.985
Anopheles_minimus	cov200_n	45992
Anopheles_minimus	cov200_hits	453
