label	metric	value
Anthomyza_gracilis	covered_sites	22630970
Anthomyza_gracilis	confident_sites	20406
Anthomyza_gracilis	pct_confident	0.0902
Anthomyza_gracilis	clustering_observed	nan
Anthomyza_gracilis	clustering_null_mean	nan
Anthomyza_gracilis	clustering_enrichment	nan
Anthomyza_gracilis	clustering_z	nan
Anthomyza_gracilis	mito_sites	156
Anthomyza_gracilis	mito_pct_confident	0.0
Anthomyza_gracilis	cov0_pct	1.2159
Anthomyza_gracilis	cov0_n	659268
Anthomyza_gracilis	cov0_hits	8016
Anthomyza_gracilis	cov10_pct	0.1798
Anthomyza_gracilis	cov10_n	3924416
Anthomyza_gracilis	cov10_hits	7055
Anthomyza_gracilis	cov20_pct	0.0465
Anthomyza_gracilis	cov20_n	6722794
Anthomyza_gracilis	cov20_hits	3123
Anthomyza_gracilis	cov30_pct	0.0229
Anthomyza_gracilis	cov30_n	7422736
Anthomyza_gracilis	cov30_hits	1697
Anthomyza_gracilis	cov40_pct	0.0146
Anthomyza_gracilis	cov40_n	3116772
Anthomyza_gracilis	cov40_hits	455
Anthomyza_gracilis	cov50_pct	0.0085
Anthomyza_gracilis	cov50_n	518428
Anthomyza_gracilis	cov50_hits	44
Anthomyza_gracilis	cov60_pct	0.0102
Anthomyza_gracilis	cov60_n	117592
Anthomyza_gracilis	cov60_hits	12
Anthomyza_gracilis	cov70_pct	0.0018
Anthomyza_gracilis	cov70_n	55830
Anthomyza_gracilis	cov70_hits	1
Anthomyza_gracilis	cov80_pct	0.0099
Anthomyza_gracilis	cov80_n	30247
Anthomyza_gracilis	cov80_hits	3
Anthomyza_gracilis	cov90_pct	0.0
Anthomyza_gracilis	cov90_n	18605
Anthomyza_gracilis	cov90_hits	0
Anthomyza_gracilis	cov100_pct	0.0
Anthomyza_gracilis	cov100_n	11360
Anthomyza_gracilis	cov100_hits	0
Anthomyza_gracilis	cov110_pct	0.0
Anthomyza_gracilis	cov110_n	8406
Anthomyza_gracilis	cov110_hits	0
Anthomyza_gracilis	cov120_pct	0.0
Anthomyza_gracilis	cov120_n	6072
Anthomyza_gracilis	cov120_hits	0
Anthomyza_gracilis	cov130_pct	0.0
Anthomyza_gracilis	cov130_n	4885
Anthomyza_gracilis	cov130_hits	0
Anthomyza_gracilis	cov140_pct	0.0
Anthomyza_gracilis	cov140_n	3123
Anthomyza_gracilis	cov140_hits	0
Anthomyza_gracilis	cov150_pct	0.0
Anthomyza_gracilis	cov150_n	2537
Anthomyza_gracilis	cov150_hits	0
Anthomyza_gracilis	cov160_pct	0.0
Anthomyza_gracilis	cov160_n	2264
Anthomyza_gracilis	cov160_hits	0
Anthomyza_gracilis	cov170_pct	0.0
Anthomyza_gracilis	cov170_n	1871
Anthomyza_gracilis	cov170_hits	0
Anthomyza_gracilis	cov200_pct	0.0
Anthomyza_gracilis	cov200_n	2914
Anthomyza_gracilis	cov200_hits	0
