label	metric	value
Apis_mellifera	covered_sites	10576128
Apis_mellifera	confident_sites	30294
Apis_mellifera	pct_confident	0.2864
Apis_mellifera	clustering_observed	nan
Apis_mellifera	clustering_null_mean	nan
Apis_mellifera	clustering_enrichment	nan
Apis_mellifera	clustering_z	nan
Apis_mellifera	mito_sites	78
Apis_mellifera	mito_pct_confident	0.0
Apis_mellifera	cov0_pct	0.6117
Apis_mellifera	cov0_n	41688
Apis_mellifera	cov0_hits	255
Apis_mellifera	cov10_pct	0.0614
Apis_mellifera	cov10_n	131816
Apis_mellifera	cov10_hits	81
Apis_mellifera	cov20_pct	0.0439
Apis_mellifera	cov20_n	182175
Apis_mellifera	cov20_hits	80
Apis_mellifera	cov30_pct	0.1905
Apis_mellifera	cov30_n	277197
Apis_mellifera	cov30_hits	528
Apis_mellifera	cov40_pct	0.2779
Apis_mellifera	cov40_n	1042014
Apis_mellifera	cov40_hits	2896
Apis_mellifera	cov50_pct	0.3145
Apis_mellifera	cov50_n	3374584
Apis_mellifera	cov50_hits	10612
Apis_mellifera	cov60_pct	0.3041
Apis_mellifera	cov60_n	3832120
Apis_mellifera	cov60_hits	11655
Apis_mellifera	cov70_pct	0.2527
Apis_mellifera	cov70_n	1464818
Apis_mellifera	cov70_hits	3701
Apis_mellifera	cov80_pct	0.2247
Apis_mellifera	cov80_n	198455
Apis_mellifera	cov80_hits	446
Apis_mellifera	cov90_pct	0.226
Apis_mellifera	cov90_n	11946
Apis_mellifera	cov90_hits	27
Apis_mellifera	cov100_pct	0.0
Apis_mellifera	cov100_n	3392
Apis_mellifera	cov100_hits	0
Apis_mellifera	cov110_pct	0.0
Apis_mellifera	cov110_n	2881
Apis_mellifera	cov110_hits	0
Apis_mellifera	cov120_pct	0.0
Apis_mellifera	cov120_n	2388
Apis_mellifera	cov120_hits	0
Apis_mellifera	cov130_pct	0.0
Apis_mellifera	cov130_n	1547
Apis_mellifera	cov130_hits	0
Apis_mellifera	cov150_pct	0.0858
Apis_mellifera	cov150_n	1165
Apis_mellifera	cov150_hits	1
Apis_mellifera	cov160_pct	0.0
Apis_mellifera	cov160_n	1134
Apis_mellifera	cov160_hits	0
Apis_mellifera	cov200_pct	0.0
Apis_mellifera	cov200_n	3738
Apis_mellifera	cov200_hits	0
