label	metric	value
Azelia_nebulosa	covered_sites	18446202
Azelia_nebulosa	confident_sites	21773
Azelia_nebulosa	pct_confident	0.118
Azelia_nebulosa	clustering_observed	nan
Azelia_nebulosa	clustering_null_mean	nan
Azelia_nebulosa	clustering_enrichment	nan
Azelia_nebulosa	clustering_z	nan
Azelia_nebulosa	mito_sites	122
Azelia_nebulosa	mito_pct_confident	0.0
Azelia_nebulosa	cov0_pct	1.7183
Azelia_nebulosa	cov0_n	129195
Azelia_nebulosa	cov0_hits	2220
Azelia_nebulosa	cov10_pct	0.4068
Azelia_nebulosa	cov10_n	1057798
Azelia_nebulosa	cov10_hits	4303
Azelia_nebulosa	cov20_pct	0.1848
Azelia_nebulosa	cov20_n	2349085
Azelia_nebulosa	cov20_hits	4340
Azelia_nebulosa	cov30_pct	0.1184
Azelia_nebulosa	cov30_n	3061947
Azelia_nebulosa	cov30_hits	3624
Azelia_nebulosa	cov40_pct	0.0871
Azelia_nebulosa	cov40_n	2860516
Azelia_nebulosa	cov40_hits	2492
Azelia_nebulosa	cov50_pct	0.0682
Azelia_nebulosa	cov50_n	2140700
Azelia_nebulosa	cov50_hits	1460
Azelia_nebulosa	cov60_pct	0.0561
Azelia_nebulosa	cov60_n	1896684
Azelia_nebulosa	cov60_hits	1064
Azelia_nebulosa	cov70_pct	0.0448
Azelia_nebulosa	cov70_n	1860856
Azelia_nebulosa	cov70_hits	833
Azelia_nebulosa	cov80_pct	0.0448
Azelia_nebulosa	cov80_n	1575630
Azelia_nebulosa	cov80_hits	706
Azelia_nebulosa	cov90_pct	0.0371
Azelia_nebulosa	cov90_n	913221
Azelia_nebulosa	cov90_hits	339
Azelia_nebulosa	cov100_pct	0.0502
Azelia_nebulosa	cov100_n	352854
Azelia_nebulosa	cov100_hits	177
Azelia_nebulosa	cov110_pct	0.0651
Azelia_nebulosa	cov110_n	107572
Azelia_nebulosa	cov110_hits	70
Azelia_nebulosa	cov120_pct	0.1307
Azelia_nebulosa	cov120_n	42097
Azelia_nebulosa	cov120_hits	55
Azelia_nebulosa	cov130_pct	0.1117
Azelia_nebulosa	cov130_n	24165
Azelia_nebulosa	cov130_hits	27
Azelia_nebulosa	cov140_pct	0.1228
Azelia_nebulosa	cov140_n	15471
Azelia_nebulosa	cov140_hits	19
Azelia_nebulosa	cov150_pct	0.1434
Azelia_nebulosa	cov150_n	12549
Azelia_nebulosa	cov150_hits	18
Azelia_nebulosa	cov160_pct	0.0784
Azelia_nebulosa	cov160_n	8931
Azelia_nebulosa	cov160_hits	7
Azelia_nebulosa	cov170_pct	0.0682
Azelia_nebulosa	cov170_n	7329
Azelia_nebulosa	cov170_hits	5
Azelia_nebulosa	cov180_pct	0.0877
Azelia_nebulosa	cov180_n	4560
Azelia_nebulosa	cov180_hits	4
Azelia_nebulosa	cov190_pct	0.1065
Azelia_nebulosa	cov190_n	3756
Azelia_nebulosa	cov190_hits	4
Azelia_nebulosa	cov200_pct	0.0282
Azelia_nebulosa	cov200_n	21286
Azelia_nebulosa	cov200_hits	6
