label	metric	value
Beris_morrisii	covered_sites	21915929
Beris_morrisii	confident_sites	4652
Beris_morrisii	pct_confident	0.0212
Beris_morrisii	clustering_observed	nan
Beris_morrisii	clustering_null_mean	nan
Beris_morrisii	clustering_enrichment	nan
Beris_morrisii	clustering_z	nan
Beris_morrisii	mito_sites	129
Beris_morrisii	mito_pct_confident	0.0
Beris_morrisii	cov0_pct	1.578
Beris_morrisii	cov0_n	48417
Beris_morrisii	cov0_hits	764
Beris_morrisii	cov10_pct	0.1936
Beris_morrisii	cov10_n	841910
Beris_morrisii	cov10_hits	1630
Beris_morrisii	cov20_pct	0.0327
Beris_morrisii	cov20_n	3121168
Beris_morrisii	cov20_hits	1022
Beris_morrisii	cov30_pct	0.0096
Beris_morrisii	cov30_n	7597894
Beris_morrisii	cov30_hits	733
Beris_morrisii	cov40_pct	0.005
Beris_morrisii	cov40_n	7815828
Beris_morrisii	cov40_hits	390
Beris_morrisii	cov50_pct	0.0049
Beris_morrisii	cov50_n	2177229
Beris_morrisii	cov50_hits	106
Beris_morrisii	cov60_pct	0.0031
Beris_morrisii	cov60_n	226383
Beris_morrisii	cov60_hits	7
Beris_morrisii	cov70_pct	0.0
Beris_morrisii	cov70_n	41235
Beris_morrisii	cov70_hits	0
Beris_morrisii	cov80_pct	0.0
Beris_morrisii	cov80_n	16465
Beris_morrisii	cov80_hits	0
Beris_morrisii	cov90_pct	0.0
Beris_morrisii	cov90_n	7046
Beris_morrisii	cov90_hits	0
Beris_morrisii	cov100_pct	0.0
Beris_morrisii	cov100_n	4300
Beris_morrisii	cov100_hits	0
Beris_morrisii	cov110_pct	0.0
Beris_morrisii	cov110_n	3228
Beris_morrisii	cov110_hits	0
Beris_morrisii	cov120_pct	0.0
Beris_morrisii	cov120_n	2289
Beris_morrisii	cov120_hits	0
Beris_morrisii	cov130_pct	0.0
Beris_morrisii	cov130_n	1264
Beris_morrisii	cov130_hits	0
Beris_morrisii	cov140_pct	0.0
Beris_morrisii	cov140_n	1061
Beris_morrisii	cov140_hits	0
Beris_morrisii	cov200_pct	0.0
Beris_morrisii	cov200_n	7690
Beris_morrisii	cov200_hits	0
