label	metric	value
Boloria_frigga	covered_sites	11947501
Boloria_frigga	confident_sites	45532
Boloria_frigga	pct_confident	0.3811
Boloria_frigga	clustering_observed	nan
Boloria_frigga	clustering_null_mean	nan
Boloria_frigga	clustering_enrichment	nan
Boloria_frigga	clustering_z	nan
Boloria_frigga	mito_sites	95
Boloria_frigga	mito_pct_confident	0.0
Boloria_frigga	cov0_pct	1.3104
Boloria_frigga	cov0_n	12668
Boloria_frigga	cov0_hits	166
Boloria_frigga	cov10_pct	0.406
Boloria_frigga	cov10_n	185479
Boloria_frigga	cov10_hits	753
Boloria_frigga	cov20_pct	0.3889
Boloria_frigga	cov20_n	1581068
Boloria_frigga	cov20_hits	6149
Boloria_frigga	cov30_pct	0.3365
Boloria_frigga	cov30_n	1668184
Boloria_frigga	cov30_hits	5613
Boloria_frigga	cov40_pct	0.3227
Boloria_frigga	cov40_n	2619816
Boloria_frigga	cov40_hits	8455
Boloria_frigga	cov50_pct	0.4088
Boloria_frigga	cov50_n	3643010
Boloria_frigga	cov50_hits	14891
Boloria_frigga	cov60_pct	0.466
Boloria_frigga	cov60_n	1722794
Boloria_frigga	cov60_hits	8028
Boloria_frigga	cov70_pct	0.3877
Boloria_frigga	cov70_n	325485
Boloria_frigga	cov70_hits	1262
Boloria_frigga	cov80_pct	0.1695
Boloria_frigga	cov80_n	69014
Boloria_frigga	cov80_hits	117
Boloria_frigga	cov90_pct	0.0804
Boloria_frigga	cov90_n	36092
Boloria_frigga	cov90_hits	29
Boloria_frigga	cov100_pct	0.0823
Boloria_frigga	cov100_n	23088
Boloria_frigga	cov100_hits	19
Boloria_frigga	cov110_pct	0.1562
Boloria_frigga	cov110_n	15365
Boloria_frigga	cov110_hits	24
Boloria_frigga	cov120_pct	0.0681
Boloria_frigga	cov120_n	10280
Boloria_frigga	cov120_hits	7
Boloria_frigga	cov130_pct	0.039
Boloria_frigga	cov130_n	7683
Boloria_frigga	cov130_hits	3
Boloria_frigga	cov140_pct	0.1112
Boloria_frigga	cov140_n	5397
Boloria_frigga	cov140_hits	6
Boloria_frigga	cov150_pct	0.026
Boloria_frigga	cov150_n	3842
Boloria_frigga	cov150_hits	1
Boloria_frigga	cov160_pct	0.1969
Boloria_frigga	cov160_n	3047
Boloria_frigga	cov160_hits	6
Boloria_frigga	cov170_pct	0.042
Boloria_frigga	cov170_n	2383
Boloria_frigga	cov170_hits	1
Boloria_frigga	cov180_pct	0.0
Boloria_frigga	cov180_n	2251
Boloria_frigga	cov180_hits	0
Boloria_frigga	cov190_pct	0.0412
Boloria_frigga	cov190_n	2425
Boloria_frigga	cov190_hits	1
Boloria_frigga	cov200_pct	0.0123
Boloria_frigga	cov200_n	8130
Boloria_frigga	cov200_hits	1
