label	metric	value
Bombus_distinguendus	covered_sites	30650552
Bombus_distinguendus	confident_sites	31148
Bombus_distinguendus	pct_confident	0.1016
Bombus_distinguendus	clustering_observed	nan
Bombus_distinguendus	clustering_null_mean	nan
Bombus_distinguendus	clustering_enrichment	nan
Bombus_distinguendus	clustering_z	nan
Bombus_distinguendus	mito_sites	83
Bombus_distinguendus	mito_pct_confident	0.0
Bombus_distinguendus	cov0_pct	0.3764
Bombus_distinguendus	cov0_n	142677
Bombus_distinguendus	cov0_hits	537
Bombus_distinguendus	cov10_pct	0.032
Bombus_distinguendus	cov10_n	466322
Bombus_distinguendus	cov10_hits	149
Bombus_distinguendus	cov20_pct	0.0044
Bombus_distinguendus	cov20_n	3226141
Bombus_distinguendus	cov20_hits	141
Bombus_distinguendus	cov30_pct	0.0016
Bombus_distinguendus	cov30_n	5540902
Bombus_distinguendus	cov30_hits	88
Bombus_distinguendus	cov40_pct	0.0068
Bombus_distinguendus	cov40_n	3938252
Bombus_distinguendus	cov40_hits	266
Bombus_distinguendus	cov50_pct	0.0242
Bombus_distinguendus	cov50_n	2273154
Bombus_distinguendus	cov50_hits	549
Bombus_distinguendus	cov60_pct	0.1285
Bombus_distinguendus	cov60_n	2528026
Bombus_distinguendus	cov60_hits	3249
Bombus_distinguendus	cov70_pct	0.1813
Bombus_distinguendus	cov70_n	4878823
Bombus_distinguendus	cov70_hits	8844
Bombus_distinguendus	cov80_pct	0.2185
Bombus_distinguendus	cov80_n	4841315
Bombus_distinguendus	cov80_hits	10578
Bombus_distinguendus	cov90_pct	0.2503
Bombus_distinguendus	cov90_n	2144507
Bombus_distinguendus	cov90_hits	5367
Bombus_distinguendus	cov100_pct	0.2703
Bombus_distinguendus	cov100_n	473995
Bombus_distinguendus	cov100_hits	1281
Bombus_distinguendus	cov110_pct	0.0994
Bombus_distinguendus	cov110_n	77439
Bombus_distinguendus	cov110_hits	77
Bombus_distinguendus	cov120_pct	0.097
Bombus_distinguendus	cov120_n	22675
Bombus_distinguendus	cov120_hits	22
Bombus_distinguendus	cov130_pct	0.0
Bombus_distinguendus	cov130_n	14854
Bombus_distinguendus	cov130_hits	0
Bombus_distinguendus	cov140_pct	0.0
Bombus_distinguendus	cov140_n	12309
Bombus_distinguendus	cov140_hits	0
Bombus_distinguendus	cov150_pct	0.0
Bombus_distinguendus	cov150_n	10846
Bombus_distinguendus	cov150_hits	0
Bombus_distinguendus	cov160_pct	0.0
Bombus_distinguendus	cov160_n	9841
Bombus_distinguendus	cov160_hits	0
Bombus_distinguendus	cov170_pct	0.0
Bombus_distinguendus	cov170_n	6456
Bombus_distinguendus	cov170_hits	0
Bombus_distinguendus	cov180_pct	0.0
Bombus_distinguendus	cov180_n	5838
Bombus_distinguendus	cov180_hits	0
Bombus_distinguendus	cov190_pct	0.0
Bombus_distinguendus	cov190_n	4681
Bombus_distinguendus	cov190_hits	0
Bombus_distinguendus	cov200_pct	0.0
Bombus_distinguendus	cov200_n	31499
Bombus_distinguendus	cov200_hits	0
