label	metric	value
Bryotropha_affinis	covered_sites	22539340
Bryotropha_affinis	confident_sites	1216
Bryotropha_affinis	pct_confident	0.0054
Bryotropha_affinis	clustering_observed	nan
Bryotropha_affinis	clustering_null_mean	nan
Bryotropha_affinis	clustering_enrichment	nan
Bryotropha_affinis	clustering_z	nan
Bryotropha_affinis	mito_sites	82
Bryotropha_affinis	mito_pct_confident	0.0
Bryotropha_affinis	cov0_pct	0.3021
Bryotropha_affinis	cov0_n	368726
Bryotropha_affinis	cov0_hits	1114
Bryotropha_affinis	cov10_pct	0.0057
Bryotropha_affinis	cov10_n	1047892
Bryotropha_affinis	cov10_hits	60
Bryotropha_affinis	cov20_pct	0.0012
Bryotropha_affinis	cov20_n	2624906
Bryotropha_affinis	cov20_hits	31
Bryotropha_affinis	cov30_pct	0.0002
Bryotropha_affinis	cov30_n	3109361
Bryotropha_affinis	cov30_hits	7
Bryotropha_affinis	cov40_pct	0.0
Bryotropha_affinis	cov40_n	3105610
Bryotropha_affinis	cov40_hits	1
Bryotropha_affinis	cov50_pct	0.0001
Bryotropha_affinis	cov50_n	4497352
Bryotropha_affinis	cov50_hits	3
Bryotropha_affinis	cov60_pct	0.0
Bryotropha_affinis	cov60_n	4466911
Bryotropha_affinis	cov60_hits	0
Bryotropha_affinis	cov70_pct	0.0
Bryotropha_affinis	cov70_n	2297019
Bryotropha_affinis	cov70_hits	0
Bryotropha_affinis	cov80_pct	0.0
Bryotropha_affinis	cov80_n	638239
Bryotropha_affinis	cov80_hits	0
Bryotropha_affinis	cov90_pct	0.0
Bryotropha_affinis	cov90_n	156889
Bryotropha_affinis	cov90_hits	0
Bryotropha_affinis	cov100_pct	0.0
Bryotropha_affinis	cov100_n	73290
Bryotropha_affinis	cov100_hits	0
Bryotropha_affinis	cov110_pct	0.0
Bryotropha_affinis	cov110_n	46746
Bryotropha_affinis	cov110_hits	0
Bryotropha_affinis	cov120_pct	0.0
Bryotropha_affinis	cov120_n	28773
Bryotropha_affinis	cov120_hits	0
Bryotropha_affinis	cov130_pct	0.0
Bryotropha_affinis	cov130_n	20534
Bryotropha_affinis	cov130_hits	0
Bryotropha_affinis	cov140_pct	0.0
Bryotropha_affinis	cov140_n	14830
Bryotropha_affinis	cov140_hits	0
Bryotropha_affinis	cov150_pct	0.0
Bryotropha_affinis	cov150_n	10429
Bryotropha_affinis	cov150_hits	0
Bryotropha_affinis	cov160_pct	0.0
Bryotropha_affinis	cov160_n	7388
Bryotropha_affinis	cov160_hits	0
Bryotropha_affinis	cov170_pct	0.0
Bryotropha_affinis	cov170_n	5488
Bryotropha_affinis	cov170_hits	0
Bryotropha_affinis	cov180_pct	0.0
Bryotropha_affinis	cov180_n	3351
Bryotropha_affinis	cov180_hits	0
Bryotropha_affinis	cov190_pct	0.0
Bryotropha_affinis	cov190_n	3560
Bryotropha_affinis	cov190_hits	0
Bryotropha_affinis	cov200_pct	0.0
Bryotropha_affinis	cov200_n	12046
Bryotropha_affinis	cov200_hits	0
