label	metric	value
Caenorhabditis_dolens	covered_sites	3543546
Caenorhabditis_dolens	confident_sites	2679
Caenorhabditis_dolens	pct_confident	0.0756
Caenorhabditis_dolens	clustering_observed	nan
Caenorhabditis_dolens	clustering_null_mean	nan
Caenorhabditis_dolens	clustering_enrichment	nan
Caenorhabditis_dolens	clustering_z	nan
Caenorhabditis_dolens	mito_sites	94
Caenorhabditis_dolens	mito_pct_confident	0.0
Caenorhabditis_dolens	cov0_pct	2.0335
Caenorhabditis_dolens	cov0_n	3639
Caenorhabditis_dolens	cov0_hits	74
Caenorhabditis_dolens	cov10_pct	0.4708
Caenorhabditis_dolens	cov10_n	6372
Caenorhabditis_dolens	cov10_hits	30
Caenorhabditis_dolens	cov20_pct	0.2577
Caenorhabditis_dolens	cov20_n	11254
Caenorhabditis_dolens	cov20_hits	29
Caenorhabditis_dolens	cov30_pct	0.0535
Caenorhabditis_dolens	cov30_n	13077
Caenorhabditis_dolens	cov30_hits	7
Caenorhabditis_dolens	cov40_pct	0.0737
Caenorhabditis_dolens	cov40_n	12205
Caenorhabditis_dolens	cov40_hits	9
Caenorhabditis_dolens	cov50_pct	0.0889
Caenorhabditis_dolens	cov50_n	14618
Caenorhabditis_dolens	cov50_hits	13
Caenorhabditis_dolens	cov60_pct	0.0528
Caenorhabditis_dolens	cov60_n	17041
Caenorhabditis_dolens	cov60_hits	9
Caenorhabditis_dolens	cov70_pct	0.0427
Caenorhabditis_dolens	cov70_n	21060
Caenorhabditis_dolens	cov70_hits	9
Caenorhabditis_dolens	cov80_pct	0.0342
Caenorhabditis_dolens	cov80_n	23389
Caenorhabditis_dolens	cov80_hits	8
Caenorhabditis_dolens	cov90_pct	0.0458
Caenorhabditis_dolens	cov90_n	24036
Caenorhabditis_dolens	cov90_hits	11
Caenorhabditis_dolens	cov100_pct	0.0452
Caenorhabditis_dolens	cov100_n	28752
Caenorhabditis_dolens	cov100_hits	13
Caenorhabditis_dolens	cov110_pct	0.0707
Caenorhabditis_dolens	cov110_n	42432
Caenorhabditis_dolens	cov110_hits	30
Caenorhabditis_dolens	cov120_pct	0.0876
Caenorhabditis_dolens	cov120_n	52527
Caenorhabditis_dolens	cov120_hits	46
Caenorhabditis_dolens	cov130_pct	0.0819
Caenorhabditis_dolens	cov130_n	67125
Caenorhabditis_dolens	cov130_hits	55
Caenorhabditis_dolens	cov140_pct	0.0631
Caenorhabditis_dolens	cov140_n	91857
Caenorhabditis_dolens	cov140_hits	58
Caenorhabditis_dolens	cov150_pct	0.0817
Caenorhabditis_dolens	cov150_n	128531
Caenorhabditis_dolens	cov150_hits	105
Caenorhabditis_dolens	cov160_pct	0.0915
Caenorhabditis_dolens	cov160_n	185779
Caenorhabditis_dolens	cov160_hits	170
Caenorhabditis_dolens	cov170_pct	0.0764
Caenorhabditis_dolens	cov170_n	234346
Caenorhabditis_dolens	cov170_hits	179
Caenorhabditis_dolens	cov180_pct	0.0628
Caenorhabditis_dolens	cov180_n	272151
Caenorhabditis_dolens	cov180_hits	171
Caenorhabditis_dolens	cov190_pct	0.0612
Caenorhabditis_dolens	cov190_n	299137
Caenorhabditis_dolens	cov190_hits	183
Caenorhabditis_dolens	cov200_pct	0.0737
Caenorhabditis_dolens	cov200_n	1994218
Caenorhabditis_dolens	cov200_hits	1470
