label	metric	value
Caenorhabditis_elegans	covered_sites	3099092
Caenorhabditis_elegans	confident_sites	282
Caenorhabditis_elegans	pct_confident	0.0091
Caenorhabditis_elegans	clustering_observed	nan
Caenorhabditis_elegans	clustering_null_mean	nan
Caenorhabditis_elegans	clustering_enrichment	nan
Caenorhabditis_elegans	clustering_z	nan
Caenorhabditis_elegans	cov0_pct	1.1216
Caenorhabditis_elegans	cov0_n	22289
Caenorhabditis_elegans	cov0_hits	250
Caenorhabditis_elegans	cov10_pct	0.0655
Caenorhabditis_elegans	cov10_n	38140
Caenorhabditis_elegans	cov10_hits	25
Caenorhabditis_elegans	cov20_pct	0.0
Caenorhabditis_elegans	cov20_n	45171
Caenorhabditis_elegans	cov20_hits	0
Caenorhabditis_elegans	cov30_pct	0.0
Caenorhabditis_elegans	cov30_n	51170
Caenorhabditis_elegans	cov30_hits	0
Caenorhabditis_elegans	cov40_pct	0.0
Caenorhabditis_elegans	cov40_n	59123
Caenorhabditis_elegans	cov40_hits	0
Caenorhabditis_elegans	cov50_pct	0.0
Caenorhabditis_elegans	cov50_n	65148
Caenorhabditis_elegans	cov50_hits	0
Caenorhabditis_elegans	cov60_pct	0.0014
Caenorhabditis_elegans	cov60_n	69372
Caenorhabditis_elegans	cov60_hits	1
Caenorhabditis_elegans	cov70_pct	0.0
Caenorhabditis_elegans	cov70_n	76014
Caenorhabditis_elegans	cov70_hits	0
Caenorhabditis_elegans	cov80_pct	0.0012
Caenorhabditis_elegans	cov80_n	85629
Caenorhabditis_elegans	cov80_hits	1
Caenorhabditis_elegans	cov90_pct	0.0
Caenorhabditis_elegans	cov90_n	88509
Caenorhabditis_elegans	cov90_hits	0
Caenorhabditis_elegans	cov100_pct	0.001
Caenorhabditis_elegans	cov100_n	98376
Caenorhabditis_elegans	cov100_hits	1
Caenorhabditis_elegans	cov110_pct	0.0019
Caenorhabditis_elegans	cov110_n	103947
Caenorhabditis_elegans	cov110_hits	2
Caenorhabditis_elegans	cov120_pct	0.0
Caenorhabditis_elegans	cov120_n	111822
Caenorhabditis_elegans	cov120_hits	0
Caenorhabditis_elegans	cov130_pct	0.0
Caenorhabditis_elegans	cov130_n	116355
Caenorhabditis_elegans	cov130_hits	0
Caenorhabditis_elegans	cov140_pct	0.0
Caenorhabditis_elegans	cov140_n	116967
Caenorhabditis_elegans	cov140_hits	0
Caenorhabditis_elegans	cov150_pct	0.0008
Caenorhabditis_elegans	cov150_n	120484
Caenorhabditis_elegans	cov150_hits	1
Caenorhabditis_elegans	cov160_pct	0.0
Caenorhabditis_elegans	cov160_n	119345
Caenorhabditis_elegans	cov160_hits	0
Caenorhabditis_elegans	cov170_pct	0.0
Caenorhabditis_elegans	cov170_n	121991
Caenorhabditis_elegans	cov170_hits	0
Caenorhabditis_elegans	cov180_pct	0.0008
Caenorhabditis_elegans	cov180_n	124017
Caenorhabditis_elegans	cov180_hits	1
Caenorhabditis_elegans	cov190_pct	0.0
Caenorhabditis_elegans	cov190_n	117701
Caenorhabditis_elegans	cov190_hits	0
Caenorhabditis_elegans	cov200_pct	0.0
Caenorhabditis_elegans	cov200_n	1347522
Caenorhabditis_elegans	cov200_hits	0
