label	metric	value
Caenorhabditis_portoensis	covered_sites	5482165
Caenorhabditis_portoensis	confident_sites	131
Caenorhabditis_portoensis	pct_confident	0.0024
Caenorhabditis_portoensis	clustering_observed	nan
Caenorhabditis_portoensis	clustering_null_mean	nan
Caenorhabditis_portoensis	clustering_enrichment	nan
Caenorhabditis_portoensis	clustering_z	nan
Caenorhabditis_portoensis	mito_sites	93
Caenorhabditis_portoensis	mito_pct_confident	0.0
Caenorhabditis_portoensis	cov0_pct	0.7619
Caenorhabditis_portoensis	cov0_n	16143
Caenorhabditis_portoensis	cov0_hits	123
Caenorhabditis_portoensis	cov10_pct	0.0446
Caenorhabditis_portoensis	cov10_n	8971
Caenorhabditis_portoensis	cov10_hits	4
Caenorhabditis_portoensis	cov20_pct	0.02
Caenorhabditis_portoensis	cov20_n	5010
Caenorhabditis_portoensis	cov20_hits	1
Caenorhabditis_portoensis	cov30_pct	0.0
Caenorhabditis_portoensis	cov30_n	5610
Caenorhabditis_portoensis	cov30_hits	0
Caenorhabditis_portoensis	cov40_pct	0.0
Caenorhabditis_portoensis	cov40_n	7109
Caenorhabditis_portoensis	cov40_hits	0
Caenorhabditis_portoensis	cov50_pct	0.0
Caenorhabditis_portoensis	cov50_n	7508
Caenorhabditis_portoensis	cov50_hits	0
Caenorhabditis_portoensis	cov60_pct	0.0
Caenorhabditis_portoensis	cov60_n	10039
Caenorhabditis_portoensis	cov60_hits	0
Caenorhabditis_portoensis	cov70_pct	0.0
Caenorhabditis_portoensis	cov70_n	15514
Caenorhabditis_portoensis	cov70_hits	0
Caenorhabditis_portoensis	cov80_pct	0.0
Caenorhabditis_portoensis	cov80_n	25746
Caenorhabditis_portoensis	cov80_hits	0
Caenorhabditis_portoensis	cov90_pct	0.0
Caenorhabditis_portoensis	cov90_n	33006
Caenorhabditis_portoensis	cov90_hits	0
Caenorhabditis_portoensis	cov100_pct	0.0
Caenorhabditis_portoensis	cov100_n	38522
Caenorhabditis_portoensis	cov100_hits	0
Caenorhabditis_portoensis	cov110_pct	0.0046
Caenorhabditis_portoensis	cov110_n	43608
Caenorhabditis_portoensis	cov110_hits	2
Caenorhabditis_portoensis	cov120_pct	0.0019
Caenorhabditis_portoensis	cov120_n	52180
Caenorhabditis_portoensis	cov120_hits	1
Caenorhabditis_portoensis	cov130_pct	0.0
Caenorhabditis_portoensis	cov130_n	61555
Caenorhabditis_portoensis	cov130_hits	0
Caenorhabditis_portoensis	cov140_pct	0.0
Caenorhabditis_portoensis	cov140_n	76426
Caenorhabditis_portoensis	cov140_hits	0
Caenorhabditis_portoensis	cov150_pct	0.0
Caenorhabditis_portoensis	cov150_n	94433
Caenorhabditis_portoensis	cov150_hits	0
Caenorhabditis_portoensis	cov160_pct	0.0
Caenorhabditis_portoensis	cov160_n	135173
Caenorhabditis_portoensis	cov160_hits	0
Caenorhabditis_portoensis	cov170_pct	0.0
Caenorhabditis_portoensis	cov170_n	190250
Caenorhabditis_portoensis	cov170_hits	0
Caenorhabditis_portoensis	cov180_pct	0.0
Caenorhabditis_portoensis	cov180_n	262260
Caenorhabditis_portoensis	cov180_hits	0
Caenorhabditis_portoensis	cov190_pct	0.0
Caenorhabditis_portoensis	cov190_n	336139
Caenorhabditis_portoensis	cov190_hits	0
Caenorhabditis_portoensis	cov200_pct	0.0
Caenorhabditis_portoensis	cov200_n	4056963
Caenorhabditis_portoensis	cov200_hits	0
