label	metric	value
Calliphora_loewi	covered_sites	15136124
Calliphora_loewi	confident_sites	43558
Calliphora_loewi	pct_confident	0.2878
Calliphora_loewi	clustering_observed	nan
Calliphora_loewi	clustering_null_mean	nan
Calliphora_loewi	clustering_enrichment	nan
Calliphora_loewi	clustering_z	nan
Calliphora_loewi	mito_sites	130
Calliphora_loewi	mito_pct_confident	0.0
Calliphora_loewi	cov0_pct	1.7683
Calliphora_loewi	cov0_n	1155750
Calliphora_loewi	cov0_hits	20437
Calliphora_loewi	cov10_pct	0.3688
Calliphora_loewi	cov10_n	3442618
Calliphora_loewi	cov10_hits	12698
Calliphora_loewi	cov20_pct	0.1465
Calliphora_loewi	cov20_n	3137506
Calliphora_loewi	cov20_hits	4595
Calliphora_loewi	cov30_pct	0.0871
Calliphora_loewi	cov30_n	2397208
Calliphora_loewi	cov30_hits	2088
Calliphora_loewi	cov40_pct	0.0582
Calliphora_loewi	cov40_n	2479708
Calliphora_loewi	cov40_hits	1442
Calliphora_loewi	cov50_pct	0.0674
Calliphora_loewi	cov50_n	1719139
Calliphora_loewi	cov50_hits	1159
Calliphora_loewi	cov60_pct	0.1359
Calliphora_loewi	cov60_n	548349
Calliphora_loewi	cov60_hits	745
Calliphora_loewi	cov70_pct	0.248
Calliphora_loewi	cov70_n	127423
Calliphora_loewi	cov70_hits	316
Calliphora_loewi	cov80_pct	0.1234
Calliphora_loewi	cov80_n	46193
Calliphora_loewi	cov80_hits	57
Calliphora_loewi	cov90_pct	0.0577
Calliphora_loewi	cov90_n	24275
Calliphora_loewi	cov90_hits	14
Calliphora_loewi	cov100_pct	0.0135
Calliphora_loewi	cov100_n	14827
Calliphora_loewi	cov100_hits	2
Calliphora_loewi	cov110_pct	0.0
Calliphora_loewi	cov110_n	10174
Calliphora_loewi	cov110_hits	0
Calliphora_loewi	cov120_pct	0.0284
Calliphora_loewi	cov120_n	7054
Calliphora_loewi	cov120_hits	2
Calliphora_loewi	cov130_pct	0.0
Calliphora_loewi	cov130_n	4777
Calliphora_loewi	cov130_hits	0
Calliphora_loewi	cov140_pct	0.0
Calliphora_loewi	cov140_n	3596
Calliphora_loewi	cov140_hits	0
Calliphora_loewi	cov150_pct	0.0
Calliphora_loewi	cov150_n	2630
Calliphora_loewi	cov150_hits	0
Calliphora_loewi	cov160_pct	0.0
Calliphora_loewi	cov160_n	2010
Calliphora_loewi	cov160_hits	0
Calliphora_loewi	cov170_pct	0.0
Calliphora_loewi	cov170_n	1273
Calliphora_loewi	cov170_hits	0
Calliphora_loewi	cov180_pct	0.0745
Calliphora_loewi	cov180_n	1342
Calliphora_loewi	cov180_hits	1
Calliphora_loewi	cov200_pct	0.0212
Calliphora_loewi	cov200_n	9422
Calliphora_loewi	cov200_hits	2
