label	metric	value
Campiglossa_producta	covered_sites	27682351
Campiglossa_producta	confident_sites	21384
Campiglossa_producta	pct_confident	0.0772
Campiglossa_producta	clustering_observed	nan
Campiglossa_producta	clustering_null_mean	nan
Campiglossa_producta	clustering_enrichment	nan
Campiglossa_producta	clustering_z	nan
Campiglossa_producta	mito_sites	101
Campiglossa_producta	mito_pct_confident	0.0
Campiglossa_producta	cov0_pct	1.0179
Campiglossa_producta	cov0_n	1264821
Campiglossa_producta	cov0_hits	12874
Campiglossa_producta	cov10_pct	0.14
Campiglossa_producta	cov10_n	3493976
Campiglossa_producta	cov10_hits	4892
Campiglossa_producta	cov20_pct	0.0375
Campiglossa_producta	cov20_n	4354711
Campiglossa_producta	cov20_hits	1634
Campiglossa_producta	cov30_pct	0.017
Campiglossa_producta	cov30_n	4980261
Campiglossa_producta	cov30_hits	846
Campiglossa_producta	cov40_pct	0.0103
Campiglossa_producta	cov40_n	5766650
Campiglossa_producta	cov40_hits	595
Campiglossa_producta	cov50_pct	0.0077
Campiglossa_producta	cov50_n	4688001
Campiglossa_producta	cov50_hits	362
Campiglossa_producta	cov60_pct	0.0064
Campiglossa_producta	cov60_n	2237946
Campiglossa_producta	cov60_hits	143
Campiglossa_producta	cov70_pct	0.0044
Campiglossa_producta	cov70_n	620408
Campiglossa_producta	cov70_hits	27
Campiglossa_producta	cov80_pct	0.0034
Campiglossa_producta	cov80_n	146862
Campiglossa_producta	cov80_hits	5
Campiglossa_producta	cov90_pct	0.0055
Campiglossa_producta	cov90_n	55040
Campiglossa_producta	cov90_hits	3
Campiglossa_producta	cov100_pct	0.0
Campiglossa_producta	cov100_n	28125
Campiglossa_producta	cov100_hits	0
Campiglossa_producta	cov110_pct	0.0
Campiglossa_producta	cov110_n	15725
Campiglossa_producta	cov110_hits	0
Campiglossa_producta	cov120_pct	0.0
Campiglossa_producta	cov120_n	8690
Campiglossa_producta	cov120_hits	0
Campiglossa_producta	cov130_pct	0.0
Campiglossa_producta	cov130_n	5610
Campiglossa_producta	cov130_hits	0
Campiglossa_producta	cov140_pct	0.0
Campiglossa_producta	cov140_n	3549
Campiglossa_producta	cov140_hits	0
Campiglossa_producta	cov150_pct	0.0
Campiglossa_producta	cov150_n	2603
Campiglossa_producta	cov150_hits	0
Campiglossa_producta	cov160_pct	0.0
Campiglossa_producta	cov160_n	1833
Campiglossa_producta	cov160_hits	0
Campiglossa_producta	cov170_pct	0.0
Campiglossa_producta	cov170_n	1269
Campiglossa_producta	cov170_hits	0
Campiglossa_producta	cov200_pct	0.0633
Campiglossa_producta	cov200_n	4741
Campiglossa_producta	cov200_hits	3
