label	metric	value
Clogmia_albipunctata	covered_sites	7775312
Clogmia_albipunctata	confident_sites	1800
Clogmia_albipunctata	pct_confident	0.0232
Clogmia_albipunctata	clustering_observed	nan
Clogmia_albipunctata	clustering_null_mean	nan
Clogmia_albipunctata	clustering_enrichment	nan
Clogmia_albipunctata	clustering_z	nan
Clogmia_albipunctata	mito_sites	122
Clogmia_albipunctata	mito_pct_confident	0.0
Clogmia_albipunctata	cov0_pct	2.1396
Clogmia_albipunctata	cov0_n	15377
Clogmia_albipunctata	cov0_hits	329
Clogmia_albipunctata	cov10_pct	0.2375
Clogmia_albipunctata	cov10_n	69055
Clogmia_albipunctata	cov10_hits	164
Clogmia_albipunctata	cov20_pct	0.056
Clogmia_albipunctata	cov20_n	387725
Clogmia_albipunctata	cov20_hits	217
Clogmia_albipunctata	cov30_pct	0.0325
Clogmia_albipunctata	cov30_n	1118610
Clogmia_albipunctata	cov30_hits	364
Clogmia_albipunctata	cov40_pct	0.0254
Clogmia_albipunctata	cov40_n	758670
Clogmia_albipunctata	cov40_hits	193
Clogmia_albipunctata	cov50_pct	0.0115
Clogmia_albipunctata	cov50_n	894903
Clogmia_albipunctata	cov50_hits	103
Clogmia_albipunctata	cov60_pct	0.0102
Clogmia_albipunctata	cov60_n	1791715
Clogmia_albipunctata	cov60_hits	183
Clogmia_albipunctata	cov70_pct	0.0091
Clogmia_albipunctata	cov70_n	1673083
Clogmia_albipunctata	cov70_hits	153
Clogmia_albipunctata	cov80_pct	0.0102
Clogmia_albipunctata	cov80_n	673614
Clogmia_albipunctata	cov80_hits	69
Clogmia_albipunctata	cov90_pct	0.0071
Clogmia_albipunctata	cov90_n	169276
Clogmia_albipunctata	cov90_hits	12
Clogmia_albipunctata	cov100_pct	0.0062
Clogmia_albipunctata	cov100_n	64316
Clogmia_albipunctata	cov100_hits	4
Clogmia_albipunctata	cov110_pct	0.0077
Clogmia_albipunctata	cov110_n	39058
Clogmia_albipunctata	cov110_hits	3
Clogmia_albipunctata	cov120_pct	0.0038
Clogmia_albipunctata	cov120_n	26045
Clogmia_albipunctata	cov120_hits	1
Clogmia_albipunctata	cov130_pct	0.0099
Clogmia_albipunctata	cov130_n	20184
Clogmia_albipunctata	cov130_hits	2
Clogmia_albipunctata	cov140_pct	0.0
Clogmia_albipunctata	cov140_n	15019
Clogmia_albipunctata	cov140_hits	0
Clogmia_albipunctata	cov150_pct	0.0089
Clogmia_albipunctata	cov150_n	11246
Clogmia_albipunctata	cov150_hits	1
Clogmia_albipunctata	cov160_pct	0.0
Clogmia_albipunctata	cov160_n	7391
Clogmia_albipunctata	cov160_hits	0
Clogmia_albipunctata	cov170_pct	0.0
Clogmia_albipunctata	cov170_n	6230
Clogmia_albipunctata	cov170_hits	0
Clogmia_albipunctata	cov180_pct	0.0181
Clogmia_albipunctata	cov180_n	5525
Clogmia_albipunctata	cov180_hits	1
Clogmia_albipunctata	cov190_pct	0.0
Clogmia_albipunctata	cov190_n	4453
Clogmia_albipunctata	cov190_hits	0
Clogmia_albipunctata	cov200_pct	0.0042
Clogmia_albipunctata	cov200_n	23817
Clogmia_albipunctata	cov200_hits	1
