label	metric	value
Coelopa_frigida	covered_sites	10260202
Coelopa_frigida	confident_sites	4219
Coelopa_frigida	pct_confident	0.0411
Coelopa_frigida	clustering_observed	nan
Coelopa_frigida	clustering_null_mean	nan
Coelopa_frigida	clustering_enrichment	nan
Coelopa_frigida	clustering_z	nan
Coelopa_frigida	mito_sites	208
Coelopa_frigida	mito_pct_confident	0.0
Coelopa_frigida	cov0_pct	3.5392
Coelopa_frigida	cov0_n	53261
Coelopa_frigida	cov0_hits	1885
Coelopa_frigida	cov10_pct	0.4992
Coelopa_frigida	cov10_n	147828
Coelopa_frigida	cov10_hits	738
Coelopa_frigida	cov20_pct	0.08
Coelopa_frigida	cov20_n	201156
Coelopa_frigida	cov20_hits	161
Coelopa_frigida	cov30_pct	0.0304
Coelopa_frigida	cov30_n	312112
Coelopa_frigida	cov30_hits	95
Coelopa_frigida	cov40_pct	0.0324
Coelopa_frigida	cov40_n	481539
Coelopa_frigida	cov40_hits	156
Coelopa_frigida	cov50_pct	0.0198
Coelopa_frigida	cov50_n	683355
Coelopa_frigida	cov50_hits	135
Coelopa_frigida	cov60_pct	0.0171
Coelopa_frigida	cov60_n	901441
Coelopa_frigida	cov60_hits	154
Coelopa_frigida	cov70_pct	0.0147
Coelopa_frigida	cov70_n	1214369
Coelopa_frigida	cov70_hits	179
Coelopa_frigida	cov80_pct	0.0122
Coelopa_frigida	cov80_n	1527898
Coelopa_frigida	cov80_hits	186
Coelopa_frigida	cov90_pct	0.011
Coelopa_frigida	cov90_n	1642100
Coelopa_frigida	cov90_hits	180
Coelopa_frigida	cov100_pct	0.0118
Coelopa_frigida	cov100_n	1420020
Coelopa_frigida	cov100_hits	167
Coelopa_frigida	cov110_pct	0.0094
Coelopa_frigida	cov110_n	918126
Coelopa_frigida	cov110_hits	86
Coelopa_frigida	cov120_pct	0.0126
Coelopa_frigida	cov120_n	444514
Coelopa_frigida	cov120_hits	56
Coelopa_frigida	cov130_pct	0.016
Coelopa_frigida	cov130_n	169169
Coelopa_frigida	cov130_hits	27
Coelopa_frigida	cov140_pct	0.0173
Coelopa_frigida	cov140_n	57917
Coelopa_frigida	cov140_hits	10
Coelopa_frigida	cov150_pct	0.0046
Coelopa_frigida	cov150_n	21715
Coelopa_frigida	cov150_hits	1
Coelopa_frigida	cov160_pct	0.0191
Coelopa_frigida	cov160_n	10492
Coelopa_frigida	cov160_hits	2
Coelopa_frigida	cov170_pct	0.0
Coelopa_frigida	cov170_n	7268
Coelopa_frigida	cov170_hits	0
Coelopa_frigida	cov180_pct	0.0
Coelopa_frigida	cov180_n	5949
Coelopa_frigida	cov180_hits	0
Coelopa_frigida	cov190_pct	0.0
Coelopa_frigida	cov190_n	5384
Coelopa_frigida	cov190_hits	0
Coelopa_frigida	cov200_pct	0.0029
Coelopa_frigida	cov200_n	34589
Coelopa_frigida	cov200_hits	1
