label	metric	value
Coleophora_lutipennella	covered_sites	46252495
Coleophora_lutipennella	confident_sites	191414
Coleophora_lutipennella	pct_confident	0.4138
Coleophora_lutipennella	clustering_observed	nan
Coleophora_lutipennella	clustering_null_mean	nan
Coleophora_lutipennella	clustering_enrichment	nan
Coleophora_lutipennella	clustering_z	nan
Coleophora_lutipennella	mito_sites	82
Coleophora_lutipennella	mito_pct_confident	0.0
Coleophora_lutipennella	cov0_pct	0.5029
Coleophora_lutipennella	cov0_n	102796
Coleophora_lutipennella	cov0_hits	517
Coleophora_lutipennella	cov10_pct	0.262
Coleophora_lutipennella	cov10_n	2734244
Coleophora_lutipennella	cov10_hits	7164
Coleophora_lutipennella	cov20_pct	0.3965
Coleophora_lutipennella	cov20_n	7270358
Coleophora_lutipennella	cov20_hits	28830
Coleophora_lutipennella	cov30_pct	0.3058
Coleophora_lutipennella	cov30_n	9091455
Coleophora_lutipennella	cov30_hits	27803
Coleophora_lutipennella	cov40_pct	0.424
Coleophora_lutipennella	cov40_n	15305236
Coleophora_lutipennella	cov40_hits	64889
Coleophora_lutipennella	cov50_pct	0.5741
Coleophora_lutipennella	cov50_n	8638615
Coleophora_lutipennella	cov50_hits	49595
Coleophora_lutipennella	cov60_pct	0.5744
Coleophora_lutipennella	cov60_n	1858172
Coleophora_lutipennella	cov60_hits	10674
Coleophora_lutipennella	cov70_pct	0.2371
Coleophora_lutipennella	cov70_n	448295
Coleophora_lutipennella	cov70_hits	1063
Coleophora_lutipennella	cov80_pct	0.163
Coleophora_lutipennella	cov80_n	229399
Coleophora_lutipennella	cov80_hits	374
Coleophora_lutipennella	cov90_pct	0.112
Coleophora_lutipennella	cov90_n	137538
Coleophora_lutipennella	cov90_hits	154
Coleophora_lutipennella	cov100_pct	0.1372
Coleophora_lutipennella	cov100_n	88906
Coleophora_lutipennella	cov100_hits	122
Coleophora_lutipennella	cov110_pct	0.117
Coleophora_lutipennella	cov110_n	61518
Coleophora_lutipennella	cov110_hits	72
Coleophora_lutipennella	cov120_pct	0.0935
Coleophora_lutipennella	cov120_n	48130
Coleophora_lutipennella	cov120_hits	45
Coleophora_lutipennella	cov130_pct	0.0803
Coleophora_lutipennella	cov130_n	39865
Coleophora_lutipennella	cov130_hits	32
Coleophora_lutipennella	cov140_pct	0.0286
Coleophora_lutipennella	cov140_n	27993
Coleophora_lutipennella	cov140_hits	8
Coleophora_lutipennella	cov150_pct	0.1336
Coleophora_lutipennella	cov150_n	22461
Coleophora_lutipennella	cov150_hits	30
Coleophora_lutipennella	cov160_pct	0.0408
Coleophora_lutipennella	cov160_n	17152
Coleophora_lutipennella	cov160_hits	7
Coleophora_lutipennella	cov170_pct	0.0878
Coleophora_lutipennella	cov170_n	15941
Coleophora_lutipennella	cov170_hits	14
Coleophora_lutipennella	cov180_pct	0.0657
Coleophora_lutipennella	cov180_n	12174
Coleophora_lutipennella	cov180_hits	8
Coleophora_lutipennella	cov190_pct	0.0089
Coleophora_lutipennella	cov190_n	11260
Coleophora_lutipennella	cov190_hits	1
Coleophora_lutipennella	cov200_pct	0.0132
Coleophora_lutipennella	cov200_n	90987
Coleophora_lutipennella	cov200_hits	12
