label	metric	value
Colotis_evagore	covered_sites	8279823
Colotis_evagore	confident_sites	64005
Colotis_evagore	pct_confident	0.773
Colotis_evagore	clustering_observed	nan
Colotis_evagore	clustering_null_mean	nan
Colotis_evagore	clustering_enrichment	nan
Colotis_evagore	clustering_z	nan
Colotis_evagore	mito_sites	93
Colotis_evagore	mito_pct_confident	0.0
Colotis_evagore	cov0_pct	1.2056
Colotis_evagore	cov0_n	7797
Colotis_evagore	cov0_hits	94
Colotis_evagore	cov10_pct	0.5988
Colotis_evagore	cov10_n	106208
Colotis_evagore	cov10_hits	636
Colotis_evagore	cov20_pct	0.6202
Colotis_evagore	cov20_n	696997
Colotis_evagore	cov20_hits	4323
Colotis_evagore	cov30_pct	0.5829
Colotis_evagore	cov30_n	769650
Colotis_evagore	cov30_hits	4486
Colotis_evagore	cov40_pct	0.8199
Colotis_evagore	cov40_n	2111379
Colotis_evagore	cov40_hits	17311
Colotis_evagore	cov50_pct	0.8415
Colotis_evagore	cov50_n	3075988
Colotis_evagore	cov50_hits	25884
Colotis_evagore	cov60_pct	0.8088
Colotis_evagore	cov60_n	1223664
Colotis_evagore	cov60_hits	9897
Colotis_evagore	cov70_pct	0.584
Colotis_evagore	cov70_n	189047
Colotis_evagore	cov70_hits	1104
Colotis_evagore	cov80_pct	0.3103
Colotis_evagore	cov80_n	42217
Colotis_evagore	cov80_hits	131
Colotis_evagore	cov90_pct	0.2457
Colotis_evagore	cov90_n	21166
Colotis_evagore	cov90_hits	52
Colotis_evagore	cov100_pct	0.1687
Colotis_evagore	cov100_n	11857
Colotis_evagore	cov100_hits	20
Colotis_evagore	cov110_pct	0.1681
Colotis_evagore	cov110_n	7734
Colotis_evagore	cov110_hits	13
Colotis_evagore	cov120_pct	0.8976
Colotis_evagore	cov120_n	4345
Colotis_evagore	cov120_hits	39
Colotis_evagore	cov130_pct	0.0963
Colotis_evagore	cov130_n	3116
Colotis_evagore	cov130_hits	3
Colotis_evagore	cov140_pct	0.0623
Colotis_evagore	cov140_n	1606
Colotis_evagore	cov140_hits	1
Colotis_evagore	cov150_pct	0.0
Colotis_evagore	cov150_n	1135
Colotis_evagore	cov150_hits	0
Colotis_evagore	cov200_pct	0.0926
Colotis_evagore	cov200_n	3241
Colotis_evagore	cov200_hits	3
