label	metric	value
Cylindromyia_interrupta	covered_sites	18806531
Cylindromyia_interrupta	confident_sites	6920
Cylindromyia_interrupta	pct_confident	0.0368
Cylindromyia_interrupta	clustering_observed	nan
Cylindromyia_interrupta	clustering_null_mean	nan
Cylindromyia_interrupta	clustering_enrichment	nan
Cylindromyia_interrupta	clustering_z	nan
Cylindromyia_interrupta	mito_sites	141
Cylindromyia_interrupta	mito_pct_confident	0.0
Cylindromyia_interrupta	cov0_pct	1.3887
Cylindromyia_interrupta	cov0_n	169949
Cylindromyia_interrupta	cov0_hits	2360
Cylindromyia_interrupta	cov10_pct	0.0726
Cylindromyia_interrupta	cov10_n	1603137
Cylindromyia_interrupta	cov10_hits	1164
Cylindromyia_interrupta	cov20_pct	0.0196
Cylindromyia_interrupta	cov20_n	3073827
Cylindromyia_interrupta	cov20_hits	604
Cylindromyia_interrupta	cov30_pct	0.0113
Cylindromyia_interrupta	cov30_n	1809858
Cylindromyia_interrupta	cov30_hits	205
Cylindromyia_interrupta	cov40_pct	0.0281
Cylindromyia_interrupta	cov40_n	1591913
Cylindromyia_interrupta	cov40_hits	448
Cylindromyia_interrupta	cov50_pct	0.0345
Cylindromyia_interrupta	cov50_n	1595792
Cylindromyia_interrupta	cov50_hits	551
Cylindromyia_interrupta	cov60_pct	0.0343
Cylindromyia_interrupta	cov60_n	1267489
Cylindromyia_interrupta	cov60_hits	435
Cylindromyia_interrupta	cov70_pct	0.0244
Cylindromyia_interrupta	cov70_n	705276
Cylindromyia_interrupta	cov70_hits	172
Cylindromyia_interrupta	cov80_pct	0.0193
Cylindromyia_interrupta	cov80_n	599937
Cylindromyia_interrupta	cov80_hits	116
Cylindromyia_interrupta	cov90_pct	0.0216
Cylindromyia_interrupta	cov90_n	797508
Cylindromyia_interrupta	cov90_hits	172
Cylindromyia_interrupta	cov100_pct	0.0131
Cylindromyia_interrupta	cov100_n	1211146
Cylindromyia_interrupta	cov100_hits	159
Cylindromyia_interrupta	cov110_pct	0.0128
Cylindromyia_interrupta	cov110_n	1596299
Cylindromyia_interrupta	cov110_hits	204
Cylindromyia_interrupta	cov120_pct	0.0116
Cylindromyia_interrupta	cov120_n	1470761
Cylindromyia_interrupta	cov120_hits	171
Cylindromyia_interrupta	cov130_pct	0.0103
Cylindromyia_interrupta	cov130_n	845907
Cylindromyia_interrupta	cov130_hits	87
Cylindromyia_interrupta	cov140_pct	0.0142
Cylindromyia_interrupta	cov140_n	302134
Cylindromyia_interrupta	cov140_hits	43
Cylindromyia_interrupta	cov150_pct	0.0277
Cylindromyia_interrupta	cov150_n	75939
Cylindromyia_interrupta	cov150_hits	21
Cylindromyia_interrupta	cov160_pct	0.0087
Cylindromyia_interrupta	cov160_n	23100
Cylindromyia_interrupta	cov160_hits	2
Cylindromyia_interrupta	cov170_pct	0.0
Cylindromyia_interrupta	cov170_n	12296
Cylindromyia_interrupta	cov170_hits	0
Cylindromyia_interrupta	cov180_pct	0.0104
Cylindromyia_interrupta	cov180_n	9581
Cylindromyia_interrupta	cov180_hits	1
Cylindromyia_interrupta	cov190_pct	0.0556
Cylindromyia_interrupta	cov190_n	7200
Cylindromyia_interrupta	cov190_hits	4
Cylindromyia_interrupta	cov200_pct	0.0027
Cylindromyia_interrupta	cov200_n	37482
Cylindromyia_interrupta	cov200_hits	1
