label	metric	value
Dexiosoma_caninum	covered_sites	13383236
Dexiosoma_caninum	confident_sites	825
Dexiosoma_caninum	pct_confident	0.0062
Dexiosoma_caninum	clustering_observed	nan
Dexiosoma_caninum	clustering_null_mean	nan
Dexiosoma_caninum	clustering_enrichment	nan
Dexiosoma_caninum	clustering_z	nan
Dexiosoma_caninum	mito_sites	95
Dexiosoma_caninum	mito_pct_confident	0.0
Dexiosoma_caninum	cov0_pct	0.5633
Dexiosoma_caninum	cov0_n	5326
Dexiosoma_caninum	cov0_hits	30
Dexiosoma_caninum	cov10_pct	0.1841
Dexiosoma_caninum	cov10_n	33136
Dexiosoma_caninum	cov10_hits	61
Dexiosoma_caninum	cov20_pct	0.0457
Dexiosoma_caninum	cov20_n	201314
Dexiosoma_caninum	cov20_hits	92
Dexiosoma_caninum	cov30_pct	0.0161
Dexiosoma_caninum	cov30_n	503373
Dexiosoma_caninum	cov30_hits	81
Dexiosoma_caninum	cov40_pct	0.0065
Dexiosoma_caninum	cov40_n	1405338
Dexiosoma_caninum	cov40_hits	92
Dexiosoma_caninum	cov50_pct	0.0049
Dexiosoma_caninum	cov50_n	3801501
Dexiosoma_caninum	cov50_hits	186
Dexiosoma_caninum	cov60_pct	0.0037
Dexiosoma_caninum	cov60_n	4837654
Dexiosoma_caninum	cov60_hits	177
Dexiosoma_caninum	cov70_pct	0.0042
Dexiosoma_caninum	cov70_n	2117218
Dexiosoma_caninum	cov70_hits	89
Dexiosoma_caninum	cov80_pct	0.0044
Dexiosoma_caninum	cov80_n	364853
Dexiosoma_caninum	cov80_hits	16
Dexiosoma_caninum	cov90_pct	0.0
Dexiosoma_caninum	cov90_n	50468
Dexiosoma_caninum	cov90_hits	0
Dexiosoma_caninum	cov100_pct	0.0052
Dexiosoma_caninum	cov100_n	19349
Dexiosoma_caninum	cov100_hits	1
Dexiosoma_caninum	cov110_pct	0.0
Dexiosoma_caninum	cov110_n	10884
Dexiosoma_caninum	cov110_hits	0
Dexiosoma_caninum	cov120_pct	0.0
Dexiosoma_caninum	cov120_n	8150
Dexiosoma_caninum	cov120_hits	0
Dexiosoma_caninum	cov130_pct	0.0
Dexiosoma_caninum	cov130_n	5721
Dexiosoma_caninum	cov130_hits	0
Dexiosoma_caninum	cov140_pct	0.0
Dexiosoma_caninum	cov140_n	3275
Dexiosoma_caninum	cov140_hits	0
Dexiosoma_caninum	cov150_pct	0.0
Dexiosoma_caninum	cov150_n	1682
Dexiosoma_caninum	cov150_hits	0
Dexiosoma_caninum	cov160_pct	0.0
Dexiosoma_caninum	cov160_n	1354
Dexiosoma_caninum	cov160_hits	0
Dexiosoma_caninum	cov170_pct	0.0
Dexiosoma_caninum	cov170_n	1342
Dexiosoma_caninum	cov170_hits	0
Dexiosoma_caninum	cov180_pct	0.0
Dexiosoma_caninum	cov180_n	1144
Dexiosoma_caninum	cov180_hits	0
Dexiosoma_caninum	cov200_pct	0.0
Dexiosoma_caninum	cov200_n	9285
Dexiosoma_caninum	cov200_hits	0
