label	metric	value
Diamesa_tonsa	covered_sites	1499146
Diamesa_tonsa	confident_sites	65
Diamesa_tonsa	pct_confident	0.0043
Diamesa_tonsa	clustering_observed	nan
Diamesa_tonsa	clustering_null_mean	nan
Diamesa_tonsa	clustering_enrichment	nan
Diamesa_tonsa	clustering_z	nan
Diamesa_tonsa	cov0_pct	0.3409
Diamesa_tonsa	cov0_n	7920
Diamesa_tonsa	cov0_hits	27
Diamesa_tonsa	cov10_pct	0.021
Diamesa_tonsa	cov10_n	28543
Diamesa_tonsa	cov10_hits	6
Diamesa_tonsa	cov20_pct	0.0052
Diamesa_tonsa	cov20_n	58004
Diamesa_tonsa	cov20_hits	3
Diamesa_tonsa	cov30_pct	0.0035
Diamesa_tonsa	cov30_n	113305
Diamesa_tonsa	cov30_hits	4
Diamesa_tonsa	cov40_pct	0.0
Diamesa_tonsa	cov40_n	194990
Diamesa_tonsa	cov40_hits	0
Diamesa_tonsa	cov50_pct	0.0027
Diamesa_tonsa	cov50_n	374187
Diamesa_tonsa	cov50_hits	10
Diamesa_tonsa	cov60_pct	0.0021
Diamesa_tonsa	cov60_n	437346
Diamesa_tonsa	cov60_hits	9
Diamesa_tonsa	cov70_pct	0.0018
Diamesa_tonsa	cov70_n	221276
Diamesa_tonsa	cov70_hits	4
Diamesa_tonsa	cov80_pct	0.004
Diamesa_tonsa	cov80_n	49436
Diamesa_tonsa	cov80_hits	2
Diamesa_tonsa	cov90_pct	0.0
Diamesa_tonsa	cov90_n	6403
Diamesa_tonsa	cov90_hits	0
Diamesa_tonsa	cov100_pct	0.0
Diamesa_tonsa	cov100_n	2281
Diamesa_tonsa	cov100_hits	0
Diamesa_tonsa	cov110_pct	0.0
Diamesa_tonsa	cov110_n	1424
Diamesa_tonsa	cov110_hits	0
Diamesa_tonsa	cov200_pct	0.0
Diamesa_tonsa	cov200_n	1092
Diamesa_tonsa	cov200_hits	0
