label	metric	value
Drymonia_dodonaea	covered_sites	13997098
Drymonia_dodonaea	confident_sites	33641
Drymonia_dodonaea	pct_confident	0.2403
Drymonia_dodonaea	clustering_observed	nan
Drymonia_dodonaea	clustering_null_mean	nan
Drymonia_dodonaea	clustering_enrichment	nan
Drymonia_dodonaea	clustering_z	nan
Drymonia_dodonaea	mito_sites	95
Drymonia_dodonaea	mito_pct_confident	0.0
Drymonia_dodonaea	cov0_pct	0.9103
Drymonia_dodonaea	cov0_n	17028
Drymonia_dodonaea	cov0_hits	155
Drymonia_dodonaea	cov10_pct	0.2073
Drymonia_dodonaea	cov10_n	88257
Drymonia_dodonaea	cov10_hits	183
Drymonia_dodonaea	cov20_pct	0.2917
Drymonia_dodonaea	cov20_n	332530
Drymonia_dodonaea	cov20_hits	970
Drymonia_dodonaea	cov30_pct	0.2415
Drymonia_dodonaea	cov30_n	693558
Drymonia_dodonaea	cov30_hits	1675
Drymonia_dodonaea	cov40_pct	0.2179
Drymonia_dodonaea	cov40_n	3269549
Drymonia_dodonaea	cov40_hits	7125
Drymonia_dodonaea	cov50_pct	0.2383
Drymonia_dodonaea	cov50_n	5969938
Drymonia_dodonaea	cov50_hits	14228
Drymonia_dodonaea	cov60_pct	0.2613
Drymonia_dodonaea	cov60_n	3020534
Drymonia_dodonaea	cov60_hits	7893
Drymonia_dodonaea	cov70_pct	0.2597
Drymonia_dodonaea	cov70_n	507908
Drymonia_dodonaea	cov70_hits	1319
Drymonia_dodonaea	cov80_pct	0.1121
Drymonia_dodonaea	cov80_n	57082
Drymonia_dodonaea	cov80_hits	64
Drymonia_dodonaea	cov90_pct	0.1287
Drymonia_dodonaea	cov90_n	17870
Drymonia_dodonaea	cov90_hits	23
Drymonia_dodonaea	cov100_pct	0.0264
Drymonia_dodonaea	cov100_n	7565
Drymonia_dodonaea	cov100_hits	2
Drymonia_dodonaea	cov110_pct	0.1011
Drymonia_dodonaea	cov110_n	3956
Drymonia_dodonaea	cov110_hits	4
Drymonia_dodonaea	cov120_pct	0.0
Drymonia_dodonaea	cov120_n	2556
Drymonia_dodonaea	cov120_hits	0
Drymonia_dodonaea	cov130_pct	0.0
Drymonia_dodonaea	cov130_n	1670
Drymonia_dodonaea	cov130_hits	0
Drymonia_dodonaea	cov140_pct	0.0
Drymonia_dodonaea	cov140_n	1054
Drymonia_dodonaea	cov140_hits	0
Drymonia_dodonaea	cov200_pct	0.0
Drymonia_dodonaea	cov200_n	3852
Drymonia_dodonaea	cov200_hits	0
