label	metric	value
Eilema_lutarellum	covered_sites	37573954
Eilema_lutarellum	confident_sites	87187
Eilema_lutarellum	pct_confident	0.232
Eilema_lutarellum	clustering_observed	nan
Eilema_lutarellum	clustering_null_mean	nan
Eilema_lutarellum	clustering_enrichment	nan
Eilema_lutarellum	clustering_z	nan
Eilema_lutarellum	mito_sites	84
Eilema_lutarellum	mito_pct_confident	0.0
Eilema_lutarellum	cov0_pct	0.4779
Eilema_lutarellum	cov0_n	43319
Eilema_lutarellum	cov0_hits	207
Eilema_lutarellum	cov10_pct	0.2021
Eilema_lutarellum	cov10_n	757905
Eilema_lutarellum	cov10_hits	1532
Eilema_lutarellum	cov20_pct	0.2163
Eilema_lutarellum	cov20_n	5560162
Eilema_lutarellum	cov20_hits	12029
Eilema_lutarellum	cov30_pct	0.2069
Eilema_lutarellum	cov30_n	6105767
Eilema_lutarellum	cov30_hits	12634
Eilema_lutarellum	cov40_pct	0.2304
Eilema_lutarellum	cov40_n	8614399
Eilema_lutarellum	cov40_hits	19847
Eilema_lutarellum	cov50_pct	0.2704
Eilema_lutarellum	cov50_n	10128367
Eilema_lutarellum	cov50_hits	27387
Eilema_lutarellum	cov60_pct	0.2587
Eilema_lutarellum	cov60_n	4307528
Eilema_lutarellum	cov60_hits	11143
Eilema_lutarellum	cov70_pct	0.172
Eilema_lutarellum	cov70_n	979228
Eilema_lutarellum	cov70_hits	1684
Eilema_lutarellum	cov80_pct	0.1164
Eilema_lutarellum	cov80_n	348832
Eilema_lutarellum	cov80_hits	406
Eilema_lutarellum	cov90_pct	0.045
Eilema_lutarellum	cov90_n	197758
Eilema_lutarellum	cov90_hits	89
Eilema_lutarellum	cov100_pct	0.0432
Eilema_lutarellum	cov100_n	129516
Eilema_lutarellum	cov100_hits	56
Eilema_lutarellum	cov110_pct	0.0398
Eilema_lutarellum	cov110_n	90491
Eilema_lutarellum	cov110_hits	36
Eilema_lutarellum	cov120_pct	0.0181
Eilema_lutarellum	cov120_n	66276
Eilema_lutarellum	cov120_hits	12
Eilema_lutarellum	cov130_pct	0.0635
Eilema_lutarellum	cov130_n	53527
Eilema_lutarellum	cov130_hits	34
Eilema_lutarellum	cov140_pct	0.0398
Eilema_lutarellum	cov140_n	37705
Eilema_lutarellum	cov140_hits	15
Eilema_lutarellum	cov150_pct	0.1073
Eilema_lutarellum	cov150_n	29832
Eilema_lutarellum	cov150_hits	32
Eilema_lutarellum	cov160_pct	0.0176
Eilema_lutarellum	cov160_n	22778
Eilema_lutarellum	cov160_hits	4
Eilema_lutarellum	cov170_pct	0.0
Eilema_lutarellum	cov170_n	17603
Eilema_lutarellum	cov170_hits	0
Eilema_lutarellum	cov180_pct	0.0267
Eilema_lutarellum	cov180_n	14990
Eilema_lutarellum	cov180_hits	4
Eilema_lutarellum	cov190_pct	0.0327
Eilema_lutarellum	cov190_n	12250
Eilema_lutarellum	cov190_hits	4
Eilema_lutarellum	cov200_pct	0.0574
Eilema_lutarellum	cov200_n	55721
Eilema_lutarellum	cov200_hits	32
