label	metric	value
Fragum_whitleyi	covered_sites	28277398
Fragum_whitleyi	confident_sites	14872
Fragum_whitleyi	pct_confident	0.0526
Fragum_whitleyi	clustering_observed	nan
Fragum_whitleyi	clustering_null_mean	nan
Fragum_whitleyi	clustering_enrichment	nan
Fragum_whitleyi	clustering_z	nan
Fragum_whitleyi	mito_sites	920
Fragum_whitleyi	mito_pct_confident	0.0
Fragum_whitleyi	cov0_pct	0.6307
Fragum_whitleyi	cov0_n	1094386
Fragum_whitleyi	cov0_hits	6902
Fragum_whitleyi	cov10_pct	0.1131
Fragum_whitleyi	cov10_n	3076617
Fragum_whitleyi	cov10_hits	3481
Fragum_whitleyi	cov20_pct	0.0387
Fragum_whitleyi	cov20_n	6626948
Fragum_whitleyi	cov20_hits	2567
Fragum_whitleyi	cov30_pct	0.0181
Fragum_whitleyi	cov30_n	5308716
Fragum_whitleyi	cov30_hits	960
Fragum_whitleyi	cov40_pct	0.0095
Fragum_whitleyi	cov40_n	4829127
Fragum_whitleyi	cov40_hits	459
Fragum_whitleyi	cov50_pct	0.0079
Fragum_whitleyi	cov50_n	3997878
Fragum_whitleyi	cov50_hits	314
Fragum_whitleyi	cov60_pct	0.0068
Fragum_whitleyi	cov60_n	1732122
Fragum_whitleyi	cov60_hits	117
Fragum_whitleyi	cov70_pct	0.0061
Fragum_whitleyi	cov70_n	609513
Fragum_whitleyi	cov70_hits	37
Fragum_whitleyi	cov80_pct	0.005
Fragum_whitleyi	cov80_n	300536
Fragum_whitleyi	cov80_hits	15
Fragum_whitleyi	cov90_pct	0.0032
Fragum_whitleyi	cov90_n	186284
Fragum_whitleyi	cov90_hits	6
Fragum_whitleyi	cov100_pct	0.0025
Fragum_whitleyi	cov100_n	121583
Fragum_whitleyi	cov100_hits	3
Fragum_whitleyi	cov110_pct	0.0
Fragum_whitleyi	cov110_n	86420
Fragum_whitleyi	cov110_hits	0
Fragum_whitleyi	cov120_pct	0.0032
Fragum_whitleyi	cov120_n	63382
Fragum_whitleyi	cov120_hits	2
Fragum_whitleyi	cov130_pct	0.0042
Fragum_whitleyi	cov130_n	47330
Fragum_whitleyi	cov130_hits	2
Fragum_whitleyi	cov140_pct	0.003
Fragum_whitleyi	cov140_n	33677
Fragum_whitleyi	cov140_hits	1
Fragum_whitleyi	cov150_pct	0.0078
Fragum_whitleyi	cov150_n	25712
Fragum_whitleyi	cov150_hits	2
Fragum_whitleyi	cov160_pct	0.0047
Fragum_whitleyi	cov160_n	21164
Fragum_whitleyi	cov160_hits	1
Fragum_whitleyi	cov170_pct	0.0
Fragum_whitleyi	cov170_n	16502
Fragum_whitleyi	cov170_hits	0
Fragum_whitleyi	cov180_pct	0.0078
Fragum_whitleyi	cov180_n	12881
Fragum_whitleyi	cov180_hits	1
Fragum_whitleyi	cov190_pct	0.0085
Fragum_whitleyi	cov190_n	11738
Fragum_whitleyi	cov190_hits	1
Fragum_whitleyi	cov200_pct	0.0013
Fragum_whitleyi	cov200_n	74882
Fragum_whitleyi	cov200_hits	1
