label	metric	value
Idaea_ochrata	covered_sites	13226735
Idaea_ochrata	confident_sites	69399
Idaea_ochrata	pct_confident	0.5247
Idaea_ochrata	clustering_observed	nan
Idaea_ochrata	clustering_null_mean	nan
Idaea_ochrata	clustering_enrichment	nan
Idaea_ochrata	clustering_z	nan
Idaea_ochrata	mito_sites	82
Idaea_ochrata	mito_pct_confident	0.0
Idaea_ochrata	cov0_pct	0.4562
Idaea_ochrata	cov0_n	20168
Idaea_ochrata	cov0_hits	92
Idaea_ochrata	cov10_pct	0.3298
Idaea_ochrata	cov10_n	148572
Idaea_ochrata	cov10_hits	490
Idaea_ochrata	cov20_pct	0.3609
Idaea_ochrata	cov20_n	846410
Idaea_ochrata	cov20_hits	3055
Idaea_ochrata	cov30_pct	0.4722
Idaea_ochrata	cov30_n	1095853
Idaea_ochrata	cov30_hits	5175
Idaea_ochrata	cov40_pct	0.5681
Idaea_ochrata	cov40_n	3132413
Idaea_ochrata	cov40_hits	17795
Idaea_ochrata	cov50_pct	0.5661
Idaea_ochrata	cov50_n	4905438
Idaea_ochrata	cov50_hits	27771
Idaea_ochrata	cov60_pct	0.5199
Idaea_ochrata	cov60_n	2451793
Idaea_ochrata	cov60_hits	12746
Idaea_ochrata	cov70_pct	0.4407
Idaea_ochrata	cov70_n	462266
Idaea_ochrata	cov70_hits	2037
Idaea_ochrata	cov80_pct	0.2434
Idaea_ochrata	cov80_n	76419
Idaea_ochrata	cov80_hits	186
Idaea_ochrata	cov90_pct	0.1442
Idaea_ochrata	cov90_n	28429
Idaea_ochrata	cov90_hits	41
Idaea_ochrata	cov100_pct	0.0268
Idaea_ochrata	cov100_n	18687
Idaea_ochrata	cov100_hits	5
Idaea_ochrata	cov110_pct	0.0399
Idaea_ochrata	cov110_n	12518
Idaea_ochrata	cov110_hits	5
Idaea_ochrata	cov120_pct	0.0125
Idaea_ochrata	cov120_n	7993
Idaea_ochrata	cov120_hits	1
Idaea_ochrata	cov130_pct	0.0
Idaea_ochrata	cov130_n	4927
Idaea_ochrata	cov130_hits	0
Idaea_ochrata	cov140_pct	0.0
Idaea_ochrata	cov140_n	3471
Idaea_ochrata	cov140_hits	0
Idaea_ochrata	cov150_pct	0.0
Idaea_ochrata	cov150_n	2595
Idaea_ochrata	cov150_hits	0
Idaea_ochrata	cov160_pct	0.0
Idaea_ochrata	cov160_n	2227
Idaea_ochrata	cov160_hits	0
Idaea_ochrata	cov170_pct	0.0
Idaea_ochrata	cov170_n	1943
Idaea_ochrata	cov170_hits	0
Idaea_ochrata	cov200_pct	0.0
Idaea_ochrata	cov200_n	2994
Idaea_ochrata	cov200_hits	0
