label	metric	value
Lycaena_thersamon	covered_sites	16780881
Lycaena_thersamon	confident_sites	88745
Lycaena_thersamon	pct_confident	0.5288
Lycaena_thersamon	clustering_observed	nan
Lycaena_thersamon	clustering_null_mean	nan
Lycaena_thersamon	clustering_enrichment	nan
Lycaena_thersamon	clustering_z	nan
Lycaena_thersamon	mito_sites	82
Lycaena_thersamon	mito_pct_confident	0.0
Lycaena_thersamon	cov0_pct	0.7106
Lycaena_thersamon	cov0_n	31523
Lycaena_thersamon	cov0_hits	224
Lycaena_thersamon	cov10_pct	0.2744
Lycaena_thersamon	cov10_n	163620
Lycaena_thersamon	cov10_hits	449
Lycaena_thersamon	cov20_pct	0.3645
Lycaena_thersamon	cov20_n	840692
Lycaena_thersamon	cov20_hits	3064
Lycaena_thersamon	cov30_pct	0.3635
Lycaena_thersamon	cov30_n	1036708
Lycaena_thersamon	cov30_hits	3768
Lycaena_thersamon	cov40_pct	0.4492
Lycaena_thersamon	cov40_n	3308742
Lycaena_thersamon	cov40_hits	14862
Lycaena_thersamon	cov50_pct	0.5639
Lycaena_thersamon	cov50_n	6639225
Lycaena_thersamon	cov50_hits	37436
Lycaena_thersamon	cov60_pct	0.6136
Lycaena_thersamon	cov60_n	3838859
Lycaena_thersamon	cov60_hits	23555
Lycaena_thersamon	cov70_pct	0.6257
Lycaena_thersamon	cov70_n	748465
Lycaena_thersamon	cov70_hits	4683
Lycaena_thersamon	cov80_pct	0.5019
Lycaena_thersamon	cov80_n	88071
Lycaena_thersamon	cov80_hits	442
Lycaena_thersamon	cov90_pct	0.3571
Lycaena_thersamon	cov90_n	26600
Lycaena_thersamon	cov90_hits	95
Lycaena_thersamon	cov100_pct	0.4573
Lycaena_thersamon	cov100_n	16181
Lycaena_thersamon	cov100_hits	74
Lycaena_thersamon	cov110_pct	0.4094
Lycaena_thersamon	cov110_n	9526
Lycaena_thersamon	cov110_hits	39
Lycaena_thersamon	cov120_pct	0.072
Lycaena_thersamon	cov120_n	6941
Lycaena_thersamon	cov120_hits	5
Lycaena_thersamon	cov130_pct	0.2885
Lycaena_thersamon	cov130_n	4852
Lycaena_thersamon	cov130_hits	14
Lycaena_thersamon	cov140_pct	0.3177
Lycaena_thersamon	cov140_n	4722
Lycaena_thersamon	cov140_hits	15
Lycaena_thersamon	cov150_pct	0.0263
Lycaena_thersamon	cov150_n	3805
Lycaena_thersamon	cov150_hits	1
Lycaena_thersamon	cov160_pct	0.2681
Lycaena_thersamon	cov160_n	2611
Lycaena_thersamon	cov160_hits	7
Lycaena_thersamon	cov170_pct	0.0436
Lycaena_thersamon	cov170_n	2292
Lycaena_thersamon	cov170_hits	1
Lycaena_thersamon	cov180_pct	0.0
Lycaena_thersamon	cov180_n	1540
Lycaena_thersamon	cov180_hits	0
Lycaena_thersamon	cov200_pct	0.2212
Lycaena_thersamon	cov200_n	4973
Lycaena_thersamon	cov200_hits	11
