label	metric	value
Melieria_omissa	covered_sites	18956495
Melieria_omissa	confident_sites	5232
Melieria_omissa	pct_confident	0.0276
Melieria_omissa	clustering_observed	nan
Melieria_omissa	clustering_null_mean	nan
Melieria_omissa	clustering_enrichment	nan
Melieria_omissa	clustering_z	nan
Melieria_omissa	mito_sites	185
Melieria_omissa	mito_pct_confident	0.0
Melieria_omissa	cov0_pct	1.3157
Melieria_omissa	cov0_n	39675
Melieria_omissa	cov0_hits	522
Melieria_omissa	cov10_pct	0.2037
Melieria_omissa	cov10_n	259755
Melieria_omissa	cov10_hits	529
Melieria_omissa	cov20_pct	0.0798
Melieria_omissa	cov20_n	924976
Melieria_omissa	cov20_hits	738
Melieria_omissa	cov30_pct	0.0481
Melieria_omissa	cov30_n	1454812
Melieria_omissa	cov30_hits	700
Melieria_omissa	cov40_pct	0.0261
Melieria_omissa	cov40_n	2102144
Melieria_omissa	cov40_hits	548
Melieria_omissa	cov50_pct	0.0181
Melieria_omissa	cov50_n	4615751
Melieria_omissa	cov50_hits	834
Melieria_omissa	cov60_pct	0.0152
Melieria_omissa	cov60_n	5693688
Melieria_omissa	cov60_hits	866
Melieria_omissa	cov70_pct	0.0133
Melieria_omissa	cov70_n	2916353
Melieria_omissa	cov70_hits	388
Melieria_omissa	cov80_pct	0.0126
Melieria_omissa	cov80_n	665851
Melieria_omissa	cov80_hits	84
Melieria_omissa	cov90_pct	0.0093
Melieria_omissa	cov90_n	128947
Melieria_omissa	cov90_hits	12
Melieria_omissa	cov100_pct	0.0038
Melieria_omissa	cov100_n	51976
Melieria_omissa	cov100_hits	2
Melieria_omissa	cov110_pct	0.017
Melieria_omissa	cov110_n	29447
Melieria_omissa	cov110_hits	5
Melieria_omissa	cov120_pct	0.0
Melieria_omissa	cov120_n	19713
Melieria_omissa	cov120_hits	0
Melieria_omissa	cov130_pct	0.0078
Melieria_omissa	cov130_n	12776
Melieria_omissa	cov130_hits	1
Melieria_omissa	cov140_pct	0.0105
Melieria_omissa	cov140_n	9481
Melieria_omissa	cov140_hits	1
Melieria_omissa	cov150_pct	0.0166
Melieria_omissa	cov150_n	6030
Melieria_omissa	cov150_hits	1
Melieria_omissa	cov160_pct	0.0
Melieria_omissa	cov160_n	4815
Melieria_omissa	cov160_hits	0
Melieria_omissa	cov170_pct	0.0296
Melieria_omissa	cov170_n	3378
Melieria_omissa	cov170_hits	1
Melieria_omissa	cov180_pct	0.0
Melieria_omissa	cov180_n	2839
Melieria_omissa	cov180_hits	0
Melieria_omissa	cov190_pct	0.0
Melieria_omissa	cov190_n	2369
Melieria_omissa	cov190_hits	0
Melieria_omissa	cov200_pct	0.0
Melieria_omissa	cov200_n	11719
Melieria_omissa	cov200_hits	0
