label	metric	value
Monopis_crocicapitella	covered_sites	15233481
Monopis_crocicapitella	confident_sites	171392
Monopis_crocicapitella	pct_confident	1.1251
Monopis_crocicapitella	clustering_observed	nan
Monopis_crocicapitella	clustering_null_mean	nan
Monopis_crocicapitella	clustering_enrichment	nan
Monopis_crocicapitella	clustering_z	nan
Monopis_crocicapitella	mito_sites	105
Monopis_crocicapitella	mito_pct_confident	0.0
Monopis_crocicapitella	cov0_pct	0.9427
Monopis_crocicapitella	cov0_n	50707
Monopis_crocicapitella	cov0_hits	478
Monopis_crocicapitella	cov10_pct	1.1385
Monopis_crocicapitella	cov10_n	2011897
Monopis_crocicapitella	cov10_hits	22906
Monopis_crocicapitella	cov20_pct	1.0503
Monopis_crocicapitella	cov20_n	3495496
Monopis_crocicapitella	cov20_hits	36713
Monopis_crocicapitella	cov30_pct	1.0479
Monopis_crocicapitella	cov30_n	4892498
Monopis_crocicapitella	cov30_hits	51268
Monopis_crocicapitella	cov40_pct	1.3594
Monopis_crocicapitella	cov40_n	3727360
Monopis_crocicapitella	cov40_hits	50670
Monopis_crocicapitella	cov50_pct	1.1712
Monopis_crocicapitella	cov50_n	719754
Monopis_crocicapitella	cov50_hits	8430
Monopis_crocicapitella	cov60_pct	0.393
Monopis_crocicapitella	cov60_n	134852
Monopis_crocicapitella	cov60_hits	530
Monopis_crocicapitella	cov70_pct	0.2754
Monopis_crocicapitella	cov70_n	65724
Monopis_crocicapitella	cov70_hits	181
Monopis_crocicapitella	cov80_pct	0.2645
Monopis_crocicapitella	cov80_n	42340
Monopis_crocicapitella	cov80_hits	112
Monopis_crocicapitella	cov90_pct	0.1151
Monopis_crocicapitella	cov90_n	27799
Monopis_crocicapitella	cov90_hits	32
Monopis_crocicapitella	cov100_pct	0.1079
Monopis_crocicapitella	cov100_n	18536
Monopis_crocicapitella	cov100_hits	20
Monopis_crocicapitella	cov110_pct	0.0496
Monopis_crocicapitella	cov110_n	12094
Monopis_crocicapitella	cov110_hits	6
Monopis_crocicapitella	cov120_pct	0.1804
Monopis_crocicapitella	cov120_n	8314
Monopis_crocicapitella	cov120_hits	15
Monopis_crocicapitella	cov130_pct	0.0639
Monopis_crocicapitella	cov130_n	6264
Monopis_crocicapitella	cov130_hits	4
Monopis_crocicapitella	cov140_pct	0.024
Monopis_crocicapitella	cov140_n	4170
Monopis_crocicapitella	cov140_hits	1
Monopis_crocicapitella	cov150_pct	0.0
Monopis_crocicapitella	cov150_n	2621
Monopis_crocicapitella	cov150_hits	0
Monopis_crocicapitella	cov160_pct	0.0882
Monopis_crocicapitella	cov160_n	2267
Monopis_crocicapitella	cov160_hits	2
Monopis_crocicapitella	cov170_pct	0.1161
Monopis_crocicapitella	cov170_n	1723
Monopis_crocicapitella	cov170_hits	2
Monopis_crocicapitella	cov180_pct	0.1478
Monopis_crocicapitella	cov180_n	1353
Monopis_crocicapitella	cov180_hits	2
Monopis_crocicapitella	cov190_pct	0.0786
Monopis_crocicapitella	cov190_n	1272
Monopis_crocicapitella	cov190_hits	1
Monopis_crocicapitella	cov200_pct	0.295
Monopis_crocicapitella	cov200_n	6440
Monopis_crocicapitella	cov200_hits	19
