label	metric	value
Mucor_piriformis	covered_sites	948996
Mucor_piriformis	confident_sites	5
Mucor_piriformis	pct_confident	0.0005
Mucor_piriformis	clustering_observed	nan
Mucor_piriformis	clustering_null_mean	nan
Mucor_piriformis	clustering_enrichment	nan
Mucor_piriformis	clustering_z	nan
Mucor_piriformis	mito_sites	1503
Mucor_piriformis	mito_pct_confident	0.0
Mucor_piriformis	cov70_pct	0.0
Mucor_piriformis	cov70_n	1207
Mucor_piriformis	cov70_hits	0
Mucor_piriformis	cov80_pct	0.0
Mucor_piriformis	cov80_n	1377
Mucor_piriformis	cov80_hits	0
Mucor_piriformis	cov90_pct	0.0
Mucor_piriformis	cov90_n	1326
Mucor_piriformis	cov90_hits	0
Mucor_piriformis	cov100_pct	0.0
Mucor_piriformis	cov100_n	1311
Mucor_piriformis	cov100_hits	0
Mucor_piriformis	cov110_pct	0.0
Mucor_piriformis	cov110_n	1462
Mucor_piriformis	cov110_hits	0
Mucor_piriformis	cov120_pct	0.0
Mucor_piriformis	cov120_n	1361
Mucor_piriformis	cov120_hits	0
Mucor_piriformis	cov130_pct	0.0
Mucor_piriformis	cov130_n	1463
Mucor_piriformis	cov130_hits	0
Mucor_piriformis	cov140_pct	0.0
Mucor_piriformis	cov140_n	1515
Mucor_piriformis	cov140_hits	0
Mucor_piriformis	cov150_pct	0.0
Mucor_piriformis	cov150_n	1757
Mucor_piriformis	cov150_hits	0
Mucor_piriformis	cov160_pct	0.0
Mucor_piriformis	cov160_n	2042
Mucor_piriformis	cov160_hits	0
Mucor_piriformis	cov170_pct	0.0
Mucor_piriformis	cov170_n	2194
Mucor_piriformis	cov170_hits	0
Mucor_piriformis	cov180_pct	0.0
Mucor_piriformis	cov180_n	2346
Mucor_piriformis	cov180_hits	0
Mucor_piriformis	cov190_pct	0.0
Mucor_piriformis	cov190_n	2687
Mucor_piriformis	cov190_hits	0
Mucor_piriformis	cov200_pct	0.0
Mucor_piriformis	cov200_n	922078
Mucor_piriformis	cov200_hits	0
