label	metric	value
Myopa_buccata	covered_sites	10697672
Myopa_buccata	confident_sites	2250
Myopa_buccata	pct_confident	0.021
Myopa_buccata	clustering_observed	nan
Myopa_buccata	clustering_null_mean	nan
Myopa_buccata	clustering_enrichment	nan
Myopa_buccata	clustering_z	nan
Myopa_buccata	mito_sites	179
Myopa_buccata	mito_pct_confident	0.0
Myopa_buccata	cov0_pct	1.0541
Myopa_buccata	cov0_n	72666
Myopa_buccata	cov0_hits	766
Myopa_buccata	cov10_pct	0.2067
Myopa_buccata	cov10_n	278153
Myopa_buccata	cov10_hits	575
Myopa_buccata	cov20_pct	0.0557
Myopa_buccata	cov20_n	402182
Myopa_buccata	cov20_hits	224
Myopa_buccata	cov30_pct	0.0191
Myopa_buccata	cov30_n	576171
Myopa_buccata	cov30_hits	110
Myopa_buccata	cov40_pct	0.01
Myopa_buccata	cov40_n	641979
Myopa_buccata	cov40_hits	64
Myopa_buccata	cov50_pct	0.0069
Myopa_buccata	cov50_n	1534400
Myopa_buccata	cov50_hits	106
Myopa_buccata	cov60_pct	0.0068
Myopa_buccata	cov60_n	3120545
Myopa_buccata	cov60_hits	211
Myopa_buccata	cov70_pct	0.0053
Myopa_buccata	cov70_n	2701085
Myopa_buccata	cov70_hits	142
Myopa_buccata	cov80_pct	0.0043
Myopa_buccata	cov80_n	1000208
Myopa_buccata	cov80_hits	43
Myopa_buccata	cov90_pct	0.0019
Myopa_buccata	cov90_n	213915
Myopa_buccata	cov90_hits	4
Myopa_buccata	cov100_pct	0.0018
Myopa_buccata	cov100_n	55420
Myopa_buccata	cov100_hits	1
Myopa_buccata	cov110_pct	0.0
Myopa_buccata	cov110_n	29331
Myopa_buccata	cov110_hits	0
Myopa_buccata	cov120_pct	0.0054
Myopa_buccata	cov120_n	18666
Myopa_buccata	cov120_hits	1
Myopa_buccata	cov130_pct	0.0081
Myopa_buccata	cov130_n	12341
Myopa_buccata	cov130_hits	1
Myopa_buccata	cov140_pct	0.0
Myopa_buccata	cov140_n	8949
Myopa_buccata	cov140_hits	0
Myopa_buccata	cov150_pct	0.0
Myopa_buccata	cov150_n	5767
Myopa_buccata	cov150_hits	0
Myopa_buccata	cov160_pct	0.0262
Myopa_buccata	cov160_n	3811
Myopa_buccata	cov160_hits	1
Myopa_buccata	cov170_pct	0.0
Myopa_buccata	cov170_n	3483
Myopa_buccata	cov170_hits	0
Myopa_buccata	cov180_pct	0.0
Myopa_buccata	cov180_n	3272
Myopa_buccata	cov180_hits	0
Myopa_buccata	cov190_pct	0.0367
Myopa_buccata	cov190_n	2726
Myopa_buccata	cov190_hits	1
Myopa_buccata	cov200_pct	0.0
Myopa_buccata	cov200_n	12602
Myopa_buccata	cov200_hits	0
