label	metric	value
Mytilus_galloprovincialis	covered_sites	25849514
Mytilus_galloprovincialis	confident_sites	2533108
Mytilus_galloprovincialis	pct_confident	9.7994
Mytilus_galloprovincialis	clustering_observed	nan
Mytilus_galloprovincialis	clustering_null_mean	nan
Mytilus_galloprovincialis	clustering_enrichment	nan
Mytilus_galloprovincialis	clustering_z	nan
Mytilus_galloprovincialis	mito_sites	383
Mytilus_galloprovincialis	mito_pct_confident	0.0
Mytilus_galloprovincialis	cov0_pct	11.044
Mytilus_galloprovincialis	cov0_n	124249
Mytilus_galloprovincialis	cov0_hits	13722
Mytilus_galloprovincialis	cov10_pct	12.0246
Mytilus_galloprovincialis	cov10_n	1660843
Mytilus_galloprovincialis	cov10_hits	199709
Mytilus_galloprovincialis	cov20_pct	11.4393
Mytilus_galloprovincialis	cov20_n	6648310
Mytilus_galloprovincialis	cov20_hits	760521
Mytilus_galloprovincialis	cov30_pct	11.4124
Mytilus_galloprovincialis	cov30_n	4826333
Mytilus_galloprovincialis	cov30_hits	550800
Mytilus_galloprovincialis	cov40_pct	9.8782
Mytilus_galloprovincialis	cov40_n	4561513
Mytilus_galloprovincialis	cov40_hits	450596
Mytilus_galloprovincialis	cov50_pct	8.2407
Mytilus_galloprovincialis	cov50_n	4397968
Mytilus_galloprovincialis	cov50_hits	362425
Mytilus_galloprovincialis	cov60_pct	7.0068
Mytilus_galloprovincialis	cov60_n	1877832
Mytilus_galloprovincialis	cov60_hits	131576
Mytilus_galloprovincialis	cov70_pct	4.9756
Mytilus_galloprovincialis	cov70_n	640784
Mytilus_galloprovincialis	cov70_hits	31883
Mytilus_galloprovincialis	cov80_pct	3.5888
Mytilus_galloprovincialis	cov80_n	342649
Mytilus_galloprovincialis	cov80_hits	12297
Mytilus_galloprovincialis	cov90_pct	3.0233
Mytilus_galloprovincialis	cov90_n	212517
Mytilus_galloprovincialis	cov90_hits	6425
Mytilus_galloprovincialis	cov100_pct	2.8114
Mytilus_galloprovincialis	cov100_n	140355
Mytilus_galloprovincialis	cov100_hits	3946
Mytilus_galloprovincialis	cov110_pct	2.4503
Mytilus_galloprovincialis	cov110_n	97171
Mytilus_galloprovincialis	cov110_hits	2381
Mytilus_galloprovincialis	cov120_pct	2.1855
Mytilus_galloprovincialis	cov120_n	68313
Mytilus_galloprovincialis	cov120_hits	1493
Mytilus_galloprovincialis	cov130_pct	2.4815
Mytilus_galloprovincialis	cov130_n	50292
Mytilus_galloprovincialis	cov130_hits	1248
Mytilus_galloprovincialis	cov140_pct	2.0832
Mytilus_galloprovincialis	cov140_n	37586
Mytilus_galloprovincialis	cov140_hits	783
Mytilus_galloprovincialis	cov150_pct	2.0739
Mytilus_galloprovincialis	cov150_n	28883
Mytilus_galloprovincialis	cov150_hits	599
Mytilus_galloprovincialis	cov160_pct	2.327
Mytilus_galloprovincialis	cov160_n	22217
Mytilus_galloprovincialis	cov160_hits	517
Mytilus_galloprovincialis	cov170_pct	2.0456
Mytilus_galloprovincialis	cov170_n	17941
Mytilus_galloprovincialis	cov170_hits	367
Mytilus_galloprovincialis	cov180_pct	2.8325
Mytilus_galloprovincialis	cov180_n	14863
Mytilus_galloprovincialis	cov180_hits	421
Mytilus_galloprovincialis	cov190_pct	2.6359
Mytilus_galloprovincialis	cov190_n	12140
Mytilus_galloprovincialis	cov190_hits	320
Mytilus_galloprovincialis	cov200_pct	1.6164
Mytilus_galloprovincialis	cov200_n	66755
Mytilus_galloprovincialis	cov200_hits	1079
