label	metric	value
Nemotelus_uliginosus	covered_sites	40931427
Nemotelus_uliginosus	confident_sites	9242
Nemotelus_uliginosus	pct_confident	0.0226
Nemotelus_uliginosus	clustering_observed	nan
Nemotelus_uliginosus	clustering_null_mean	nan
Nemotelus_uliginosus	clustering_enrichment	nan
Nemotelus_uliginosus	clustering_z	nan
Nemotelus_uliginosus	mito_sites	174
Nemotelus_uliginosus	mito_pct_confident	0.0
Nemotelus_uliginosus	cov0_pct	1.0434
Nemotelus_uliginosus	cov0_n	243827
Nemotelus_uliginosus	cov0_hits	2544
Nemotelus_uliginosus	cov10_pct	0.1481
Nemotelus_uliginosus	cov10_n	1350963
Nemotelus_uliginosus	cov10_hits	2001
Nemotelus_uliginosus	cov20_pct	0.0652
Nemotelus_uliginosus	cov20_n	3262112
Nemotelus_uliginosus	cov20_hits	2128
Nemotelus_uliginosus	cov30_pct	0.0194
Nemotelus_uliginosus	cov30_n	5431308
Nemotelus_uliginosus	cov30_hits	1055
Nemotelus_uliginosus	cov40_pct	0.0103
Nemotelus_uliginosus	cov40_n	4000938
Nemotelus_uliginosus	cov40_hits	413
Nemotelus_uliginosus	cov50_pct	0.006
Nemotelus_uliginosus	cov50_n	4128709
Nemotelus_uliginosus	cov50_hits	246
Nemotelus_uliginosus	cov60_pct	0.0045
Nemotelus_uliginosus	cov60_n	7835517
Nemotelus_uliginosus	cov60_hits	356
Nemotelus_uliginosus	cov70_pct	0.0038
Nemotelus_uliginosus	cov70_n	8144811
Nemotelus_uliginosus	cov70_hits	312
Nemotelus_uliginosus	cov80_pct	0.003
Nemotelus_uliginosus	cov80_n	4020252
Nemotelus_uliginosus	cov80_hits	122
Nemotelus_uliginosus	cov90_pct	0.0023
Nemotelus_uliginosus	cov90_n	1216713
Nemotelus_uliginosus	cov90_hits	28
Nemotelus_uliginosus	cov100_pct	0.0036
Nemotelus_uliginosus	cov100_n	443463
Nemotelus_uliginosus	cov100_hits	16
Nemotelus_uliginosus	cov110_pct	0.0032
Nemotelus_uliginosus	cov110_n	251798
Nemotelus_uliginosus	cov110_hits	8
Nemotelus_uliginosus	cov120_pct	0.0032
Nemotelus_uliginosus	cov120_n	156281
Nemotelus_uliginosus	cov120_hits	5
Nemotelus_uliginosus	cov130_pct	0.0039
Nemotelus_uliginosus	cov130_n	101654
Nemotelus_uliginosus	cov130_hits	4
Nemotelus_uliginosus	cov140_pct	0.0027
Nemotelus_uliginosus	cov140_n	74491
Nemotelus_uliginosus	cov140_hits	2
Nemotelus_uliginosus	cov150_pct	0.0019
Nemotelus_uliginosus	cov150_n	52084
Nemotelus_uliginosus	cov150_hits	1
Nemotelus_uliginosus	cov160_pct	0.0
Nemotelus_uliginosus	cov160_n	37825
Nemotelus_uliginosus	cov160_hits	0
Nemotelus_uliginosus	cov170_pct	0.0
Nemotelus_uliginosus	cov170_n	32480
Nemotelus_uliginosus	cov170_hits	0
Nemotelus_uliginosus	cov180_pct	0.0044
Nemotelus_uliginosus	cov180_n	22794
Nemotelus_uliginosus	cov180_hits	1
Nemotelus_uliginosus	cov190_pct	0.0
Nemotelus_uliginosus	cov190_n	19322
Nemotelus_uliginosus	cov190_hits	0
Nemotelus_uliginosus	cov200_pct	0.0
Nemotelus_uliginosus	cov200_n	104085
Nemotelus_uliginosus	cov200_hits	0
