label	metric	value
Ostrinia_nubilalis	covered_sites	19732324
Ostrinia_nubilalis	confident_sites	29090
Ostrinia_nubilalis	pct_confident	0.1474
Ostrinia_nubilalis	clustering_observed	nan
Ostrinia_nubilalis	clustering_null_mean	nan
Ostrinia_nubilalis	clustering_enrichment	nan
Ostrinia_nubilalis	clustering_z	nan
Ostrinia_nubilalis	mito_sites	90
Ostrinia_nubilalis	mito_pct_confident	0.0
Ostrinia_nubilalis	cov0_pct	0.709
Ostrinia_nubilalis	cov0_n	646955
Ostrinia_nubilalis	cov0_hits	4587
Ostrinia_nubilalis	cov10_pct	0.142
Ostrinia_nubilalis	cov10_n	621003
Ostrinia_nubilalis	cov10_hits	882
Ostrinia_nubilalis	cov20_pct	0.1143
Ostrinia_nubilalis	cov20_n	2241594
Ostrinia_nubilalis	cov20_hits	2562
Ostrinia_nubilalis	cov30_pct	0.1039
Ostrinia_nubilalis	cov30_n	2634862
Ostrinia_nubilalis	cov30_hits	2738
Ostrinia_nubilalis	cov40_pct	0.1267
Ostrinia_nubilalis	cov40_n	2849475
Ostrinia_nubilalis	cov40_hits	3609
Ostrinia_nubilalis	cov50_pct	0.1423
Ostrinia_nubilalis	cov50_n	4193729
Ostrinia_nubilalis	cov50_hits	5966
Ostrinia_nubilalis	cov60_pct	0.1529
Ostrinia_nubilalis	cov60_n	3781707
Ostrinia_nubilalis	cov60_hits	5781
Ostrinia_nubilalis	cov70_pct	0.1253
Ostrinia_nubilalis	cov70_n	1832622
Ostrinia_nubilalis	cov70_hits	2297
Ostrinia_nubilalis	cov80_pct	0.1059
Ostrinia_nubilalis	cov80_n	557085
Ostrinia_nubilalis	cov80_hits	590
Ostrinia_nubilalis	cov90_pct	0.0446
Ostrinia_nubilalis	cov90_n	161344
Ostrinia_nubilalis	cov90_hits	72
Ostrinia_nubilalis	cov100_pct	0.0029
Ostrinia_nubilalis	cov100_n	69633
Ostrinia_nubilalis	cov100_hits	2
Ostrinia_nubilalis	cov110_pct	0.0074
Ostrinia_nubilalis	cov110_n	40614
Ostrinia_nubilalis	cov110_hits	3
Ostrinia_nubilalis	cov120_pct	0.0035
Ostrinia_nubilalis	cov120_n	28702
Ostrinia_nubilalis	cov120_hits	1
Ostrinia_nubilalis	cov130_pct	0.0
Ostrinia_nubilalis	cov130_n	20901
Ostrinia_nubilalis	cov130_hits	0
Ostrinia_nubilalis	cov140_pct	0.0
Ostrinia_nubilalis	cov140_n	14382
Ostrinia_nubilalis	cov140_hits	0
Ostrinia_nubilalis	cov150_pct	0.0
Ostrinia_nubilalis	cov150_n	9201
Ostrinia_nubilalis	cov150_hits	0
Ostrinia_nubilalis	cov160_pct	0.0
Ostrinia_nubilalis	cov160_n	5900
Ostrinia_nubilalis	cov160_hits	0
Ostrinia_nubilalis	cov170_pct	0.0
Ostrinia_nubilalis	cov170_n	4701
Ostrinia_nubilalis	cov170_hits	0
Ostrinia_nubilalis	cov180_pct	0.0
Ostrinia_nubilalis	cov180_n	3134
Ostrinia_nubilalis	cov180_hits	0
Ostrinia_nubilalis	cov190_pct	0.0
Ostrinia_nubilalis	cov190_n	2262
Ostrinia_nubilalis	cov190_hits	0
Ostrinia_nubilalis	cov200_pct	0.0
Ostrinia_nubilalis	cov200_n	12518
Ostrinia_nubilalis	cov200_hits	0
