label	metric	value
Papestra_biren	covered_sites	23886047
Papestra_biren	confident_sites	43413
Papestra_biren	pct_confident	0.1818
Papestra_biren	clustering_observed	nan
Papestra_biren	clustering_null_mean	nan
Papestra_biren	clustering_enrichment	nan
Papestra_biren	clustering_z	nan
Papestra_biren	mito_sites	91
Papestra_biren	mito_pct_confident	0.0
Papestra_biren	cov0_pct	0.2908
Papestra_biren	cov0_n	45045
Papestra_biren	cov0_hits	131
Papestra_biren	cov10_pct	0.0074
Papestra_biren	cov10_n	134689
Papestra_biren	cov10_hits	10
Papestra_biren	cov20_pct	0.088
Papestra_biren	cov20_n	636453
Papestra_biren	cov20_hits	560
Papestra_biren	cov30_pct	0.1152
Papestra_biren	cov30_n	2020405
Papestra_biren	cov30_hits	2328
Papestra_biren	cov40_pct	0.1168
Papestra_biren	cov40_n	2186282
Papestra_biren	cov40_hits	2554
Papestra_biren	cov50_pct	0.1328
Papestra_biren	cov50_n	2143391
Papestra_biren	cov50_hits	2846
Papestra_biren	cov60_pct	0.192
Papestra_biren	cov60_n	4106567
Papestra_biren	cov60_hits	7886
Papestra_biren	cov70_pct	0.2207
Papestra_biren	cov70_n	5862976
Papestra_biren	cov70_hits	12937
Papestra_biren	cov80_pct	0.2306
Papestra_biren	cov80_n	4347779
Papestra_biren	cov80_hits	10026
Papestra_biren	cov90_pct	0.2161
Papestra_biren	cov90_n	1625662
Papestra_biren	cov90_hits	3513
Papestra_biren	cov100_pct	0.1319
Papestra_biren	cov100_n	391340
Papestra_biren	cov100_hits	516
Papestra_biren	cov110_pct	0.0569
Papestra_biren	cov110_n	114186
Papestra_biren	cov110_hits	65
Papestra_biren	cov120_pct	0.0381
Papestra_biren	cov120_n	60373
Papestra_biren	cov120_hits	23
Papestra_biren	cov130_pct	0.0024
Papestra_biren	cov130_n	41939
Papestra_biren	cov130_hits	1
Papestra_biren	cov140_pct	0.0
Papestra_biren	cov140_n	30216
Papestra_biren	cov140_hits	0
Papestra_biren	cov150_pct	0.0131
Papestra_biren	cov150_n	22867
Papestra_biren	cov150_hits	3
Papestra_biren	cov160_pct	0.0
Papestra_biren	cov160_n	20022
Papestra_biren	cov160_hits	0
Papestra_biren	cov170_pct	0.0216
Papestra_biren	cov170_n	13919
Papestra_biren	cov170_hits	3
Papestra_biren	cov180_pct	0.0304
Papestra_biren	cov180_n	13158
Papestra_biren	cov180_hits	4
Papestra_biren	cov190_pct	0.0201
Papestra_biren	cov190_n	9948
Papestra_biren	cov190_hits	2
Papestra_biren	cov200_pct	0.0085
Papestra_biren	cov200_n	58830
Papestra_biren	cov200_hits	5
