label	metric	value
Pocillopora_damicornis	covered_sites	10563580
Pocillopora_damicornis	confident_sites	274667
Pocillopora_damicornis	pct_confident	2.6001
Pocillopora_damicornis	clustering_observed	nan
Pocillopora_damicornis	clustering_null_mean	nan
Pocillopora_damicornis	clustering_enrichment	nan
Pocillopora_damicornis	clustering_z	nan
Pocillopora_damicornis	mito_sites	278
Pocillopora_damicornis	mito_pct_confident	0.0
Pocillopora_damicornis	cov0_pct	21.5297
Pocillopora_damicornis	cov0_n	2471
Pocillopora_damicornis	cov0_hits	532
Pocillopora_damicornis	cov10_pct	2.1097
Pocillopora_damicornis	cov10_n	2133
Pocillopora_damicornis	cov10_hits	45
Pocillopora_damicornis	cov20_pct	1.8739
Pocillopora_damicornis	cov20_n	2348
Pocillopora_damicornis	cov20_hits	44
Pocillopora_damicornis	cov30_pct	0.5414
Pocillopora_damicornis	cov30_n	3879
Pocillopora_damicornis	cov30_hits	21
Pocillopora_damicornis	cov40_pct	0.6123
Pocillopora_damicornis	cov40_n	6369
Pocillopora_damicornis	cov40_hits	39
Pocillopora_damicornis	cov50_pct	1.5595
Pocillopora_damicornis	cov50_n	10324
Pocillopora_damicornis	cov50_hits	161
Pocillopora_damicornis	cov60_pct	1.3139
Pocillopora_damicornis	cov60_n	22605
Pocillopora_damicornis	cov60_hits	297
Pocillopora_damicornis	cov70_pct	2.1002
Pocillopora_damicornis	cov70_n	61708
Pocillopora_damicornis	cov70_hits	1296
Pocillopora_damicornis	cov80_pct	2.7749
Pocillopora_damicornis	cov80_n	181196
Pocillopora_damicornis	cov80_hits	5028
Pocillopora_damicornis	cov90_pct	2.7121
Pocillopora_damicornis	cov90_n	460526
Pocillopora_damicornis	cov90_hits	12490
Pocillopora_damicornis	cov100_pct	2.6984
Pocillopora_damicornis	cov100_n	661424
Pocillopora_damicornis	cov100_hits	17848
Pocillopora_damicornis	cov110_pct	2.7402
Pocillopora_damicornis	cov110_n	564528
Pocillopora_damicornis	cov110_hits	15469
Pocillopora_damicornis	cov120_pct	2.3013
Pocillopora_damicornis	cov120_n	341849
Pocillopora_damicornis	cov120_hits	7867
Pocillopora_damicornis	cov130_pct	1.6877
Pocillopora_damicornis	cov130_n	234632
Pocillopora_damicornis	cov130_hits	3960
Pocillopora_damicornis	cov140_pct	1.413
Pocillopora_damicornis	cov140_n	211603
Pocillopora_damicornis	cov140_hits	2990
Pocillopora_damicornis	cov150_pct	1.6501
Pocillopora_damicornis	cov150_n	238651
Pocillopora_damicornis	cov150_hits	3938
Pocillopora_damicornis	cov160_pct	1.8629
Pocillopora_damicornis	cov160_n	319450
Pocillopora_damicornis	cov160_hits	5951
Pocillopora_damicornis	cov170_pct	2.1828
Pocillopora_damicornis	cov170_n	477501
Pocillopora_damicornis	cov170_hits	10423
Pocillopora_damicornis	cov180_pct	2.6129
Pocillopora_damicornis	cov180_n	743815
Pocillopora_damicornis	cov180_hits	19435
Pocillopora_damicornis	cov190_pct	3.0948
Pocillopora_damicornis	cov190_n	1070248
Pocillopora_damicornis	cov190_hits	33122
Pocillopora_damicornis	cov200_pct	2.7032
Pocillopora_damicornis	cov200_n	4946320
Pocillopora_damicornis	cov200_hits	133711
