label	metric	value
Porites_lobata	covered_sites	17887235
Porites_lobata	confident_sites	10581
Porites_lobata	pct_confident	0.0592
Porites_lobata	clustering_observed	nan
Porites_lobata	clustering_null_mean	nan
Porites_lobata	clustering_enrichment	nan
Porites_lobata	clustering_z	nan
Porites_lobata	mito_sites	416
Porites_lobata	mito_pct_confident	0.0
Porites_lobata	cov0_pct	1.5811
Porites_lobata	cov0_n	457074
Porites_lobata	cov0_hits	7227
Porites_lobata	cov10_pct	0.4348
Porites_lobata	cov10_n	261067
Porites_lobata	cov10_hits	1135
Porites_lobata	cov20_pct	0.1635
Porites_lobata	cov20_n	273430
Porites_lobata	cov20_hits	447
Porites_lobata	cov30_pct	0.046
Porites_lobata	cov30_n	397740
Porites_lobata	cov30_hits	183
Porites_lobata	cov40_pct	0.0291
Porites_lobata	cov40_n	735809
Porites_lobata	cov40_hits	214
Porites_lobata	cov50_pct	0.0174
Porites_lobata	cov50_n	1168656
Porites_lobata	cov50_hits	203
Porites_lobata	cov60_pct	0.0138
Porites_lobata	cov60_n	1376527
Porites_lobata	cov60_hits	190
Porites_lobata	cov70_pct	0.0115
Porites_lobata	cov70_n	1217884
Porites_lobata	cov70_hits	140
Porites_lobata	cov80_pct	0.0095
Porites_lobata	cov80_n	1059949
Porites_lobata	cov80_hits	101
Porites_lobata	cov90_pct	0.0085
Porites_lobata	cov90_n	1124315
Porites_lobata	cov90_hits	96
Porites_lobata	cov100_pct	0.0074
Porites_lobata	cov100_n	1373944
Porites_lobata	cov100_hits	101
Porites_lobata	cov110_pct	0.0084
Porites_lobata	cov110_n	1634984
Porites_lobata	cov110_hits	138
Porites_lobata	cov120_pct	0.0072
Porites_lobata	cov120_n	1762915
Porites_lobata	cov120_hits	127
Porites_lobata	cov130_pct	0.0071
Porites_lobata	cov130_n	1585430
Porites_lobata	cov130_hits	112
Porites_lobata	cov140_pct	0.0063
Porites_lobata	cov140_n	1165541
Porites_lobata	cov140_hits	74
Porites_lobata	cov150_pct	0.0064
Porites_lobata	cov150_n	707575
Porites_lobata	cov150_hits	45
Porites_lobata	cov160_pct	0.0052
Porites_lobata	cov160_n	401878
Porites_lobata	cov160_hits	21
Porites_lobata	cov170_pct	0.0055
Porites_lobata	cov170_n	237458
Porites_lobata	cov170_hits	13
Porites_lobata	cov180_pct	0.0013
Porites_lobata	cov180_n	156728
Porites_lobata	cov180_hits	2
Porites_lobata	cov190_pct	0.0008
Porites_lobata	cov190_n	121244
Porites_lobata	cov190_hits	1
Porites_lobata	cov200_pct	0.0016
Porites_lobata	cov200_n	667087
Porites_lobata	cov200_hits	11
