label	metric	value
Ptychoptera_lacustris	covered_sites	4175204
Ptychoptera_lacustris	confident_sites	19040
Ptychoptera_lacustris	pct_confident	0.456
Ptychoptera_lacustris	clustering_observed	nan
Ptychoptera_lacustris	clustering_null_mean	nan
Ptychoptera_lacustris	clustering_enrichment	nan
Ptychoptera_lacustris	clustering_z	nan
Ptychoptera_lacustris	mito_sites	150
Ptychoptera_lacustris	mito_pct_confident	0.0
Ptychoptera_lacustris	cov0_pct	3.9036
Ptychoptera_lacustris	cov0_n	251204
Ptychoptera_lacustris	cov0_hits	9806
Ptychoptera_lacustris	cov10_pct	1.3202
Ptychoptera_lacustris	cov10_n	595356
Ptychoptera_lacustris	cov10_hits	7860
Ptychoptera_lacustris	cov20_pct	0.2306
Ptychoptera_lacustris	cov20_n	504306
Ptychoptera_lacustris	cov20_hits	1163
Ptychoptera_lacustris	cov30_pct	0.0498
Ptychoptera_lacustris	cov30_n	269344
Ptychoptera_lacustris	cov30_hits	134
Ptychoptera_lacustris	cov40_pct	0.0071
Ptychoptera_lacustris	cov40_n	168790
Ptychoptera_lacustris	cov40_hits	12
Ptychoptera_lacustris	cov50_pct	0.002
Ptychoptera_lacustris	cov50_n	98566
Ptychoptera_lacustris	cov50_hits	2
Ptychoptera_lacustris	cov60_pct	0.0037
Ptychoptera_lacustris	cov60_n	162547
Ptychoptera_lacustris	cov60_hits	6
Ptychoptera_lacustris	cov70_pct	0.0036
Ptychoptera_lacustris	cov70_n	506912
Ptychoptera_lacustris	cov70_hits	18
Ptychoptera_lacustris	cov80_pct	0.0028
Ptychoptera_lacustris	cov80_n	815464
Ptychoptera_lacustris	cov80_hits	23
Ptychoptera_lacustris	cov90_pct	0.0021
Ptychoptera_lacustris	cov90_n	563257
Ptychoptera_lacustris	cov90_hits	12
Ptychoptera_lacustris	cov100_pct	0.0023
Ptychoptera_lacustris	cov100_n	175828
Ptychoptera_lacustris	cov100_hits	4
Ptychoptera_lacustris	cov110_pct	0.0
Ptychoptera_lacustris	cov110_n	34554
Ptychoptera_lacustris	cov110_hits	0
Ptychoptera_lacustris	cov120_pct	0.0
Ptychoptera_lacustris	cov120_n	8246
Ptychoptera_lacustris	cov120_hits	0
Ptychoptera_lacustris	cov130_pct	0.0
Ptychoptera_lacustris	cov130_n	4657
Ptychoptera_lacustris	cov130_hits	0
Ptychoptera_lacustris	cov140_pct	0.0
Ptychoptera_lacustris	cov140_n	3595
Ptychoptera_lacustris	cov140_hits	0
Ptychoptera_lacustris	cov150_pct	0.0
Ptychoptera_lacustris	cov150_n	3209
Ptychoptera_lacustris	cov150_hits	0
Ptychoptera_lacustris	cov160_pct	0.0
Ptychoptera_lacustris	cov160_n	1987
Ptychoptera_lacustris	cov160_hits	0
Ptychoptera_lacustris	cov170_pct	0.0
Ptychoptera_lacustris	cov170_n	1427
Ptychoptera_lacustris	cov170_hits	0
Ptychoptera_lacustris	cov200_pct	0.0
Ptychoptera_lacustris	cov200_n	4315
Ptychoptera_lacustris	cov200_hits	0
