label	metric	value
Pyrgus_serratulae	covered_sites	26862107
Pyrgus_serratulae	confident_sites	121244
Pyrgus_serratulae	pct_confident	0.4514
Pyrgus_serratulae	clustering_observed	nan
Pyrgus_serratulae	clustering_null_mean	nan
Pyrgus_serratulae	clustering_enrichment	nan
Pyrgus_serratulae	clustering_z	nan
Pyrgus_serratulae	cov0_pct	1.2696
Pyrgus_serratulae	cov0_n	472819
Pyrgus_serratulae	cov0_hits	6003
Pyrgus_serratulae	cov10_pct	0.3228
Pyrgus_serratulae	cov10_n	834534
Pyrgus_serratulae	cov10_hits	2694
Pyrgus_serratulae	cov20_pct	0.5695
Pyrgus_serratulae	cov20_n	3405281
Pyrgus_serratulae	cov20_hits	19392
Pyrgus_serratulae	cov30_pct	0.47
Pyrgus_serratulae	cov30_n	3738885
Pyrgus_serratulae	cov30_hits	17573
Pyrgus_serratulae	cov40_pct	0.3925
Pyrgus_serratulae	cov40_n	5590858
Pyrgus_serratulae	cov40_hits	21944
Pyrgus_serratulae	cov50_pct	0.4336
Pyrgus_serratulae	cov50_n	7630010
Pyrgus_serratulae	cov50_hits	33080
Pyrgus_serratulae	cov60_pct	0.4534
Pyrgus_serratulae	cov60_n	3744880
Pyrgus_serratulae	cov60_hits	16979
Pyrgus_serratulae	cov70_pct	0.3707
Pyrgus_serratulae	cov70_n	784678
Pyrgus_serratulae	cov70_hits	2909
Pyrgus_serratulae	cov80_pct	0.1647
Pyrgus_serratulae	cov80_n	219249
Pyrgus_serratulae	cov80_hits	361
Pyrgus_serratulae	cov90_pct	0.1289
Pyrgus_serratulae	cov90_n	118674
Pyrgus_serratulae	cov90_hits	153
Pyrgus_serratulae	cov100_pct	0.0941
Pyrgus_serratulae	cov100_n	78624
Pyrgus_serratulae	cov100_hits	74
Pyrgus_serratulae	cov110_pct	0.0665
Pyrgus_serratulae	cov110_n	57134
Pyrgus_serratulae	cov110_hits	38
Pyrgus_serratulae	cov120_pct	0.0565
Pyrgus_serratulae	cov120_n	38936
Pyrgus_serratulae	cov120_hits	22
Pyrgus_serratulae	cov130_pct	0.0446
Pyrgus_serratulae	cov130_n	29163
Pyrgus_serratulae	cov130_hits	13
Pyrgus_serratulae	cov140_pct	0.0046
Pyrgus_serratulae	cov140_n	21875
Pyrgus_serratulae	cov140_hits	1
Pyrgus_serratulae	cov150_pct	0.0214
Pyrgus_serratulae	cov150_n	18710
Pyrgus_serratulae	cov150_hits	4
Pyrgus_serratulae	cov160_pct	0.0145
Pyrgus_serratulae	cov160_n	13834
Pyrgus_serratulae	cov160_hits	2
Pyrgus_serratulae	cov170_pct	0.0
Pyrgus_serratulae	cov170_n	10413
Pyrgus_serratulae	cov170_hits	0
Pyrgus_serratulae	cov180_pct	0.0
Pyrgus_serratulae	cov180_n	8701
Pyrgus_serratulae	cov180_hits	0
Pyrgus_serratulae	cov190_pct	0.0
Pyrgus_serratulae	cov190_n	6251
Pyrgus_serratulae	cov190_hits	0
Pyrgus_serratulae	cov200_pct	0.0052
Pyrgus_serratulae	cov200_n	38598
Pyrgus_serratulae	cov200_hits	2
