label	metric	value
Ruditapes_philippinarum	covered_sites	20627310
Ruditapes_philippinarum	confident_sites	1568927
Ruditapes_philippinarum	pct_confident	7.6061
Ruditapes_philippinarum	clustering_observed	nan
Ruditapes_philippinarum	clustering_null_mean	nan
Ruditapes_philippinarum	clustering_enrichment	nan
Ruditapes_philippinarum	clustering_z	nan
Ruditapes_philippinarum	cov0_pct	10.5321
Ruditapes_philippinarum	cov0_n	1522464
Ruditapes_philippinarum	cov0_hits	160347
Ruditapes_philippinarum	cov10_pct	9.4586
Ruditapes_philippinarum	cov10_n	2816707
Ruditapes_philippinarum	cov10_hits	266422
Ruditapes_philippinarum	cov20_pct	8.8932
Ruditapes_philippinarum	cov20_n	3650838
Ruditapes_philippinarum	cov20_hits	324678
Ruditapes_philippinarum	cov30_pct	8.8877
Ruditapes_philippinarum	cov30_n	3651352
Ruditapes_philippinarum	cov30_hits	324523
Ruditapes_philippinarum	cov40_pct	7.1695
Ruditapes_philippinarum	cov40_n	4082848
Ruditapes_philippinarum	cov40_hits	292721
Ruditapes_philippinarum	cov50_pct	5.4747
Ruditapes_philippinarum	cov50_n	2032918
Ruditapes_philippinarum	cov50_hits	111297
Ruditapes_philippinarum	cov60_pct	3.7297
Ruditapes_philippinarum	cov60_n	817359
Ruditapes_philippinarum	cov60_hits	30485
Ruditapes_philippinarum	cov70_pct	2.8638
Ruditapes_philippinarum	cov70_n	501529
Ruditapes_philippinarum	cov70_hits	14363
Ruditapes_philippinarum	cov80_pct	2.8362
Ruditapes_philippinarum	cov80_n	338909
Ruditapes_philippinarum	cov80_hits	9612
Ruditapes_philippinarum	cov90_pct	2.8691
Ruditapes_philippinarum	cov90_n	243491
Ruditapes_philippinarum	cov90_hits	6986
Ruditapes_philippinarum	cov100_pct	2.7811
Ruditapes_philippinarum	cov100_n	177125
Ruditapes_philippinarum	cov100_hits	4926
Ruditapes_philippinarum	cov110_pct	2.8617
Ruditapes_philippinarum	cov110_n	133836
Ruditapes_philippinarum	cov110_hits	3830
Ruditapes_philippinarum	cov120_pct	2.8421
Ruditapes_philippinarum	cov120_n	104851
Ruditapes_philippinarum	cov120_hits	2980
Ruditapes_philippinarum	cov130_pct	2.9263
Ruditapes_philippinarum	cov130_n	80305
Ruditapes_philippinarum	cov130_hits	2350
Ruditapes_philippinarum	cov140_pct	2.8252
Ruditapes_philippinarum	cov140_n	63076
Ruditapes_philippinarum	cov140_hits	1782
Ruditapes_philippinarum	cov150_pct	2.8491
Ruditapes_philippinarum	cov150_n	52542
Ruditapes_philippinarum	cov150_hits	1497
Ruditapes_philippinarum	cov160_pct	2.4305
Ruditapes_philippinarum	cov160_n	44147
Ruditapes_philippinarum	cov160_hits	1073
Ruditapes_philippinarum	cov170_pct	2.547
Ruditapes_philippinarum	cov170_n	37181
Ruditapes_philippinarum	cov170_hits	947
Ruditapes_philippinarum	cov180_pct	2.9742
Ruditapes_philippinarum	cov180_n	30731
Ruditapes_philippinarum	cov180_hits	914
Ruditapes_philippinarum	cov190_pct	2.9669
Ruditapes_philippinarum	cov190_n	24706
Ruditapes_philippinarum	cov190_hits	733
Ruditapes_philippinarum	cov200_pct	2.9316
Ruditapes_philippinarum	cov200_n	220395
Ruditapes_philippinarum	cov200_hits	6461
