label	metric	value
Scellus_notatus	covered_sites	6773788
Scellus_notatus	confident_sites	1737
Scellus_notatus	pct_confident	0.0256
Scellus_notatus	clustering_observed	nan
Scellus_notatus	clustering_null_mean	nan
Scellus_notatus	clustering_enrichment	nan
Scellus_notatus	clustering_z	nan
Scellus_notatus	mito_sites	108
Scellus_notatus	mito_pct_confident	0.0
Scellus_notatus	cov0_pct	1.3548
Scellus_notatus	cov0_n	20446
Scellus_notatus	cov0_hits	277
Scellus_notatus	cov10_pct	0.3447
Scellus_notatus	cov10_n	160718
Scellus_notatus	cov10_hits	554
Scellus_notatus	cov20_pct	0.0859
Scellus_notatus	cov20_n	397041
Scellus_notatus	cov20_hits	341
Scellus_notatus	cov30_pct	0.0301
Scellus_notatus	cov30_n	684376
Scellus_notatus	cov30_hits	206
Scellus_notatus	cov40_pct	0.0118
Scellus_notatus	cov40_n	1214444
Scellus_notatus	cov40_hits	143
Scellus_notatus	cov50_pct	0.0052
Scellus_notatus	cov50_n	1756199
Scellus_notatus	cov50_hits	92
Scellus_notatus	cov60_pct	0.0054
Scellus_notatus	cov60_n	1603090
Scellus_notatus	cov60_hits	87
Scellus_notatus	cov70_pct	0.0041
Scellus_notatus	cov70_n	712100
Scellus_notatus	cov70_hits	29
Scellus_notatus	cov80_pct	0.0045
Scellus_notatus	cov80_n	153972
Scellus_notatus	cov80_hits	7
Scellus_notatus	cov90_pct	0.0034
Scellus_notatus	cov90_n	29736
Scellus_notatus	cov90_hits	1
Scellus_notatus	cov100_pct	0.0
Scellus_notatus	cov100_n	12841
Scellus_notatus	cov100_hits	0
Scellus_notatus	cov110_pct	0.0
Scellus_notatus	cov110_n	7076
Scellus_notatus	cov110_hits	0
Scellus_notatus	cov120_pct	0.0
Scellus_notatus	cov120_n	3512
Scellus_notatus	cov120_hits	0
Scellus_notatus	cov130_pct	0.0
Scellus_notatus	cov130_n	2504
Scellus_notatus	cov130_hits	0
Scellus_notatus	cov140_pct	0.0
Scellus_notatus	cov140_n	1875
Scellus_notatus	cov140_hits	0
Scellus_notatus	cov150_pct	0.0
Scellus_notatus	cov150_n	1362
Scellus_notatus	cov150_hits	0
Scellus_notatus	cov160_pct	0.0
Scellus_notatus	cov160_n	1274
Scellus_notatus	cov160_hits	0
Scellus_notatus	cov170_pct	0.0
Scellus_notatus	cov170_n	1084
Scellus_notatus	cov170_hits	0
Scellus_notatus	cov180_pct	0.0
Scellus_notatus	cov180_n	1081
Scellus_notatus	cov180_hits	0
Scellus_notatus	cov200_pct	0.0
Scellus_notatus	cov200_n	8290
Scellus_notatus	cov200_hits	0
