label	metric	value
Stylophora_pistillata	covered_sites	17198023
Stylophora_pistillata	confident_sites	5066
Stylophora_pistillata	pct_confident	0.0295
Stylophora_pistillata	clustering_observed	nan
Stylophora_pistillata	clustering_null_mean	nan
Stylophora_pistillata	clustering_enrichment	nan
Stylophora_pistillata	clustering_z	nan
Stylophora_pistillata	mito_sites	292
Stylophora_pistillata	mito_pct_confident	0.0
Stylophora_pistillata	cov0_pct	0.3624
Stylophora_pistillata	cov0_n	966075
Stylophora_pistillata	cov0_hits	3501
Stylophora_pistillata	cov10_pct	0.0488
Stylophora_pistillata	cov10_n	598580
Stylophora_pistillata	cov10_hits	292
Stylophora_pistillata	cov20_pct	0.0297
Stylophora_pistillata	cov20_n	420397
Stylophora_pistillata	cov20_hits	125
Stylophora_pistillata	cov30_pct	0.0156
Stylophora_pistillata	cov30_n	564460
Stylophora_pistillata	cov30_hits	88
Stylophora_pistillata	cov40_pct	0.0139
Stylophora_pistillata	cov40_n	778792
Stylophora_pistillata	cov40_hits	108
Stylophora_pistillata	cov50_pct	0.0105
Stylophora_pistillata	cov50_n	1119018
Stylophora_pistillata	cov50_hits	118
Stylophora_pistillata	cov60_pct	0.0094
Stylophora_pistillata	cov60_n	1310378
Stylophora_pistillata	cov60_hits	123
Stylophora_pistillata	cov70_pct	0.0073
Stylophora_pistillata	cov70_n	1192486
Stylophora_pistillata	cov70_hits	87
Stylophora_pistillata	cov80_pct	0.0072
Stylophora_pistillata	cov80_n	1036779
Stylophora_pistillata	cov80_hits	75
Stylophora_pistillata	cov90_pct	0.0072
Stylophora_pistillata	cov90_n	1026843
Stylophora_pistillata	cov90_hits	74
Stylophora_pistillata	cov100_pct	0.0064
Stylophora_pistillata	cov100_n	1121335
Stylophora_pistillata	cov100_hits	72
Stylophora_pistillata	cov110_pct	0.006
Stylophora_pistillata	cov110_n	1257945
Stylophora_pistillata	cov110_hits	75
Stylophora_pistillata	cov120_pct	0.0067
Stylophora_pistillata	cov120_n	1292349
Stylophora_pistillata	cov120_hits	86
Stylophora_pistillata	cov130_pct	0.0074
Stylophora_pistillata	cov130_n	1194713
Stylophora_pistillata	cov130_hits	89
Stylophora_pistillata	cov140_pct	0.0051
Stylophora_pistillata	cov140_n	937010
Stylophora_pistillata	cov140_hits	48
Stylophora_pistillata	cov150_pct	0.0054
Stylophora_pistillata	cov150_n	653018
Stylophora_pistillata	cov150_hits	35
Stylophora_pistillata	cov160_pct	0.0071
Stylophora_pistillata	cov160_n	422275
Stylophora_pistillata	cov160_hits	30
Stylophora_pistillata	cov170_pct	0.0044
Stylophora_pistillata	cov170_n	274411
Stylophora_pistillata	cov170_hits	12
Stylophora_pistillata	cov180_pct	0.0028
Stylophora_pistillata	cov180_n	180049
Stylophora_pistillata	cov180_hits	5
Stylophora_pistillata	cov190_pct	0.0031
Stylophora_pistillata	cov190_n	130658
Stylophora_pistillata	cov190_hits	4
Stylophora_pistillata	cov200_pct	0.0026
Stylophora_pistillata	cov200_n	720452
Stylophora_pistillata	cov200_hits	19
