label	metric	value
Toxonevra_muliebris	covered_sites	12342525
Toxonevra_muliebris	confident_sites	10808
Toxonevra_muliebris	pct_confident	0.0876
Toxonevra_muliebris	clustering_observed	nan
Toxonevra_muliebris	clustering_null_mean	nan
Toxonevra_muliebris	clustering_enrichment	nan
Toxonevra_muliebris	clustering_z	nan
Toxonevra_muliebris	mito_sites	133
Toxonevra_muliebris	mito_pct_confident	0.0
Toxonevra_muliebris	cov0_pct	0.9354
Toxonevra_muliebris	cov0_n	41372
Toxonevra_muliebris	cov0_hits	387
Toxonevra_muliebris	cov10_pct	0.263
Toxonevra_muliebris	cov10_n	152852
Toxonevra_muliebris	cov10_hits	402
Toxonevra_muliebris	cov20_pct	0.6416
Toxonevra_muliebris	cov20_n	453233
Toxonevra_muliebris	cov20_hits	2908
Toxonevra_muliebris	cov30_pct	0.5055
Toxonevra_muliebris	cov30_n	855867
Toxonevra_muliebris	cov30_hits	4326
Toxonevra_muliebris	cov40_pct	0.1703
Toxonevra_muliebris	cov40_n	1117171
Toxonevra_muliebris	cov40_hits	1902
Toxonevra_muliebris	cov50_pct	0.0148
Toxonevra_muliebris	cov50_n	1868257
Toxonevra_muliebris	cov50_hits	276
Toxonevra_muliebris	cov60_pct	0.0088
Toxonevra_muliebris	cov60_n	2661423
Toxonevra_muliebris	cov60_hits	234
Toxonevra_muliebris	cov70_pct	0.0077
Toxonevra_muliebris	cov70_n	2716699
Toxonevra_muliebris	cov70_hits	209
Toxonevra_muliebris	cov80_pct	0.0053
Toxonevra_muliebris	cov80_n	1692983
Toxonevra_muliebris	cov80_hits	90
Toxonevra_muliebris	cov90_pct	0.0049
Toxonevra_muliebris	cov90_n	589655
Toxonevra_muliebris	cov90_hits	29
Toxonevra_muliebris	cov100_pct	0.0141
Toxonevra_muliebris	cov100_n	120647
Toxonevra_muliebris	cov100_hits	17
Toxonevra_muliebris	cov110_pct	0.0307
Toxonevra_muliebris	cov110_n	22822
Toxonevra_muliebris	cov110_hits	7
Toxonevra_muliebris	cov120_pct	0.048
Toxonevra_muliebris	cov120_n	10413
Toxonevra_muliebris	cov120_hits	5
Toxonevra_muliebris	cov130_pct	0.0597
Toxonevra_muliebris	cov130_n	6696
Toxonevra_muliebris	cov130_hits	4
Toxonevra_muliebris	cov140_pct	0.0367
Toxonevra_muliebris	cov140_n	5452
Toxonevra_muliebris	cov140_hits	2
Toxonevra_muliebris	cov150_pct	0.0
Toxonevra_muliebris	cov150_n	3472
Toxonevra_muliebris	cov150_hits	0
Toxonevra_muliebris	cov160_pct	0.0
Toxonevra_muliebris	cov160_n	2791
Toxonevra_muliebris	cov160_hits	0
Toxonevra_muliebris	cov170_pct	0.0
Toxonevra_muliebris	cov170_n	2111
Toxonevra_muliebris	cov170_hits	0
Toxonevra_muliebris	cov180_pct	0.1367
Toxonevra_muliebris	cov180_n	2195
Toxonevra_muliebris	cov180_hits	3
Toxonevra_muliebris	cov190_pct	0.1226
Toxonevra_muliebris	cov190_n	1631
Toxonevra_muliebris	cov190_hits	2
Toxonevra_muliebris	cov200_pct	0.0338
Toxonevra_muliebris	cov200_n	14783
Toxonevra_muliebris	cov200_hits	5
