label	metric	value
Tricyphona_immaculata	covered_sites	3609016
Tricyphona_immaculata	confident_sites	541
Tricyphona_immaculata	pct_confident	0.015
Tricyphona_immaculata	clustering_observed	nan
Tricyphona_immaculata	clustering_null_mean	nan
Tricyphona_immaculata	clustering_enrichment	nan
Tricyphona_immaculata	clustering_z	nan
Tricyphona_immaculata	mito_sites	143
Tricyphona_immaculata	mito_pct_confident	0.0
Tricyphona_immaculata	cov0_pct	0.7334
Tricyphona_immaculata	cov0_n	16362
Tricyphona_immaculata	cov0_hits	120
Tricyphona_immaculata	cov10_pct	0.0802
Tricyphona_immaculata	cov10_n	117249
Tricyphona_immaculata	cov10_hits	94
Tricyphona_immaculata	cov20_pct	0.0346
Tricyphona_immaculata	cov20_n	300637
Tricyphona_immaculata	cov20_hits	104
Tricyphona_immaculata	cov30_pct	0.0106
Tricyphona_immaculata	cov30_n	546966
Tricyphona_immaculata	cov30_hits	58
Tricyphona_immaculata	cov40_pct	0.0077
Tricyphona_immaculata	cov40_n	1003372
Tricyphona_immaculata	cov40_hits	77
Tricyphona_immaculata	cov50_pct	0.0064
Tricyphona_immaculata	cov50_n	652091
Tricyphona_immaculata	cov50_hits	42
Tricyphona_immaculata	cov60_pct	0.0068
Tricyphona_immaculata	cov60_n	264343
Tricyphona_immaculata	cov60_hits	18
Tricyphona_immaculata	cov70_pct	0.0013
Tricyphona_immaculata	cov70_n	148633
Tricyphona_immaculata	cov70_hits	2
Tricyphona_immaculata	cov80_pct	0.0069
Tricyphona_immaculata	cov80_n	102027
Tricyphona_immaculata	cov80_hits	7
Tricyphona_immaculata	cov90_pct	0.0085
Tricyphona_immaculata	cov90_n	82067
Tricyphona_immaculata	cov90_hits	7
Tricyphona_immaculata	cov100_pct	0.003
Tricyphona_immaculata	cov100_n	67094
Tricyphona_immaculata	cov100_hits	2
Tricyphona_immaculata	cov110_pct	0.0
Tricyphona_immaculata	cov110_n	51990
Tricyphona_immaculata	cov110_hits	0
Tricyphona_immaculata	cov120_pct	0.0022
Tricyphona_immaculata	cov120_n	45434
Tricyphona_immaculata	cov120_hits	1
Tricyphona_immaculata	cov130_pct	0.0056
Tricyphona_immaculata	cov130_n	35600
Tricyphona_immaculata	cov130_hits	2
Tricyphona_immaculata	cov140_pct	0.0037
Tricyphona_immaculata	cov140_n	26919
Tricyphona_immaculata	cov140_hits	1
Tricyphona_immaculata	cov150_pct	0.0
Tricyphona_immaculata	cov150_n	24142
Tricyphona_immaculata	cov150_hits	0
Tricyphona_immaculata	cov160_pct	0.0049
Tricyphona_immaculata	cov160_n	20349
Tricyphona_immaculata	cov160_hits	1
Tricyphona_immaculata	cov170_pct	0.006
Tricyphona_immaculata	cov170_n	16708
Tricyphona_immaculata	cov170_hits	1
Tricyphona_immaculata	cov180_pct	0.014
Tricyphona_immaculata	cov180_n	14236
Tricyphona_immaculata	cov180_hits	2
Tricyphona_immaculata	cov190_pct	0.0084
Tricyphona_immaculata	cov190_n	11891
Tricyphona_immaculata	cov190_hits	1
Tricyphona_immaculata	cov200_pct	0.0016
Tricyphona_immaculata	cov200_n	60906
Tricyphona_immaculata	cov200_hits	1
