label	metric	value
Xenostrobus_securis	covered_sites	19953463
Xenostrobus_securis	confident_sites	3239091
Xenostrobus_securis	pct_confident	16.2332
Xenostrobus_securis	clustering_observed	nan
Xenostrobus_securis	clustering_null_mean	nan
Xenostrobus_securis	clustering_enrichment	nan
Xenostrobus_securis	clustering_z	nan
Xenostrobus_securis	mito_sites	331
Xenostrobus_securis	mito_pct_confident	0.0
Xenostrobus_securis	cov0_pct	20.3284
Xenostrobus_securis	cov0_n	8830
Xenostrobus_securis	cov0_hits	1795
Xenostrobus_securis	cov10_pct	23.1994
Xenostrobus_securis	cov10_n	97757
Xenostrobus_securis	cov10_hits	22679
Xenostrobus_securis	cov20_pct	21.6442
Xenostrobus_securis	cov20_n	1353354
Xenostrobus_securis	cov20_hits	292922
Xenostrobus_securis	cov30_pct	19.0024
Xenostrobus_securis	cov30_n	4205104
Xenostrobus_securis	cov30_hits	799071
Xenostrobus_securis	cov40_pct	18.5924
Xenostrobus_securis	cov40_n	2886484
Xenostrobus_securis	cov40_hits	536666
Xenostrobus_securis	cov50_pct	18.3809
Xenostrobus_securis	cov50_n	2170766
Xenostrobus_securis	cov50_hits	399006
Xenostrobus_securis	cov60_pct	15.5
Xenostrobus_securis	cov60_n	3232743
Xenostrobus_securis	cov60_hits	501074
Xenostrobus_securis	cov70_pct	12.4641
Xenostrobus_securis	cov70_n	2999184
Xenostrobus_securis	cov70_hits	373822
Xenostrobus_securis	cov80_pct	10.9597
Xenostrobus_securis	cov80_n	1368982
Xenostrobus_securis	cov80_hits	150037
Xenostrobus_securis	cov90_pct	10.9784
Xenostrobus_securis	cov90_n	484423
Xenostrobus_securis	cov90_hits	53182
Xenostrobus_securis	cov100_pct	10.5227
Xenostrobus_securis	cov100_n	272801
Xenostrobus_securis	cov100_hits	28706
Xenostrobus_securis	cov110_pct	9.5284
Xenostrobus_securis	cov110_n	194733
Xenostrobus_securis	cov110_hits	18555
Xenostrobus_securis	cov120_pct	9.7255
Xenostrobus_securis	cov120_n	131860
Xenostrobus_securis	cov120_hits	12824
Xenostrobus_securis	cov130_pct	9.783
Xenostrobus_securis	cov130_n	99223
Xenostrobus_securis	cov130_hits	9707
Xenostrobus_securis	cov140_pct	9.9218
Xenostrobus_securis	cov140_n	76105
Xenostrobus_securis	cov140_hits	7551
Xenostrobus_securis	cov150_pct	9.5606
Xenostrobus_securis	cov150_n	60216
Xenostrobus_securis	cov150_hits	5757
Xenostrobus_securis	cov160_pct	9.1154
Xenostrobus_securis	cov160_n	49696
Xenostrobus_securis	cov160_hits	4530
Xenostrobus_securis	cov170_pct	9.3898
Xenostrobus_securis	cov170_n	38446
Xenostrobus_securis	cov170_hits	3610
Xenostrobus_securis	cov180_pct	8.2718
Xenostrobus_securis	cov180_n	32629
Xenostrobus_securis	cov180_hits	2699
Xenostrobus_securis	cov190_pct	9.2033
Xenostrobus_securis	cov190_n	26534
Xenostrobus_securis	cov190_hits	2442
Xenostrobus_securis	cov200_pct	7.614
Xenostrobus_securis	cov200_n	163593
Xenostrobus_securis	cov200_hits	12456
