label	metric	value
ilAgrLitu1_deposited	covered_sites	28818891
ilAgrLitu1_deposited	confident_sites	60701
ilAgrLitu1_deposited	pct_confident	0.2106
ilAgrLitu1_deposited	clustering_observed	nan
ilAgrLitu1_deposited	clustering_null_mean	nan
ilAgrLitu1_deposited	clustering_enrichment	nan
ilAgrLitu1_deposited	clustering_z	nan
ilAgrLitu1_deposited	cov0_pct	0.3132
ilAgrLitu1_deposited	cov0_n	179147
ilAgrLitu1_deposited	cov0_hits	561
ilAgrLitu1_deposited	cov10_pct	0.1755
ilAgrLitu1_deposited	cov10_n	4217670
ilAgrLitu1_deposited	cov10_hits	7402
ilAgrLitu1_deposited	cov20_pct	0.2025
ilAgrLitu1_deposited	cov20_n	8154350
ilAgrLitu1_deposited	cov20_hits	16512
ilAgrLitu1_deposited	cov30_pct	0.2346
ilAgrLitu1_deposited	cov30_n	12272715
ilAgrLitu1_deposited	cov30_hits	28789
ilAgrLitu1_deposited	cov40_pct	0.2134
ilAgrLitu1_deposited	cov40_n	3356335
ilAgrLitu1_deposited	cov40_hits	7163
ilAgrLitu1_deposited	cov50_pct	0.074
ilAgrLitu1_deposited	cov50_n	351439
ilAgrLitu1_deposited	cov50_hits	260
ilAgrLitu1_deposited	cov60_pct	0.0127
ilAgrLitu1_deposited	cov60_n	110102
ilAgrLitu1_deposited	cov60_hits	14
ilAgrLitu1_deposited	cov70_pct	0.0
ilAgrLitu1_deposited	cov70_n	54506
ilAgrLitu1_deposited	cov70_hits	0
ilAgrLitu1_deposited	cov80_pct	0.0
ilAgrLitu1_deposited	cov80_n	35872
ilAgrLitu1_deposited	cov80_hits	0
ilAgrLitu1_deposited	cov90_pct	0.0
ilAgrLitu1_deposited	cov90_n	24473
ilAgrLitu1_deposited	cov90_hits	0
ilAgrLitu1_deposited	cov100_pct	0.0
ilAgrLitu1_deposited	cov100_n	14799
ilAgrLitu1_deposited	cov100_hits	0
ilAgrLitu1_deposited	cov110_pct	0.0
ilAgrLitu1_deposited	cov110_n	9315
ilAgrLitu1_deposited	cov110_hits	0
ilAgrLitu1_deposited	cov120_pct	0.0
ilAgrLitu1_deposited	cov120_n	6189
ilAgrLitu1_deposited	cov120_hits	0
ilAgrLitu1_deposited	cov130_pct	0.0
ilAgrLitu1_deposited	cov130_n	4486
ilAgrLitu1_deposited	cov130_hits	0
ilAgrLitu1_deposited	cov140_pct	0.0
ilAgrLitu1_deposited	cov140_n	3548
ilAgrLitu1_deposited	cov140_hits	0
ilAgrLitu1_deposited	cov150_pct	0.0
ilAgrLitu1_deposited	cov150_n	2848
ilAgrLitu1_deposited	cov150_hits	0
ilAgrLitu1_deposited	cov160_pct	0.0
ilAgrLitu1_deposited	cov160_n	3034
ilAgrLitu1_deposited	cov160_hits	0
ilAgrLitu1_deposited	cov170_pct	0.0
ilAgrLitu1_deposited	cov170_n	1485
ilAgrLitu1_deposited	cov170_hits	0
ilAgrLitu1_deposited	cov180_pct	0.0
ilAgrLitu1_deposited	cov180_n	1164
ilAgrLitu1_deposited	cov180_hits	0
ilAgrLitu1_deposited	cov200_pct	0.0
ilAgrLitu1_deposited	cov200_n	14474
ilAgrLitu1_deposited	cov200_hits	0
