label	metric	value
ilAgrLitu1_recalled	covered_sites	28818886
ilAgrLitu1_recalled	confident_sites	46975
ilAgrLitu1_recalled	pct_confident	0.163
ilAgrLitu1_recalled	clustering_observed	nan
ilAgrLitu1_recalled	clustering_null_mean	nan
ilAgrLitu1_recalled	clustering_enrichment	nan
ilAgrLitu1_recalled	clustering_z	nan
ilAgrLitu1_recalled	cov0_pct	0.2098
ilAgrLitu1_recalled	cov0_n	181566
ilAgrLitu1_recalled	cov0_hits	381
ilAgrLitu1_recalled	cov10_pct	0.1302
ilAgrLitu1_recalled	cov10_n	4229948
ilAgrLitu1_recalled	cov10_hits	5508
ilAgrLitu1_recalled	cov20_pct	0.1583
ilAgrLitu1_recalled	cov20_n	8184488
ilAgrLitu1_recalled	cov20_hits	12955
ilAgrLitu1_recalled	cov30_pct	0.1824
ilAgrLitu1_recalled	cov30_n	12256205
ilAgrLitu1_recalled	cov30_hits	22353
ilAgrLitu1_recalled	cov40_pct	0.1675
ilAgrLitu1_recalled	cov40_n	3332287
ilAgrLitu1_recalled	cov40_hits	5581
ilAgrLitu1_recalled	cov50_pct	0.0531
ilAgrLitu1_recalled	cov50_n	348393
ilAgrLitu1_recalled	cov50_hits	185
ilAgrLitu1_recalled	cov60_pct	0.011
ilAgrLitu1_recalled	cov60_n	109574
ilAgrLitu1_recalled	cov60_hits	12
ilAgrLitu1_recalled	cov70_pct	0.0
ilAgrLitu1_recalled	cov70_n	54311
ilAgrLitu1_recalled	cov70_hits	0
ilAgrLitu1_recalled	cov80_pct	0.0
ilAgrLitu1_recalled	cov80_n	35689
ilAgrLitu1_recalled	cov80_hits	0
ilAgrLitu1_recalled	cov90_pct	0.0
ilAgrLitu1_recalled	cov90_n	24315
ilAgrLitu1_recalled	cov90_hits	0
ilAgrLitu1_recalled	cov100_pct	0.0
ilAgrLitu1_recalled	cov100_n	14770
ilAgrLitu1_recalled	cov100_hits	0
ilAgrLitu1_recalled	cov110_pct	0.0
ilAgrLitu1_recalled	cov110_n	9250
ilAgrLitu1_recalled	cov110_hits	0
ilAgrLitu1_recalled	cov120_pct	0.0
ilAgrLitu1_recalled	cov120_n	6250
ilAgrLitu1_recalled	cov120_hits	0
ilAgrLitu1_recalled	cov130_pct	0.0
ilAgrLitu1_recalled	cov130_n	4467
ilAgrLitu1_recalled	cov130_hits	0
ilAgrLitu1_recalled	cov140_pct	0.0
ilAgrLitu1_recalled	cov140_n	3470
ilAgrLitu1_recalled	cov140_hits	0
ilAgrLitu1_recalled	cov150_pct	0.0
ilAgrLitu1_recalled	cov150_n	2883
ilAgrLitu1_recalled	cov150_hits	0
ilAgrLitu1_recalled	cov160_pct	0.0
ilAgrLitu1_recalled	cov160_n	2967
ilAgrLitu1_recalled	cov160_hits	0
ilAgrLitu1_recalled	cov170_pct	0.0
ilAgrLitu1_recalled	cov170_n	1495
ilAgrLitu1_recalled	cov170_hits	0
ilAgrLitu1_recalled	cov180_pct	0.0
ilAgrLitu1_recalled	cov180_n	1200
ilAgrLitu1_recalled	cov180_hits	0
ilAgrLitu1_recalled	cov200_pct	0.0
ilAgrLitu1_recalled	cov200_n	14441
ilAgrLitu1_recalled	cov200_hits	0
