label	metric	value
ilAgrLych1	covered_sites	29925087
ilAgrLych1	confident_sites	72296
ilAgrLych1	pct_confident	0.2416
ilAgrLych1	clustering_observed	nan
ilAgrLych1	clustering_null_mean	nan
ilAgrLych1	clustering_enrichment	nan
ilAgrLych1	clustering_z	nan
ilAgrLych1	mito_sites	95
ilAgrLych1	mito_pct_confident	0.0
ilAgrLych1	cov0_pct	0.784
ilAgrLych1	cov0_n	204198
ilAgrLych1	cov0_hits	1601
ilAgrLych1	cov10_pct	0.2736
ilAgrLych1	cov10_n	4510078
ilAgrLych1	cov10_hits	12341
ilAgrLych1	cov20_pct	0.2134
ilAgrLych1	cov20_n	7765559
ilAgrLych1	cov20_hits	16573
ilAgrLych1	cov30_pct	0.248
ilAgrLych1	cov30_n	12328571
ilAgrLych1	cov30_hits	30569
ilAgrLych1	cov40_pct	0.2397
ilAgrLych1	cov40_n	4335920
ilAgrLych1	cov40_hits	10394
ilAgrLych1	cov50_pct	0.1455
ilAgrLych1	cov50_n	480432
ilAgrLych1	cov50_hits	699
ilAgrLych1	cov60_pct	0.045
ilAgrLych1	cov60_n	119965
ilAgrLych1	cov60_hits	54
ilAgrLych1	cov70_pct	0.0536
ilAgrLych1	cov70_n	59683
ilAgrLych1	cov70_hits	32
ilAgrLych1	cov80_pct	0.0799
ilAgrLych1	cov80_n	37542
ilAgrLych1	cov80_hits	30
ilAgrLych1	cov90_pct	0.0093
ilAgrLych1	cov90_n	21424
ilAgrLych1	cov90_hits	2
ilAgrLych1	cov100_pct	0.0062
ilAgrLych1	cov100_n	16210
ilAgrLych1	cov100_hits	1
ilAgrLych1	cov110_pct	0.0
ilAgrLych1	cov110_n	9534
ilAgrLych1	cov110_hits	0
ilAgrLych1	cov120_pct	0.0
ilAgrLych1	cov120_n	6683
ilAgrLych1	cov120_hits	0
ilAgrLych1	cov130_pct	0.0
ilAgrLych1	cov130_n	4850
ilAgrLych1	cov130_hits	0
ilAgrLych1	cov140_pct	0.0
ilAgrLych1	cov140_n	4962
ilAgrLych1	cov140_hits	0
ilAgrLych1	cov150_pct	0.0
ilAgrLych1	cov150_n	3995
ilAgrLych1	cov150_hits	0
ilAgrLych1	cov160_pct	0.0
ilAgrLych1	cov160_n	2989
ilAgrLych1	cov160_hits	0
ilAgrLych1	cov170_pct	0.0
ilAgrLych1	cov170_n	1883
ilAgrLych1	cov170_hits	0
ilAgrLych1	cov180_pct	0.0
ilAgrLych1	cov180_n	1573
ilAgrLych1	cov180_hits	0
ilAgrLych1	cov190_pct	0.0
ilAgrLych1	cov190_n	1369
ilAgrLych1	cov190_hits	0
ilAgrLych1	cov200_pct	0.0
ilAgrLych1	cov200_n	7667
ilAgrLych1	cov200_hits	0
