label	metric	value
ilApaCren1	covered_sites	21498398
ilApaCren1	confident_sites	52787
ilApaCren1	pct_confident	0.2455
ilApaCren1	clustering_observed	nan
ilApaCren1	clustering_null_mean	nan
ilApaCren1	clustering_enrichment	nan
ilApaCren1	clustering_z	nan
ilApaCren1	mito_sites	97
ilApaCren1	mito_pct_confident	0.0
ilApaCren1	cov0_pct	0.2792
ilApaCren1	cov0_n	28654
ilApaCren1	cov0_hits	80
ilApaCren1	cov10_pct	0.1945
ilApaCren1	cov10_n	1012881
ilApaCren1	cov10_hits	1970
ilApaCren1	cov20_pct	0.1765
ilApaCren1	cov20_n	3191781
ilApaCren1	cov20_hits	5633
ilApaCren1	cov30_pct	0.2029
ilApaCren1	cov30_n	4143830
ilApaCren1	cov30_hits	8409
ilApaCren1	cov40_pct	0.2625
ilApaCren1	cov40_n	7764236
ilApaCren1	cov40_hits	20383
ilApaCren1	cov50_pct	0.2752
ilApaCren1	cov50_n	4301610
ilApaCren1	cov50_hits	11840
ilApaCren1	cov60_pct	0.2645
ilApaCren1	cov60_n	790634
ilApaCren1	cov60_hits	2091
ilApaCren1	cov70_pct	0.1156
ilApaCren1	cov70_n	115900
ilApaCren1	cov70_hits	134
ilApaCren1	cov80_pct	0.1216
ilApaCren1	cov80_n	44414
ilApaCren1	cov80_hits	54
ilApaCren1	cov90_pct	0.3316
ilApaCren1	cov90_n	26537
ilApaCren1	cov90_hits	88
ilApaCren1	cov100_pct	0.3389
ilApaCren1	cov100_n	16230
ilApaCren1	cov100_hits	55
ilApaCren1	cov110_pct	0.4594
ilApaCren1	cov110_n	12407
ilApaCren1	cov110_hits	57
ilApaCren1	cov120_pct	0.7229
ilApaCren1	cov120_n	9268
ilApaCren1	cov120_hits	67
ilApaCren1	cov130_pct	1.0271
ilApaCren1	cov130_n	6718
ilApaCren1	cov130_hits	69
ilApaCren1	cov140_pct	1.5245
ilApaCren1	cov140_n	4526
ilApaCren1	cov140_hits	69
ilApaCren1	cov150_pct	2.1123
ilApaCren1	cov150_n	3456
ilApaCren1	cov150_hits	73
ilApaCren1	cov160_pct	2.7574
ilApaCren1	cov160_n	2865
ilApaCren1	cov160_hits	79
ilApaCren1	cov170_pct	4.0561
ilApaCren1	cov170_n	1997
ilApaCren1	cov170_hits	81
ilApaCren1	cov180_pct	6.401
ilApaCren1	cov180_n	1531
ilApaCren1	cov180_hits	98
ilApaCren1	cov190_pct	6.2452
ilApaCren1	cov190_n	1297
ilApaCren1	cov190_hits	81
ilApaCren1	cov200_pct	7.8066
ilApaCren1	cov200_n	17626
ilApaCren1	cov200_hits	1376
