label	metric	value
ilApaSubl1	covered_sites	25598112
ilApaSubl1	confident_sites	87155
ilApaSubl1	pct_confident	0.3405
ilApaSubl1	clustering_observed	nan
ilApaSubl1	clustering_null_mean	nan
ilApaSubl1	clustering_enrichment	nan
ilApaSubl1	clustering_z	nan
ilApaSubl1	mito_sites	107
ilApaSubl1	mito_pct_confident	0.0
ilApaSubl1	cov0_pct	1.3762
ilApaSubl1	cov0_n	162552
ilApaSubl1	cov0_hits	2237
ilApaSubl1	cov10_pct	0.3878
ilApaSubl1	cov10_n	2112559
ilApaSubl1	cov10_hits	8193
ilApaSubl1	cov20_pct	0.3087
ilApaSubl1	cov20_n	6635156
ilApaSubl1	cov20_hits	20481
ilApaSubl1	cov30_pct	0.3445
ilApaSubl1	cov30_n	12588578
ilApaSubl1	cov30_hits	43363
ilApaSubl1	cov40_pct	0.338
ilApaSubl1	cov40_n	3613045
ilApaSubl1	cov40_hits	12212
ilApaSubl1	cov50_pct	0.1886
ilApaSubl1	cov50_n	308627
ilApaSubl1	cov50_hits	582
ilApaSubl1	cov60_pct	0.0499
ilApaSubl1	cov60_n	76154
ilApaSubl1	cov60_hits	38
ilApaSubl1	cov70_pct	0.0562
ilApaSubl1	cov70_n	39165
ilApaSubl1	cov70_hits	22
ilApaSubl1	cov80_pct	0.0187
ilApaSubl1	cov80_n	21440
ilApaSubl1	cov80_hits	4
ilApaSubl1	cov90_pct	0.0754
ilApaSubl1	cov90_n	13258
ilApaSubl1	cov90_hits	10
ilApaSubl1	cov100_pct	0.0448
ilApaSubl1	cov100_n	8928
ilApaSubl1	cov100_hits	4
ilApaSubl1	cov110_pct	0.017
ilApaSubl1	cov110_n	5869
ilApaSubl1	cov110_hits	1
ilApaSubl1	cov120_pct	0.0
ilApaSubl1	cov120_n	3278
ilApaSubl1	cov120_hits	0
ilApaSubl1	cov130_pct	0.0
ilApaSubl1	cov130_n	2165
ilApaSubl1	cov130_hits	0
ilApaSubl1	cov140_pct	0.0582
ilApaSubl1	cov140_n	1719
ilApaSubl1	cov140_hits	1
ilApaSubl1	cov150_pct	0.3539
ilApaSubl1	cov150_n	1413
ilApaSubl1	cov150_hits	5
ilApaSubl1	cov160_pct	0.0782
ilApaSubl1	cov160_n	1278
ilApaSubl1	cov160_hits	1
ilApaSubl1	cov200_pct	0.0
ilApaSubl1	cov200_n	1473
ilApaSubl1	cov200_hits	0
