label	metric	value
ilCalLunu1	covered_sites	21350491
ilCalLunu1	confident_sites	46481
ilCalLunu1	pct_confident	0.2177
ilCalLunu1	clustering_observed	nan
ilCalLunu1	clustering_null_mean	nan
ilCalLunu1	clustering_enrichment	nan
ilCalLunu1	clustering_z	nan
ilCalLunu1	mito_sites	93
ilCalLunu1	mito_pct_confident	0.0
ilCalLunu1	cov0_pct	1.3499
ilCalLunu1	cov0_n	32595
ilCalLunu1	cov0_hits	440
ilCalLunu1	cov10_pct	0.179
ilCalLunu1	cov10_n	60905
ilCalLunu1	cov10_hits	109
ilCalLunu1	cov20_pct	0.1764
ilCalLunu1	cov20_n	356490
ilCalLunu1	cov20_hits	629
ilCalLunu1	cov30_pct	0.2451
ilCalLunu1	cov30_n	1994707
ilCalLunu1	cov30_hits	4889
ilCalLunu1	cov40_pct	0.2026
ilCalLunu1	cov40_n	2170950
ilCalLunu1	cov40_hits	4399
ilCalLunu1	cov50_pct	0.1649
ilCalLunu1	cov50_n	1629089
ilCalLunu1	cov50_hits	2686
ilCalLunu1	cov60_pct	0.2073
ilCalLunu1	cov60_n	3718025
ilCalLunu1	cov60_hits	7706
ilCalLunu1	cov70_pct	0.2339
ilCalLunu1	cov70_n	5834237
ilCalLunu1	cov70_hits	13645
ilCalLunu1	cov80_pct	0.2398
ilCalLunu1	cov80_n	3790792
ilCalLunu1	cov80_hits	9089
ilCalLunu1	cov90_pct	0.2114
ilCalLunu1	cov90_n	1068682
ilCalLunu1	cov90_hits	2259
ilCalLunu1	cov100_pct	0.1769
ilCalLunu1	cov100_n	235170
ilCalLunu1	cov100_hits	416
ilCalLunu1	cov110_pct	0.0518
ilCalLunu1	cov110_n	108171
ilCalLunu1	cov110_hits	56
ilCalLunu1	cov120_pct	0.0353
ilCalLunu1	cov120_n	73612
ilCalLunu1	cov120_hits	26
ilCalLunu1	cov130_pct	0.0429
ilCalLunu1	cov130_n	53594
ilCalLunu1	cov130_hits	23
ilCalLunu1	cov140_pct	0.0496
ilCalLunu1	cov140_n	42299
ilCalLunu1	cov140_hits	21
ilCalLunu1	cov150_pct	0.0335
ilCalLunu1	cov150_n	32851
ilCalLunu1	cov150_hits	11
ilCalLunu1	cov160_pct	0.0107
ilCalLunu1	cov160_n	27929
ilCalLunu1	cov160_hits	3
ilCalLunu1	cov170_pct	0.0775
ilCalLunu1	cov170_n	21934
ilCalLunu1	cov170_hits	17
ilCalLunu1	cov180_pct	0.1069
ilCalLunu1	cov180_n	16836
ilCalLunu1	cov180_hits	18
ilCalLunu1	cov190_pct	0.0831
ilCalLunu1	cov190_n	14445
ilCalLunu1	cov190_hits	12
ilCalLunu1	cov200_pct	0.0402
ilCalLunu1	cov200_n	67178
ilCalLunu1	cov200_hits	27
