label	metric	value
ilCerLeuc1	covered_sites	23697519
ilCerLeuc1	confident_sites	41596
ilCerLeuc1	pct_confident	0.1755
ilCerLeuc1	clustering_observed	nan
ilCerLeuc1	clustering_null_mean	nan
ilCerLeuc1	clustering_enrichment	nan
ilCerLeuc1	clustering_z	nan
ilCerLeuc1	mito_sites	84
ilCerLeuc1	mito_pct_confident	0.0
ilCerLeuc1	cov0_pct	0.4219
ilCerLeuc1	cov0_n	54515
ilCerLeuc1	cov0_hits	230
ilCerLeuc1	cov10_pct	0.1603
ilCerLeuc1	cov10_n	2642624
ilCerLeuc1	cov10_hits	4237
ilCerLeuc1	cov20_pct	0.1404
ilCerLeuc1	cov20_n	5090300
ilCerLeuc1	cov20_hits	7149
ilCerLeuc1	cov30_pct	0.1883
ilCerLeuc1	cov30_n	7990513
ilCerLeuc1	cov30_hits	15043
ilCerLeuc1	cov40_pct	0.2024
ilCerLeuc1	cov40_n	6258647
ilCerLeuc1	cov40_hits	12668
ilCerLeuc1	cov50_pct	0.1747
ilCerLeuc1	cov50_n	1212645
ilCerLeuc1	cov50_hits	2119
ilCerLeuc1	cov60_pct	0.0589
ilCerLeuc1	cov60_n	190298
ilCerLeuc1	cov60_hits	112
ilCerLeuc1	cov70_pct	0.0246
ilCerLeuc1	cov70_n	89551
ilCerLeuc1	cov70_hits	22
ilCerLeuc1	cov80_pct	0.0037
ilCerLeuc1	cov80_n	53826
ilCerLeuc1	cov80_hits	2
ilCerLeuc1	cov90_pct	0.0093
ilCerLeuc1	cov90_n	32372
ilCerLeuc1	cov90_hits	3
ilCerLeuc1	cov100_pct	0.0088
ilCerLeuc1	cov100_n	22804
ilCerLeuc1	cov100_hits	2
ilCerLeuc1	cov110_pct	0.02
ilCerLeuc1	cov110_n	15012
ilCerLeuc1	cov110_hits	3
ilCerLeuc1	cov120_pct	0.0422
ilCerLeuc1	cov120_n	9481
ilCerLeuc1	cov120_hits	4
ilCerLeuc1	cov130_pct	0.0
ilCerLeuc1	cov130_n	6263
ilCerLeuc1	cov130_hits	0
ilCerLeuc1	cov140_pct	0.0
ilCerLeuc1	cov140_n	4634
ilCerLeuc1	cov140_hits	0
ilCerLeuc1	cov150_pct	0.0
ilCerLeuc1	cov150_n	4443
ilCerLeuc1	cov150_hits	0
ilCerLeuc1	cov160_pct	0.0
ilCerLeuc1	cov160_n	3103
ilCerLeuc1	cov160_hits	0
ilCerLeuc1	cov170_pct	0.0
ilCerLeuc1	cov170_n	1662
ilCerLeuc1	cov170_hits	0
ilCerLeuc1	cov180_pct	0.0
ilCerLeuc1	cov180_n	1510
ilCerLeuc1	cov180_hits	0
ilCerLeuc1	cov190_pct	0.0
ilCerLeuc1	cov190_n	1255
ilCerLeuc1	cov190_hits	0
ilCerLeuc1	cov200_pct	0.0166
ilCerLeuc1	cov200_n	12061
ilCerLeuc1	cov200_hits	2
