label	metric	value
ilDasTemp1	covered_sites	33399782
ilDasTemp1	confident_sites	51479
ilDasTemp1	pct_confident	0.1541
ilDasTemp1	clustering_observed	nan
ilDasTemp1	clustering_null_mean	nan
ilDasTemp1	clustering_enrichment	nan
ilDasTemp1	clustering_z	nan
ilDasTemp1	mito_sites	80
ilDasTemp1	mito_pct_confident	0.0
ilDasTemp1	cov0_pct	1.2331
ilDasTemp1	cov0_n	9488
ilDasTemp1	cov0_hits	117
ilDasTemp1	cov10_pct	0.0756
ilDasTemp1	cov10_n	29110
ilDasTemp1	cov10_hits	22
ilDasTemp1	cov20_pct	0.0609
ilDasTemp1	cov20_n	169256
ilDasTemp1	cov20_hits	103
ilDasTemp1	cov30_pct	0.0886
ilDasTemp1	cov30_n	1167955
ilDasTemp1	cov30_hits	1035
ilDasTemp1	cov40_pct	0.101
ilDasTemp1	cov40_n	2904906
ilDasTemp1	cov40_hits	2934
ilDasTemp1	cov50_pct	0.1082
ilDasTemp1	cov50_n	2116559
ilDasTemp1	cov50_hits	2291
ilDasTemp1	cov60_pct	0.1167
ilDasTemp1	cov60_n	1599260
ilDasTemp1	cov60_hits	1867
ilDasTemp1	cov70_pct	0.1702
ilDasTemp1	cov70_n	3945864
ilDasTemp1	cov70_hits	6716
ilDasTemp1	cov80_pct	0.1824
ilDasTemp1	cov80_n	8080550
ilDasTemp1	cov80_hits	14735
ilDasTemp1	cov90_pct	0.1855
ilDasTemp1	cov90_n	7804188
ilDasTemp1	cov90_hits	14475
ilDasTemp1	cov100_pct	0.1628
ilDasTemp1	cov100_n	3478589
ilDasTemp1	cov100_hits	5662
ilDasTemp1	cov110_pct	0.1252
ilDasTemp1	cov110_n	918338
ilDasTemp1	cov110_hits	1150
ilDasTemp1	cov120_pct	0.0567
ilDasTemp1	cov120_n	315781
ilDasTemp1	cov120_hits	179
ilDasTemp1	cov130_pct	0.0387
ilDasTemp1	cov130_n	204179
ilDasTemp1	cov130_hits	79
ilDasTemp1	cov140_pct	0.0229
ilDasTemp1	cov140_n	139813
ilDasTemp1	cov140_hits	32
ilDasTemp1	cov150_pct	0.017
ilDasTemp1	cov150_n	94109
ilDasTemp1	cov150_hits	16
ilDasTemp1	cov160_pct	0.0171
ilDasTemp1	cov160_n	70107
ilDasTemp1	cov160_hits	12
ilDasTemp1	cov170_pct	0.0127
ilDasTemp1	cov170_n	55069
ilDasTemp1	cov170_hits	7
ilDasTemp1	cov180_pct	0.0251
ilDasTemp1	cov180_n	43796
ilDasTemp1	cov180_hits	11
ilDasTemp1	cov190_pct	0.0087
ilDasTemp1	cov190_n	34339
ilDasTemp1	cov190_hits	3
ilDasTemp1	cov200_pct	0.0151
ilDasTemp1	cov200_n	218526
ilDasTemp1	cov200_hits	33
