label	metric	value
ilEurOccu1	covered_sites	22337380
ilEurOccu1	confident_sites	61607
ilEurOccu1	pct_confident	0.2758
ilEurOccu1	clustering_observed	nan
ilEurOccu1	clustering_null_mean	nan
ilEurOccu1	clustering_enrichment	nan
ilEurOccu1	clustering_z	nan
ilEurOccu1	mito_sites	96
ilEurOccu1	mito_pct_confident	0.0
ilEurOccu1	cov0_pct	0.2579
ilEurOccu1	cov0_n	48079
ilEurOccu1	cov0_hits	124
ilEurOccu1	cov10_pct	0.2131
ilEurOccu1	cov10_n	2292066
ilEurOccu1	cov10_hits	4885
ilEurOccu1	cov20_pct	0.225
ilEurOccu1	cov20_n	4863178
ilEurOccu1	cov20_hits	10944
ilEurOccu1	cov30_pct	0.3147
ilEurOccu1	cov30_n	8629705
ilEurOccu1	cov30_hits	27161
ilEurOccu1	cov40_pct	0.3161
ilEurOccu1	cov40_n	5258900
ilEurOccu1	cov40_hits	16624
ilEurOccu1	cov50_pct	0.2222
ilEurOccu1	cov50_n	790879
ilEurOccu1	cov50_hits	1757
ilEurOccu1	cov60_pct	0.0333
ilEurOccu1	cov60_n	168350
ilEurOccu1	cov60_hits	56
ilEurOccu1	cov70_pct	0.0364
ilEurOccu1	cov70_n	85177
ilEurOccu1	cov70_hits	31
ilEurOccu1	cov80_pct	0.0054
ilEurOccu1	cov80_n	55107
ilEurOccu1	cov80_hits	3
ilEurOccu1	cov90_pct	0.0052
ilEurOccu1	cov90_n	38807
ilEurOccu1	cov90_hits	2
ilEurOccu1	cov100_pct	0.0472
ilEurOccu1	cov100_n	27562
ilEurOccu1	cov100_hits	13
ilEurOccu1	cov110_pct	0.0097
ilEurOccu1	cov110_n	20576
ilEurOccu1	cov110_hits	2
ilEurOccu1	cov120_pct	0.0
ilEurOccu1	cov120_n	14467
ilEurOccu1	cov120_hits	0
ilEurOccu1	cov130_pct	0.0
ilEurOccu1	cov130_n	9993
ilEurOccu1	cov130_hits	0
ilEurOccu1	cov140_pct	0.0592
ilEurOccu1	cov140_n	6757
ilEurOccu1	cov140_hits	4
ilEurOccu1	cov150_pct	0.0
ilEurOccu1	cov150_n	4224
ilEurOccu1	cov150_hits	0
ilEurOccu1	cov160_pct	0.0358
ilEurOccu1	cov160_n	2790
ilEurOccu1	cov160_hits	1
ilEurOccu1	cov170_pct	0.0
ilEurOccu1	cov170_n	2521
ilEurOccu1	cov170_hits	0
ilEurOccu1	cov180_pct	0.0
ilEurOccu1	cov180_n	1999
ilEurOccu1	cov180_hits	0
ilEurOccu1	cov190_pct	0.0
ilEurOccu1	cov190_n	1904
ilEurOccu1	cov190_hits	0
ilEurOccu1	cov200_pct	0.0
ilEurOccu1	cov200_n	14339
ilEurOccu1	cov200_hits	0
