label	metric	value
ilHadPleb2	covered_sites	24314335
ilHadPleb2	confident_sites	53253
ilHadPleb2	pct_confident	0.219
ilHadPleb2	clustering_observed	nan
ilHadPleb2	clustering_null_mean	nan
ilHadPleb2	clustering_enrichment	nan
ilHadPleb2	clustering_z	nan
ilHadPleb2	mito_sites	91
ilHadPleb2	mito_pct_confident	0.0
ilHadPleb2	cov0_pct	1.4015
ilHadPleb2	cov0_n	25473
ilHadPleb2	cov0_hits	357
ilHadPleb2	cov10_pct	0.7057
ilHadPleb2	cov10_n	140432
ilHadPleb2	cov10_hits	991
ilHadPleb2	cov20_pct	0.272
ilHadPleb2	cov20_n	1285474
ilHadPleb2	cov20_hits	3497
ilHadPleb2	cov30_pct	0.1854
ilHadPleb2	cov30_n	2435345
ilHadPleb2	cov30_hits	4514
ilHadPleb2	cov40_pct	0.1455
ilHadPleb2	cov40_n	2101197
ilHadPleb2	cov40_hits	3057
ilHadPleb2	cov50_pct	0.1841
ilHadPleb2	cov50_n	5410002
ilHadPleb2	cov50_hits	9960
ilHadPleb2	cov60_pct	0.2307
ilHadPleb2	cov60_n	7829083
ilHadPleb2	cov60_hits	18065
ilHadPleb2	cov70_pct	0.2688
ilHadPleb2	cov70_n	3850632
ilHadPleb2	cov70_hits	10352
ilHadPleb2	cov80_pct	0.2853
ilHadPleb2	cov80_n	786233
ilHadPleb2	cov80_hits	2243
ilHadPleb2	cov90_pct	0.0877
ilHadPleb2	cov90_n	157346
ilHadPleb2	cov90_hits	138
ilHadPleb2	cov100_pct	0.0242
ilHadPleb2	cov100_n	74515
ilHadPleb2	cov100_hits	18
ilHadPleb2	cov110_pct	0.0245
ilHadPleb2	cov110_n	48907
ilHadPleb2	cov110_hits	12
ilHadPleb2	cov120_pct	0.0388
ilHadPleb2	cov120_n	36040
ilHadPleb2	cov120_hits	14
ilHadPleb2	cov130_pct	0.0526
ilHadPleb2	cov130_n	26597
ilHadPleb2	cov130_hits	14
ilHadPleb2	cov140_pct	0.0
ilHadPleb2	cov140_n	19677
ilHadPleb2	cov140_hits	0
ilHadPleb2	cov150_pct	0.0342
ilHadPleb2	cov150_n	17530
ilHadPleb2	cov150_hits	6
ilHadPleb2	cov160_pct	0.021
ilHadPleb2	cov160_n	14312
ilHadPleb2	cov160_hits	3
ilHadPleb2	cov170_pct	0.0333
ilHadPleb2	cov170_n	12012
ilHadPleb2	cov170_hits	4
ilHadPleb2	cov180_pct	0.0125
ilHadPleb2	cov180_n	8012
ilHadPleb2	cov180_hits	1
ilHadPleb2	cov190_pct	0.035
ilHadPleb2	cov190_n	5720
ilHadPleb2	cov190_hits	2
ilHadPleb2	cov200_pct	0.0168
ilHadPleb2	cov200_n	29796
ilHadPleb2	cov200_hits	5
