label	metric	value
ilHelArmi9	covered_sites	12310506
ilHelArmi9	confident_sites	36003
ilHelArmi9	pct_confident	0.2925
ilHelArmi9	clustering_observed	nan
ilHelArmi9	clustering_null_mean	nan
ilHelArmi9	clustering_enrichment	nan
ilHelArmi9	clustering_z	nan
ilHelArmi9	mito_sites	86
ilHelArmi9	mito_pct_confident	0.0
ilHelArmi9	cov0_pct	0.9924
ilHelArmi9	cov0_n	3930
ilHelArmi9	cov0_hits	39
ilHelArmi9	cov10_pct	0.0431
ilHelArmi9	cov10_n	18562
ilHelArmi9	cov10_hits	8
ilHelArmi9	cov20_pct	0.2273
ilHelArmi9	cov20_n	169796
ilHelArmi9	cov20_hits	386
ilHelArmi9	cov30_pct	0.3057
ilHelArmi9	cov30_n	1390385
ilHelArmi9	cov30_hits	4251
ilHelArmi9	cov40_pct	0.3116
ilHelArmi9	cov40_n	2085759
ilHelArmi9	cov40_hits	6499
ilHelArmi9	cov50_pct	0.29
ilHelArmi9	cov50_n	1052013
ilHelArmi9	cov50_hits	3051
ilHelArmi9	cov60_pct	0.2731
ilHelArmi9	cov60_n	1106532
ilHelArmi9	cov60_hits	3022
ilHelArmi9	cov70_pct	0.288
ilHelArmi9	cov70_n	2124553
ilHelArmi9	cov70_hits	6118
ilHelArmi9	cov80_pct	0.3079
ilHelArmi9	cov80_n	2451211
ilHelArmi9	cov80_hits	7548
ilHelArmi9	cov90_pct	0.2724
ilHelArmi9	cov90_n	1343625
ilHelArmi9	cov90_hits	3660
ilHelArmi9	cov100_pct	0.3157
ilHelArmi9	cov100_n	363026
ilHelArmi9	cov100_hits	1146
ilHelArmi9	cov110_pct	0.2241
ilHelArmi9	cov110_n	70966
ilHelArmi9	cov110_hits	159
ilHelArmi9	cov120_pct	0.1333
ilHelArmi9	cov120_n	28507
ilHelArmi9	cov120_hits	38
ilHelArmi9	cov130_pct	0.1474
ilHelArmi9	cov130_n	19669
ilHelArmi9	cov130_hits	29
ilHelArmi9	cov140_pct	0.2038
ilHelArmi9	cov140_n	14228
ilHelArmi9	cov140_hits	29
ilHelArmi9	cov150_pct	0.0699
ilHelArmi9	cov150_n	11440
ilHelArmi9	cov150_hits	8
ilHelArmi9	cov160_pct	0.0631
ilHelArmi9	cov160_n	9515
ilHelArmi9	cov160_hits	6
ilHelArmi9	cov170_pct	0.0138
ilHelArmi9	cov170_n	7250
ilHelArmi9	cov170_hits	1
ilHelArmi9	cov180_pct	0.0
ilHelArmi9	cov180_n	5301
ilHelArmi9	cov180_hits	0
ilHelArmi9	cov190_pct	0.0765
ilHelArmi9	cov190_n	3924
ilHelArmi9	cov190_hits	3
ilHelArmi9	cov200_pct	0.0066
ilHelArmi9	cov200_n	30314
ilHelArmi9	cov200_hits	2
